SPOORTAK_IDENTIFICATIE;RICHTING;SPOORTAK_ASL;PERCENT_ASL;RICHTING_ASL
586_83BqV_80.5;0-100;586_83BR_80.5;38,899377;0-100
586_91AqV_80.4;0-100;586_83BR_80.5;58,369886;100-0
586_2517BpV_80.3;0-100;586_2517AL_80.2;58,688339;100-0
586_2509BqV_80.2;100-0;586_2517AL_80.2;41,311661;0-100
506_39BqV_43.2;100-0;506_41BL_43.3;59,135508;100-0
506_41BpV_43.3;0-100;506_41BL_43.3;38,732345;0-100
123_65BpV_20.0;100-0;123_67R_20.0;2,34885;0-100
123_85pV_20.7;0-100;123_67R_20.0;97,564854;100-0
555_355qV_84.2;100-0;555_357L_84.1;26,655451;0-100
555_363pV_84.3;0-100;555_357L_84.1;73,29878;100-0
550_97BqV_25.9;0-100;550_97BR_25.9;36,772352;0-100
550_93BpV_25.9;100-0;550_97BR_25.9;63,073965;100-0
950_1007qV_39.8;0-100;950_1007L_39.8;43,747769;0-100
950_1019pV_39.9;100-0;950_1007L_39.8;56,241503;100-0
609_79BpV_27.9;100-0;609_81AL_27.9;35,852883;0-100
609_81BqV_27.8;0-100;609_81AL_27.9;63,475946;100-0
555_223ApV_83.3;0-100;555_223AR_83.3;40,148032;0-100
555_223BqV_83.4;0-100;555_223AR_83.3;61,654581;100-0
135_914AqV_45.7;0-100;135_914AL_45.7;27,653703;0-100
135_917ApV_45.8;100-0;135_914AL_45.7;70,724733;100-0
618_23BqV_58.6;100-0;618_27BR_58.6;58,487004;100-0
618_27BqV_58.6;0-100;618_27BR_58.6;41,613004;0-100
586_2541BpV_80.4;100-0;586_2545AR_80.3;27,079269;0-100
586_2545BqV_80.4;0-100;586_2545AR_80.3;72,919456;100-0
520_143BpV_0.7;100-0;520_145BL_0.8;59,837367;100-0
520_145BpV_0.8;0-100;520_145BL_0.8;40,302507;0-100
586_2511BpV_80.3;100-0;586_2525AR_80.2;41,314177;0-100
586_2525BqV_80.3;0-100;586_2525AR_80.2;58,687318;100-0
586_2513BqV_80.3;100-0;586_2523AL_80.2;44,106299;0-100
586_2523BpV_80.3;0-100;586_2523AL_80.2;55,894802;100-0
012_323pV_20.1;0-100;012_315R_19.4;97,702995;100-0
012_313BpV_19.4;100-0;012_315R_19.4;2,350935;0-100
012_313BqV_19.4;100-0;012_315L_19.4;2,346704;0-100
012_323qV_20.1;0-100;012_315L_19.4;97,73076;100-0
012_311qV_19.4;100-0;012_313AL_19.4;44,247313;0-100
012_313BpV_19.4;0-100;012_313AL_19.4;55,977513;100-0
478_1259BqV_1.8;100-0;478_1263L_1.7;6,193673;0-100
478_1329pV_2.0;0-100;478_1263L_1.7;93,504584;100-0
606_103BpV_0.9;0-100;606_81BV_0.7;93,571114;100-0
504_55BqV_18.3;100-0;504_63AL_18.3;30,179172;0-100
504_55BqV_18.3;0-100;504_55AR_18.2;69,621753;100-0
586_95qV_80.5;100-0;586_97AL_80.5;60,249016;0-100
586_95qV_80.5;0-100;586_91BV_80.5;31,555074;100-0
950_79qV_41.0;100-0;950_77BL_41.1;71,567504;100-0
950_79qV_41.0;0-100;950_79R_41.0;1,859342;0-100
950_79pV_41.0;100-0;950_81AR_41.0;30,49565;0-100
950_79pV_41.0;0-100;950_79L_41.0;1,948565;0-100
618_25BqV_58.6;0-100;618_25BR_58.6;2,070535;0-100
618_33BpV_58.7;100-0;618_41AR_58.7;76,403455;0-100
618_33BpV_58.7;0-100;618_33AL_58.6;69,65657;100-0
485_98ApV_101.2;0-100;485_98AR_101.2;16,731236;0-100
478_1111pV_0.7;100-0;478_1113AR_0.6;32,064245;0-100
478_1111pV_0.7;0-100;478_1031R_0.3;95,502878;100-0
504_51BpV_18.2;0-100;504_51BL_18.2;29,862507;0-100
163_271pV_44.5;100-0;163_165BV_43.7;98,00347;100-0
163_271pV_44.5;0-100;163_271R_44.5;13,983832;0-100
478_1229pV_1.8;100-0;478_1243R_1.8;7,70058;0-100
617_1151AqV_39.3;100-0;617_701L_38.9;95,778534;100-0
617_1151AqV_39.3;0-100;617_1151AL_39.3;24,081275;0-100
485_98AqV_101.2;0-100;485_98AL_101.2;31,713006;0-100
823_21AqV_5.7;100-0;823_11L_3.9;99,120998;100-0
823_21AqV_5.7;0-100;823_21AL_5.7;51,05524;0-100
553_209BqV_21.3;100-0;553_211L_21.3;11,986689;0-100
553_209BqV_21.3;0-100;553_209AR_21.2;68,980205;100-0
553_213qV_21.2;0-100;553_203V_21.2;49,131738;100-0
553_213pV_21.2;100-0;553_209AV_21.2;43,765542;100-0
553_213pV_21.2;0-100;553_207L_21.1;69,261075;100-0
550_105pV_26.0;100-0;550_107R_26.0;5,944474;0-100
586_277ApV_81.2;0-100;586_277AR_81.2;28,70397;0-100
586_277AqV_81.2;0-100;586_275BL_81.3;82,661783;100-0
163_1027ApV_43.9;100-0;163_1023R_43.5;96,352963;100-0
163_1027AqV_43.9;100-0;163_1025R_43.8;69,638138;100-0
163_1027AqV_43.9;0-100;163_1027AL_43.9;4,008505;0-100
817_1257qV_200.2;100-0;817_1259AL_200.2;57,949593;0-100
817_1257qV_200.2;0-100;817_1251V_200.1;44,704621;100-0
564_1341pV_23.7;0-100;564_1341R_23.7;64,203666;0-100
564_970qV_23.7;100-0;564_971L_23.7;5,262629;0-100
564_970qV_23.7;0-100;564_970R_23.7;32,267029;0-100
564_1315pV_23.5;100-0;564_1309R_23.5;67,877735;100-0
564_1315pV_23.5;0-100;564_1315R_23.5;49,502486;0-100
506_95BqV_44.0;0-100;506_83L_43.9;87,624442;100-0
564_1315qV_23.5;0-100;564_1315L_23.5;2,678192;0-100
564_1305pV_23.5;100-0;107_903L_22.9;97,033559;100-0
564_1305qV_23.5;100-0;107_902L_22.9;97,228844;100-0
950_237qV_12.6;100-0;950_239L_12.6;11,143739;0-100
950_237qV_12.6;0-100;950_231V_12.6;57,947686;100-0
603_143pV_3.3;0-100;603_129V_3.3;55,691347;100-0
503_103BpV_43.6;100-0;503_105L_43.6;7,149113;0-100
503_103BpV_43.6;0-100;503_101AL_43.7;67,051964;100-0
503_103BqV_43.6;100-0;503_105R_43.6;4,363807;0-100
503_103BqV_43.6;0-100;503_103AL_43.7;67,213213;100-0
553_233qV_21.4;0-100;553_229AR_21.3;66,598986;100-0
553_233pV_21.4;100-0;553_235AR_21.3;67,715341;0-100
553_233pV_21.4;0-100;553_231BV_21.3;40,553857;100-0
924_3549BqV_35.6;0-100;924_3549BR_35.6;23,106414;0-100
536_241BqV_60.8;100-0;536_247AL_60.8;30,174368;0-100
508_2013qV_90.3;100-0;508_2009V_90.3;38,959187;100-0
508_2013qV_90.3;0-100;508_2013L_90.3;32,089889;0-100
803_92AqV_104.0;100-0;803_70AV_80.2;91,59439;100-0
803_92AqV_104.0;0-100;803_68AV_104.1;74,719026;100-0
542_1245BpV_29.9;100-0;542_1249AR_29.8;31,898572;0-100
542_1245BpV_29.9;0-100;542_1239AL_29.7;85,122605;100-0
506_99BqV_44.1;0-100;506_99BR_44.1;97,323665;0-100
506_141BqV_44.1;100-0;506_153AL_44.1;18,88812;0-100
046_227BV_36.1;0-100;046_251BV_41.4;0;0-100
127_395BV_48.7;0-100;127_417AR_49.5;0;0-100
121_2357L_233.3;0-100;121_2359L_233.6;0;0-100
121_2357L_233.3;0-100;121_2359R_233.6;0;0-100
542_1171AR_29.1;0-100;542_1173AL_29.1;0;0-100
542_1171AR_29.1;0-100;542_1173AR_29.1;0;0-100
542_1171AL_29.1;0-100;542_1177AL_29.1;0;0-100
950_113AL_41.8;100-0;950_77BV_41.1;100;100-0
608_55V_88.6;0-100;608_63BV_88.8;0;0-100
608_63AL_88.8;0-100;608_63BV_88.8;0;0-100
555_365L_84.2;0-100;555_371V_84.3;0;0-100
504_13AL_17.0;100-0;504_13AV_17.0;0;0-100
504_13AL_17.0;0-100;504_13BV_17.1;0;0-100
504_13BV_17.1;0-100;504_17BV_17.2;0;0-100
837_1L_300.8;100-0;837_1V_300.8;0;0-100
837_1R_300.8;100-0;837_1V_300.8;0;0-100
506_79L_43.9;0-100;506_95AR_43.9;0;0-100
506_95AL_43.9;0-100;506_99AL_44.0;0;0-100
163_967V_44.4;0-100;163_975L_44.6;0;0-100
163_967V_44.4;0-100;163_973R_44.7;100;100-0
506_229BV_45.3;0-100;506_251BV_45.4;0;0-100
506_227AL_45.1;0-100;506_229BV_45.3;0;0-100
506_229AR_45.2;0-100;506_229BV_45.3;0;0-100
586_1R_79.9;100-0;586_1V_79.9;0;0-100
586_1R_79.9;0-100;586_7BV_80.2;0;0-100
586_1L_79.9;100-0;586_1V_79.9;0;0-100
586_1L_79.9;0-100;586_2509AL_80.2;0;0-100
586_1L_79.9;0-100;586_2507BL_80.2;100;100-0
530_113BV_12.3;100-0;530_95BV_11.6;100;100-0
530_113BV_12.3;0-100;530_114L_12.4;0;0-100
530_113BV_12.3;0-100;530_114R_12.4;0;0-100
530_113AL_12.3;100-0;530_96V_11.6;100;100-0
530_113AL_12.3;0-100;530_113BV_12.3;0;0-100
135_2237R_15.4;0-100;135_2245L_15.5;0;0-100
135_2237L_15.4;0-100;135_2243L_15.5;0;0-100
557_92R_28.0;0-100;557_94L_300.2;0;0-100
557_92R_28.0;0-100;557_94R_300.2;0;0-100
524_243AR_69.6;0-100;524_243BV_69.8;0;0-100
524_243BV_69.8;0-100;524_245L_69.8;0;0-100
524_243BV_69.8;0-100;524_245R_69.8;0;0-100
524_245L_69.8;0-100;524_253BL_70.4;100;100-0
524_245L_69.8;0-100;524_255R_70.3;0;0-100
524_285BV_71.2;0-100;524_295AL_71.3;0;0-100
524_285BV_71.2;0-100;524_295AR_71.3;0;0-100
623_361L_17.1;0-100;623_363V_17.0;0;0-100
506_143V_44.2;100-0;506_29R_43.2;100;100-0
506_143V_44.2;0-100;506_215BV_45.0;0;0-100
058_1L_55.4;100-0;058_1V_55.4;0;0-100
058_1L_55.4;0-100;518_101V_62.7;0;0-100
058_1R_55.4;100-0;058_1V_55.4;0;0-100
204_301V_12.6;100-0;602_215R_77.1;100;100-0
204_301V_12.6;100-0;602_219R_77.2;100;100-0
204_301V_12.6;0-100;204_311L_22.6;0;0-100
204_301V_12.6;0-100;204_311R_22.6;0;0-100
129_48V_30.7;0-100;129_49V_30.7;0;0-100
087_1351R_25.9;0-100;528_1BL_27.9;100;100-0
611_2307R_105.5;0-100;611_2333V_106.2;0;0-100
132_295AL_40.4;0-100;132_475BV_47.9;100;100-0
501_15R_80.0;100-0;501_15V_80.0;0;0-100
501_15R_80.0;0-100;501_17V_80.0;0;0-100
501_13V_79.9;0-100;501_17V_80.0;0;0-100
531_2347L_34.3;100-0;531_2347V_34.3;0;0-100
531_2347L_34.3;0-100;531_2421L_1.8;100;100-0
