ID;SPOORTAK_IDENTIFICATIE;DOELGROEP;SPOORTAK_LRS_VAN;SPOORTAK_LRS_TOT;LOKALE_SNELHEID;DATUM_VERWERKING
197059069;052_1L_48.1;T;0;1,114;125;2021-05-31
197059070;052_1R_48.1;T;0;1,112;60;2021-05-31
197059071;052_1V_48.1;T;0;5,909;125;2021-05-31
197059072;049_9L_25.8;T;0;0,059;40;2021-05-31
197059073;049_9R_25.8;T;0;0,865;125;2021-05-31
197059074;049_9R_25.8;T;0,865;0,892;125;2021-05-31
197059075;049_9R_25.8;T;0,892;1,048;90;2021-05-31
197059076;049_9V_25.8;T;0;5,201;125;2021-05-31
197059077;049_9V_25.8;T;5,201;7,552;110;2021-05-31
197059078;049_9V_25.8;T;7,552;7,612;110;2021-05-31
197059079;049_9V_25.8;T;7,612;7,845;60;2021-05-31
197059080;049_11R_25.9;T;0;5,263;125;2021-05-31
197059081;049_11R_25.9;T;5,263;7,616;110;2021-05-31
197059082;049_11R_25.9;T;7,616;7,676;110;2021-05-31
197059083;049_11R_25.9;T;7,676;7,798;60;2021-05-31
197059084;049_11V_25.9;T;0;0,806;125;2021-05-31
197059085;049_11V_25.9;T;0,806;0,832;125;2021-05-31
197059086;049_11V_25.9;T;0,832;0,989;90;2021-05-31
197059087;052_15V_49.2;T;0;6,266;125;2021-05-31
197059088;514_15AL_18.1;T;0;0,11;60;2021-05-31
197059089;514_15AR_18.1;T;0;0,303;60;2021-05-31
197059090;514_15AR_18.1;T;0,303;0,336;60;2021-05-31
197059091;514_15AR_18.1;T;0,336;0,48;40;2021-05-31
197059092;514_15BV_18.0;T;0;0,194;60;2021-05-31
197059093;514_15BV_18.0;T;0,194;0,228;60;2021-05-31
197059094;514_15BV_18.0;T;0,228;0,312;40;2021-05-31
197059095;514_19AL_17.7;T;0;0,158;40;2021-05-31
197059096;514_19AR_17.7;T;0;0,061;40;2021-05-31
197059097;514_19BV_17.6;T;0;0,034;40;2021-05-31
197059098;052_23L_55.5;T;0;0,185;60;2021-05-31
197059099;052_23R_55.5;T;0;0,35;125;2021-05-31
197059100;052_23R_55.5;T;0,35;0,701;110;2021-05-31
197059101;052_23R_55.5;T;0,701;1,172;125;2021-05-31
197059102;049_25V_26.9;T;0;1,307;90;2021-05-31
197059103;049_25V_26.9;T;1,307;4,014;125;2021-05-31
197059104;052_27L_55.7;T;0;0,879;40;2021-05-31
197059105;052_27R_55.7;T;0;0,883;60;2021-05-31
197059106;514_29L_17.6;T;0;0,051;40;2021-05-31
197059107;514_29L_17.6;T;0,051;0,331;40;2021-05-31
197059108;514_29R_17.6;T;0;0,051;40;2021-05-31
197059109;514_29R_17.6;T;0,051;0,075;40;2021-05-31
197059110;514_29R_17.6;T;0,075;0,285;20;2021-05-31
197059111;514_29R_17.6;T;0,285;0,286;40;2021-05-31
197059112;514_29R_17.6;T;0,286;0,333;40;2021-05-31
197059113;514_29V_17.6;T;0;0,036;40;2021-05-31
197059114;514_31L_17.6;T;0;0,288;40;2021-05-31
197059115;514_31V_17.6;T;0;0,001;40;2021-05-31
197059116;049_31L_30.9;T;0;1,085;125;2021-05-31
197059117;049_31R_30.9;T;0;0,138;60;2021-05-31
197059118;049_33L_31.0;T;0;0,846;60;2021-05-31
197059119;049_33R_31.0;T;0;0,848;40;2021-05-31
197059120;514_33AL_17.6;T;0;0,062;40;2021-05-31
197059121;514_33AR_17.6;T;0;0,051;40;2021-05-31
197059122;514_33BV_17.5;T;0;0,016;40;2021-05-31
197059123;514_35R_17.5;T;0;0,039;40;2021-05-31
197059124;514_35R_17.5;T;0,039;0,08;40;2021-05-31
197059125;514_35R_17.5;T;0,08;0,277;20;2021-05-31
197059126;514_35R_17.5;T;0,277;0,372;40;2021-05-31
197059127;514_35V_17.5;T;0;0,024;40;2021-05-31
197059128;514_37L_17.5;T;0;0,088;40;2021-05-31
197059129;514_37R_17.5;T;0;0,376;40;2021-05-31
197059130;052_39V_56.6;T;0;0,101;60;2021-05-31
197059131;514_39AL_17.5;T;0;0,026;40;2021-05-31
