GEOCODE;GEOSUBCODE;GEOCODE_NR;NAAM;VERKORTING;VERSIE_DATUM;VERSIE_GELDIG;VERSIE_NUMMER
001;001_a;1;Harlingen Haven - Leeuwarden;Hlgh-Lw;20211201;C;18
001;001_b;1;Harlingen Haven - Leeuwarden;Hlgh-Lw;20211201;C;18
002;002__;2;Leeuwarden - Groningen;Lw-Gn;20211201;C;18
003;003__;3;Groningen Losplaats - Waterhuizen Aansl.;Gnl-Wha;20211201;C;18
004;004__;4;Waterhuizen Aansl. - Zuidbroek;Wha-Zb;20211201;C;18
005;005__;5;Zuidbroek - Nieuweschans Grens;Zb-Nscg;20211201;C;18
006;006__;6;Groningen - Sauwerd;Gn-Swd;20211201;C;18
007;007__;7;Sauwerd - Winsum;Swd-Wsm;20211201;C;18
008;008__;8;Leeuwarden - Stavoren;Lw-Stv;20211201;C;18
009;009__;9;Meppel - Leeuwarden;Mp-Lw;20211201;C;18
010;010__;10;Haren - Groningen Losplaats;Hrn-Gnl;20211201;C;18
011;011__;11;Assen - Haren;Asn-Hrn;20211201;C;18
012;012__;12;Meppel - Assen;Mp-Asn;20211201;C;18
013;013__;13;Herfte Aansl. - Meppel;Hea-Mp;20211201;C;18
014;014__;14;Zwolle - Herfte Aansl.;Zl-Hea;20211201;C;18
015;015__;15;Zwolle - Kampen;Zl-Kpn;20211201;C;18
017;017__;17;Amersfoort Aansl. - Hattemerbroek;Ama-Htba;20211201;C;18
018;018__;18;Deventer - Zwolle;Dv-Zl;20211201;C;18
019;019__;19;Wierden - Almelo;Wdn-Aml;20211201;C;18
020;020__;20;Amersfoort Aansl. - Barneveld Noord;Ama-Bnn;20211201;C;18
021;021__;21;Barneveld Noord - Apeldoorn;Bnn-Apd;20211201;C;18
022;022__;22;Haren - Waterhuizen Aansl.;Hrn-Wha;20211201;C;18
023;023__;23;Apeldoorn - Deventer;Apd-Dv;20211201;C;18
024;024__;24;Deventer - Wierden;Dv-Wdn;20211201;C;18
025;025__;25;Almelo - Hengelo;Aml-Hgl;20211201;C;18
026;026__;26;Hengelo - Oldenzaal Grens;Hgl-Odzg;20211201;C;18
027;027__;27;Diemen - Duivendrecht;Dmn-Dvd;20211201;C;18
028;028__;28;Hengelo - Enschede Grens;Hgl-Esg;20211201;C;18
030;030__;30;Zutphen - Deventer;Zp-Dv;20211201;C;18
031;031_a;31;Zutphen - Hengelo;Zp-Hgl;20211201;C;18
031;031_b;31;Zutphen - Hengelo;Zp-Hgl;20211201;C;18
032;032__;32;Blauwkapel - Lunetten;Bkp-Ln;20211201;C;18
033;033__;33;Dieren - Zutphen;Dr-Zp;20211201;C;18
034;034__;34;Velperbroek Aansl. - Dieren;Va-Dr;20211201;C;18
035;035__;35;Lunetten - De Haar Aansl.;Ln-Har;20211201;C;18
036;036__;36;Ede=Wageningen - Arnhem;Ed-Ah;20211201;C;18
037;037__;37;Arnhem - Velperbroek Aansl.;Ah-Va;20211201;C;18
038;038__;38;Velperbroek Aansl. - Zevenaar;Va-Zv;20211201;C;18
039;039__;39;Zevenaar - Zevenaar Grens;Zv-Zvg;20211201;C;18
040;040__;40;Leusden - Amersfoort;Lsd-Amf;20211201;C;18
041;041__;41;Arnhem - Elst;Ah-Est;20211201;C;18
042;042__;42;Vork - Kesteren;Vrk-Ktr;20211201;C;18
043;043__;43;Kesteren - Geldermalsen;Ktr-Gdm;20211201;C;18
044;044__;44;Ressen=Bemmel - Nijmegen;Rsb-Nm;20211201;C;18
046;046__;46;Meteren Aansl. - s Hertogenbosch;Mtna-Ht;20211201;C;18
047;047__;47;s Hertogenbosch - Nijmegen;Ht-Nm;20211201;C;18
048;048__;48;Nijmegen Grens - Nijmegen;Nmg-Nm;20211201;C;18
049;049__;49;Nijmegen - Beugen;Nm-Bug;20211201;C;18
050;050__;50;Amsterdam Muiderpoort - Diemen;Asdm-Dmn;20211201;C;18
051;051__;51;s Hertogenbosch - Vught Aansl.;Ht-Vga;20211201;C;18
052;052__;52;Beugen - Blerick;Bug-Br;20211201;C;18
053;053__;53;Vught Aansl. - Boxtel;Vga-Btl;20211201;C;18
054;054_a;54;Boxtel - Eindhoven;Btl-Ehv;20211201;C;18
054;054_b;54;Boxtel - Eindhoven;Btl-Ehv;20211201;C;18
054;054_c;54;Boxtel - Eindhoven;Btl-Ehv;20211201;C;18
055;055__;55;Blerick - Eindhoven;Br-Ehv;20211201;C;18
056;056__;56;Venlo Grens - Venlo;Vlgr-Vl;20211201;C;18
057;057__;57;Eindhoven - Weert;Ehv-Wt;20211201;C;18
058;058__;58;Budel Grens - Weert;Bdlg-Wt;20211201;C;18
059;059__;59;Weert - Roermond;Wt-Rm;20211201;C;18
060;060__;60;Roermond - Venlo;Rm-Vl;20211201;C;18
061;061__;61;Roermond - Vlodrop Grens;Rm-Vdpg;20211201;C;18
062;062__;62;Sittard - Roermond;Std-Rm;20211201;C;18
063;063__;63;Maastricht - Sittard;Mt-Std;20211201;C;18
064;064__;64;Sittard - Heerlen;Std-Hrl;20211201;C;18
065;065__;65;Heerlen - Landgraaf;Hrl-Lg;20211201;C;18
066;066_a;66;Landgraaf - Haanrade Grens;Lg-Hang;20211201;C;18
066;066_b;66;Landgraaf - Haanrade Grens;Lg-Hang;20211201;C;18
067;067__;67;Heerlen - Schin op Geul;Hrl-Sog;20211201;C;18
068;068__;68;Simpelveld Grens - Simpelveld;Spvg-Spv;20211201;C;18
069;069__;69;Simpelveld - Schin op Geul;Spv-Sog;20211201;C;18
070;070__;70;Schin op Geul - Maastricht;Sog-Mt;20211201;C;18
071;071__;71;Eijsden - Maastricht;Edn-Mt;20211201;C;18
072;072_a;72;Maastricht - Maastricht Grens;Mt-Mtg;20211201;C;18
072;072_b;72;Maastricht - Maastricht Grens;Mt-Mtg;20211201;C;18
073;073__;73;Den Helder - Heerhugowaard;Hdr-Hwd;20211201;C;18
074;074__;74;Heerhugowaard - Alkmaar;Hwd-Amr;20211201;C;18
075;075__;75;Alkmaar - Uitgeest;Amr-Utg;20211201;C;18
076;076__;76;Santpoort Noord - Uitgeest;Sptn-Utg;20211201;C;18
078;078__;78;Uitgeest - Zaandam;Utg-Zd;20211201;C;18
079;079__;79;Zaandam - Hoorn;Zd-Hn;20211201;C;18
080;080__;80;Amsterdam Bijlmer - Nieuwersluis=Loenen;Asb-Nws;20211201;C;18
081;081__;81;Zaandam - Amsterdam Singelgracht Aansl.;Zd-Sgra;20211201;C;18
082;082__;82;Haarlem - Santpoort Noord;Hlm-Sptn;20211201;C;18
083;083__;83;Haarlem - Zandvoort aan Zee;Hlm-Zvt;20211201;C;18
084;084__;84;Amsterdam Sloterdijk - Haarlem;Ass-Hlm;20211201;C;18
085;085__;85;Haarlem - Warmond;Hlm-Wmd;20211201;C;18
087;087__;87;Weesp Aansl. - Hilversum;Wpa-Hvs;20211201;C;18
088;088__;88;Hilversum - Baarn;Hvs-Brn;20211201;C;18
089;089__;89;Amersfoort - Amersfoort Aansl.;Amf-Ama;20211201;C;18
090;090__;90;Den Dolder - Amersfoort;Dld-Amf;20211201;C;18
091;091__;91;Den Dolder - Baarn;Dld-Brn;20211201;C;18
092;092__;92;Baarn - Amersfoort;Brn-Amf;20211201;C;18
093;093__;93;Blauwkapel - Den Dolder;Bkp-Dld;20211201;C;18
094;094__;94;Utrecht Centraal - Blauwkapel;Ut-Bkp;20211201;C;18
095;095__;95;Hilversum - Blauwkapel;Hvs-Bkp;20211201;C;18
096;096_a;96;Amsterdam Muiderpoort - Duivendrecht;Asdm-Dvd;20211201;C;18
096;096_b;96;Amsterdam Muiderpoort - Duivendrecht;Asdm-Dvd;20211201;C;18
097;097__;97;Nieuwersluis=Loenen - Breukelen;Nws-Bkl;20211201;C;18
098;098__;98;Breukelen - Utrecht Centraal;Bkl-Ut;20211201;C;18
099;099__;99;Breukelen - Harmelen Aansl.;Bkl-Hmla;20211201;C;18
100;100__;100;Utrecht Centraal - Harmelen Aansl.;Ut-Hmla;20211201;C;18
101;101__;101;Harmelen Aansl. - Woerden;Hmla-Wd;20211201;C;18
102;102__;102;Woerden - Alphen a/d Rijn;Wd-Apn;20211201;C;18
103;103__;103;Alphen a/d Rijn - Leiden Centraal;Apn-Ledn;20211201;C;18
104;104__;104;Leiden Centraal - Den Haag Mariahoeve;Ledn-Gvm;20211201;C;18
105;105__;105;Woerden - Gouda;Wd-Gd;20211201;C;18
106;106__;106;Gouda - Moordrecht Aansl. Noord;Gd-Mdan;20211201;C;18
107;107__;107;Moordrecht Aansl. - Den Haag Binckhorst;Mda-Bkh;20211201;C;18
108;108__;108;De Haar Aansl. - Ede=Wageningen;Har-Ed;20211201;C;18
109;109__;109;Rhenen - De Haar Aansl.;Rhn-Har;20211201;C;18
110;110__;110;Den Haag Ypenburg - Leidschenveen;Ypb-Ldvn;20211201;C;18
112;112__;112;Den Haag HS - Schiedam Centrum;Gv-Sdm;20211201;C;18
114;114_a;114;Rotterdam Kleiweg - Rotterdam Westelijke Splitsing;Rtkw-Wspl;20211201;C;18
114;114_b;114;Rotterdam Kleiweg - Rotterdam Westelijke Splitsing;Rtkw-Wspl;20211201;C;18
