VERKANTING_ID;VERK_LRS_VAN;VERK_LRS_TOT;SEGMENT_IDENTIFICATIE;SEGMENT_LRS_VAN;SEGMENT_LRS_TOT;DATUM_PUBLICATIE;DATUM_GOEDGEKEURD;ELEMENTTYPE;VERKANTING_VAN;VERKANTING_TOT;OVERGANGSHELLING;VERSIE_DATUM;VERSIE_GELDIG;VERSIE_NUMMER
047#NW#63.000592;0;148460;97a79930-22fd-1aad-3e44-25dd65ecb914;2209450;2357910;20211029;20180108;Constant;-40;-40;0.0;20211201;C;18
047#NW#62.876359;0;100000;97a79930-22fd-1aad-3e44-25dd65ecb914;2357910;2457910;20211029;20180108;Helling;-40;0;0.4;20211201;C;18
047#NW#61.864752;0;1923164;97a79930-22fd-1aad-3e44-25dd65ecb914;2457910;4381074;20211029;20180108;Constant;0;0;0.0;20211201;C;18
047#NW#60.870646;0;65000;97a79930-22fd-1aad-3e44-25dd65ecb914;4381074;4446074;20211029;20180108;Helling;0;-80;-1.23076923;20211201;C;18
047#NW#60.818477;0;39335;97a79930-22fd-1aad-3e44-25dd65ecb914;4446074;4485409;20211029;20180108;Constant;-80;-80;0.0;20211201;C;18
047#NW#60.755808;0;86000;97a79930-22fd-1aad-3e44-25dd65ecb914;4485409;4571409;20211029;20180108;Helling;-80;0;0.93023256;20211201;C;18
047#NW#60.202983;0;1019623;97a79930-22fd-1aad-3e44-25dd65ecb914;4571409;5591032;20211029;20180108;Constant;0;0;0.0;20211201;C;18
047#NW#59.673159;0;40000;97a79930-22fd-1aad-3e44-25dd65ecb914;5591032;5631032;20211029;20180108;Helling;0;-20;-0.5;20211201;C;18
047#NW#59.606084;0;94146;97a79930-22fd-1aad-3e44-25dd65ecb914;5631032;5725178;20211029;20180108;Constant;-20;-20;0.0;20211201;C;18
047#NW#59.536510;0;45000;97a79930-22fd-1aad-3e44-25dd65ecb914;5725178;5770178;20211029;20180108;Helling;-20;0;0.44444444;20211201;C;18
047#NW#58.185900;0;2656153;97a79930-22fd-1aad-3e44-25dd65ecb914;5770178;8426331;20211029;20180108;Constant;0;0;0.0;20211201;C;18
047#w319V-w49B/51AS#56.839791;0;36000;97a79930-22fd-1aad-3e44-25dd65ecb914;8426331;8462331;20211029;20180108;Helling;0;25;0.69444444;20211201;C;18
047#w319V-w49B/51AS#56.784656;0;74268;97a79930-22fd-1aad-3e44-25dd65ecb914;8462331;8536599;20211029;20180108;Constant;25;25;0.0;20211201;C;18
047#w319V-w49B/51AS#56.729520;0;36000;97a79930-22fd-1aad-3e44-25dd65ecb914;8536599;8572599;20211029;20180108;Helling;25;0;-0.69444444;20211201;C;18
047#w319V-w49B/51AS#56.670988;0;81062;97a79930-22fd-1aad-3e44-25dd65ecb914;8572599;8653661;20211029;20180108;Constant;0;0;0.0;20211201;C;18
047#w319V-w49B/51AS#56.630206;0;501;97a79930-22fd-1aad-3e44-25dd65ecb914;8653661;8654162;20211029;20180108;Constant;0;0;0.0;20211201;C;18
044#AC#15.931198;0;182518;8a095413-81c5-3d6d-2edc-d83f73677383;3900;186418;20211029;20200708;Constant;0;0;0.0;20211201;C;18
044#AC#15.931198;182518;903964;054202e8-fe17-e0e5-9b79-06b86c7b9cb2;186418;907864;20211029;20200708;Constant;0;0;0.0;20211201;C;18
044#AC#15.432943;0;95009;054202e8-fe17-e0e5-9b79-06b86c7b9cb2;907864;1002873;20211029;20200709;Helling;0;-80;-0.84210526;20211201;C;18
044#AC#15.241979;0;287863;054202e8-fe17-e0e5-9b79-06b86c7b9cb2;1002873;1290736;20211029;20200709;Constant;-80;-80;0.0;20211201;C;18
044#AC#15.031063;0;135012;054202e8-fe17-e0e5-9b79-06b86c7b9cb2;1290736;1425748;20211029;20200708;Helling;-80;0;0.59259259;20211201;C;18
044#AC#13.924941;0;2082703;054202e8-fe17-e0e5-9b79-06b86c7b9cb2;1425748;3508451;20211029;20200708;Constant;0;0;0.0;20211201;C;18
044#AC#12.856230;0;60005;054202e8-fe17-e0e5-9b79-06b86c7b9cb2;3508451;3568456;20211029;20200708;Helling;0;20;0.33333333;20211201;C;18
044#AC#12.774369;0;104121;054202e8-fe17-e0e5-9b79-06b86c7b9cb2;3568456;3672577;20211029;20200708;Constant;20;20;0.0;20211201;C;18
044#AC#12.662579;0;120011;054202e8-fe17-e0e5-9b79-06b86c7b9cb2;3672577;3792588;20211029;20200708;Helling;20;-20;-0.33333333;20211201;C;18
044#AC#12.552810;0;100070;054202e8-fe17-e0e5-9b79-06b86c7b9cb2;3792588;3892658;20211029;20200708;Constant;-20;-20;0.0;20211201;C;18
044#161BV-461BV#12.472970;0;60005;054202e8-fe17-e0e5-9b79-06b86c7b9cb2;3892658;3952663;20211029;20200708;Helling;-20;0;0.33333333;20211201;C;18
044#w461BV-w161BV#12.436927;0;12259;054202e8-fe17-e0e5-9b79-06b86c7b9cb2;3952663;3964922;20211029;20200708;Constant;0;0;0.0;20211201;C;18
044#110#15.951794;0;207019;e8d24efa-e2df-a669-1c0e-7c694a3ab302;25990;233009;20211029;20200708;Constant;0;0;0.0;20211201;C;18
