SEGMENT_IDENTIFICATIE;SEGMENT_LRS_VAN;SEGMENT_LRS_TOT;RAILDEMPER_TYPE;VERSIE_DATUM;VERSIE_GELDIG;VERSIE_NUMMER
0059bf8b-d17e-45ec-bd00-15ca656c98c2;176568;236516;Polycorp TMD 54E1 type A;20211201;C;18
013ade84-0c53-b6b0-66ca-fc9a3a8c7f0b;115299;222471;Clipped Tuned, Corus 54E1/54E5;20211201;C;18
01b873a0-3b6c-070e-3c2e-05c038091ce1;254153;271148;Clipped Tuned, Corus 54E1/54E5;20211201;C;18
01b873a0-3b6c-070e-3c2e-05c038091ce1;271148;657015;Clipped Tuned, Corus 54E1/54E5;20211201;C;18
020d908b-5579-66c2-5d9e-7de7af3a2198;2141305;5847997;Clipped Tuned, Corus 54E1/54E5;20211201;C;18
0248bee9-c44c-cea2-e27f-fbeda215c62b;3224880;3366019;S&V Vicon AMSA 54 FS type A;20211201;C;18
0248bee9-c44c-cea2-e27f-fbeda215c62b;3905553;4015662;S&V Vicon AMSA 54 FS type A;20211201;C;18
0248bee9-c44c-cea2-e27f-fbeda215c62b;4044691;4102748;S&V Vicon AMSA 54 FS type A;20211201;C;18
0248bee9-c44c-cea2-e27f-fbeda215c62b;4599239;4705344;S&V Vicon AMSA 54 FS type A;20211201;C;18
0248bee9-c44c-cea2-e27f-fbeda215c62b;4857494;5158792;S&V Vicon AMSA 54 FS type A;20211201;C;18
0248bee9-c44c-cea2-e27f-fbeda215c62b;5202836;5648277;S&V Vicon AMSA 54 FS type A;20211201;C;18
0248bee9-c44c-cea2-e27f-fbeda215c62b;5826453;5969594;S&V Vicon AMSA 54 FS type A;20211201;C;18
04b920f8-cda3-18b5-12a9-3914ea244b37;9270859;9163072;S&V,VICONAMSA 5RQ/54E1/54E5;20211201;C;18
04b920f8-cda3-18b5-12a9-3914ea244b37;9282835;9270859;S&V,VICONAMSA 5RQ/54E1/54E5;20211201;C;18
054fd9c0-a136-837b-1377-4fe18e31db79;61344;85291;Clipped Tuned, Corus 54E1/54E5;20211201;C;18
05e59f20-126b-b8a1-60fb-c21a84888763;2405849;1943861;S&V,VICONAMSA 5RQ/54E1/54E5;20211201;C;18
0613e980-4f97-b250-9dab-9466e30cd260;2981877;3229373;S&V,VICONAMSA 54VS/54E1/54E5;20211201;C;18
0613e980-4f97-b250-9dab-9466e30cd260;3229373;3378672;S&V,VICONAMSA 54VS/54E1/54E5;20211201;C;18
0613e980-4f97-b250-9dab-9466e30cd260;3378672;3591098;S&V,VICONAMSA 54VS/54E1/54E5;20211201;C;18
