PUIC;REF_OBJECT_BEGIN_NAAM;REF_OBJECT_BEGIN_PUIC;KANTCODE_SPOORTAK_BEGIN;REF_OBJECT_EIND_NAAM;REF_OBJECT_EIND_PUIC;KANTCODE_SPOORTAK_EIND;LRS_VAN;LRS_TOT;LENGTE_GEOM;VERSIE_DATUM;VERSIE_GELDIG;VERSIE_NUMMER
9731ecef-9729-4d84-a853-7d6ca6d32294;906;a527ef1f-146d-4c06-a067-28aaf96b4eee;V;907;59968ad4-0f39-4d7d-9074-edb434698237;V;0;9093;9093;20211201;C;18
974529e9-9f9b-4379-9ca9-6d35637749fd;988;db4b3072-5816-4b2b-b55e-621fa808de9f;V;997;481608ff-7f82-4ce9-855e-79fc05be90b9;R;0;85227;85227;20211201;C;18
9746f6e6-1713-419c-bd86-7bb85b169964;453B;2b44e71b-9316-415f-b0b3-ea9fb8633bc3;L;455A;0472640b-0b2a-449b-b17b-663a94c53ba5;R;0;57278;57278;20211201;C;18
9749df7a-0d80-4804-b5ea-ce177d95c156;345;0ad72dc4-305e-4808-a7e0-23c7d38d5ee2;L;SJ_345L;9c966f05-c181-4230-a0cc-98791ff4df3b;;0;395460;395460;20211201;C;18
974ac4d3-62a0-4fee-bdac-f9c8a9e59a81;47B/49A;bf517c34-b049-43bf-b4c8-eb357ad5b98c;Q;53B/55A;152823f1-a0b2-4681-98b1-6584cabe6be5;P;0;136093;136093;20211201;C;18
974b0c8e-1e33-48ea-94b7-a93f7b7e6da6;107;0fce66eb-7396-4e0a-acab-bfc0b79f16b5;L;201;ee334616-da75-42c5-8cc4-379609fa2ac7;L;0;807420;807420;20211201;C;18
97530aa0-21fc-4440-9c47-302cd1c67224;53A;01729949-fb5e-4c6f-b61d-a18bc1eb23f0;R;53B;5f2c4390-61d3-4d84-9afb-07364b41ad87;R;0;89726;89726;20211201;C;18
9756f053-f103-4bc1-8da8-27acb8c73574;95/99A;6d81d92d-5480-45c4-9eea-348235643d32;T;99B/101A;ab94d3af-83eb-4459-82f0-9f94e0a944cb;Q;0;40081;40081;20211201;C;18
975faf42-3c59-4f60-b8e1-ca9a3008c92a;2095;ed655f29-87de-4108-984a-37cd33b66aa4;R;2097;900a64ad-59e1-4d1b-8c22-e1726c8d46d4;R;0;61609;61609;20211201;C;18
976007b4-349c-46e4-8afe-d01a44663ddd;51A/51B;f019e767-ab5d-4eed-aba9-46b467137114;T;SJ_51BT;a98efc81-59fc-4058-9ea1-7e290f7177de;;0;136627;136627;20211201;C;18
9764daa7-b9c4-4d1b-b2c9-5dfc9521484a;227A;5ea73940-7371-4290-b2c3-94193ccdbfb5;R;241;09cd2b93-1ad8-49c5-aa2e-fb0dcdc85825;R;0;893280;893280;20211201;C;18
976706dc-f32a-41e6-a480-abf52146a7b2;822;ea10c043-6f68-4d3a-959b-db84728391b3;R;824;2deae396-44c4-45ec-a112-3e9038bda205;R;0;76658;76658;20211201;C;18
976a12b1-7f89-4d10-875c-f7c709d1fda2;913;43adb650-c529-4723-ba69-d4d9ea54be18;R;916;c6950af4-0336-47b3-a94b-df105461ae49;L;0;583926;583926;20211201;C;18
976c1d48-ab61-432e-91a6-8c81eb3d286f;10;92a7867d-7369-4a19-b6a0-206a19d32a10;R;SJ_10R;22f922c9-b798-4032-abf3-c97560c7a6a2;;0;107286;107286;20211201;C;18
9773862b-35de-4277-9447-76ede0e503cb;W2-4;6a6e934f-67c6-4def-8c72-c4db20b49a40;V;W4-5A/W4-5B;b52e1a40-4b77-47d6-8c0e-62c755123c1e;Q;0;40810;40810;20211201;C;18
977f15bc-2849-40a2-bc2a-a4f23cd79677;201;54ab0e2a-d5c8-44ab-b0e7-e29c5cc4f1ab;L;215B/217A;b63cb361-cfda-4f90-8892-7f0cb547a9fc;S;0;247420;247420;20211201;C;18
977fff1d-f067-432f-b1aa-133cf6168b04;297;8adf3d93-6ec6-496e-b0fd-8769907ba1f9;R;303;ecaf11b1-e259-427d-9662-59de52b440ce;L;0;2830125;2830125;20211201;C;18
9781c5f7-4c67-44dc-8717-e72c70e1fd27;911;314532dc-f35c-401a-80a9-60cbb4e80158;L;923;7861d0e3-a793-4424-a567-19b3aaecb15c;V;0;68347;68347;20211201;C;18
97886c04-ddbd-4ba3-a385-81daee576f65;2111;6a9b9810-ff6b-406a-81f3-36378d5bbcfc;R;2113;9095e95a-d75f-4d7e-8ed5-de0331f842a0;R;0;170532;170532;20211201;C;18
978c7bc9-245f-44e5-b8a5-34cbcdfc788c;909;0f624c2d-3753-4685-a0d2-4b532dcd722c;V;911;0be867c9-8637-4dbf-af7c-df3ac9c6a628;R;0;36805;36805;20211201;C;18
97972adb-a109-44f9-8a22-e6cbfc235f17;41A;1a40bfd6-c6e3-4ee9-98b0-3a580f425eca;L;41B/43A;f64c783a-025b-4577-81c5-38f162ee9235;Q;0;81210;81210;20211201;C;18
979c0d5e-af12-44d4-af00-5ef00954d5e2;3273;66c247f5-ee37-4bbf-99aa-0361b405431b;V;3295;a876479e-544c-49ed-8bdf-40752820e5aa;V;0;1205799;1205799;20211201;C;18
97a0e1e8-5679-4668-bf88-712744f316f2;245;33bbd4bb-ff30-4969-80ba-8d4dbba03956;L;271B;edf94b11-19f8-482e-83d9-cf27d353a927;L;0;812751;812751;20211201;C;18
97a53344-bec8-417f-a6d2-6c00b5ed2908;367;062a1135-b83c-44d4-a251-c57be67182d0;V;369/371A;954e02d8-1559-45c1-88ca-4d5f30793e97;Q;0;30342;30342;20211201;C;18
97bbcb6a-581f-48a8-9a90-7d275e8c7381;3021;86ab11ac-f9e3-43a3-8546-4352b3fd1baf;L;3023;4f183a22-8713-491a-93cd-4bbb450f087d;V;0;84691;84691;20211201;C;18
97bc1f50-4ac6-4989-b43d-e55383654560;20;8994dfae-4244-42b0-9e22-4603aee41b9d;R;22;34107598-7e81-48ce-a420-03b2e8a776a5;V;0;39044;39044;20211201;C;18
97bf53ad-14bc-4931-928b-b4bf36497ed6;31-32;6da4bd23-6a63-4543-9767-38677ff27cce;V;31-34;7489378b-4f70-497f-b262-eb0cd47cc758;L;0;26949;26949;20211201;C;18
97c7675e-1c66-4d9f-8fad-3e7c14b9d1e2;1671;2e49e248-a11a-498a-ad73-5a7fc7897c97;L;2065;5593bd03-f518-442f-98be-d2160a2d064e;L;0;93042;93042;20211201;C;18
97ce458e-a24d-4aa0-becb-2d24ad26fcfe;213;b9e4a3a1-9c37-4420-87e4-5843af452829;V;215/217A;79b2f4fc-f794-4668-aba7-f68fd015360e;S;0;17987;17987;20211201;C;18
97d47f55-47af-478b-b682-772e207b95e3;1125;cf7214b2-ef87-4378-8071-c16f18966a87;R;1129;9d4e8285-d0fc-4878-a630-961e73af95c9;L;0;531047;531047;20211201;C;18
97d584ee-059e-4855-9314-b1be148eb10c;41;98f7b488-c8ba-4d2d-bcd7-f6ce9b7eae4e;R;SJ_41R;df0bff80-e8c5-4478-af91-0935eb1b02da;;0;255410;255410;20211201;C;18
97d66507-18d2-457f-a9b6-c15ad64eb917;947;58108776-775a-43da-b927-5c35f2c9cf20;R;983;6320060a-65ff-41ff-8f17-a2bad2eeb1a3;R;0;705539;705539;20211201;C;18
97d77354-4e45-4b7d-b898-c46a930bb34c;487A;e6479e44-4656-4d1f-98bb-b7408b5b4e0d;L;489B;55d86b4b-a669-4d87-ad5e-39116b8cfd0a;L;0;99943;99943;20211201;C;18
97dcf7c7-78a8-4499-91f3-2ab6fe767fbb;1231;184a2636-bd44-4c67-a4b1-3f2c5122d2a1;L;1233;f0667a00-114e-40ba-8fc0-b8c0902ffa7a;L;0;182725;182725;20211201;C;18
97e68547-94bd-4c3b-8cc5-6b5688d14b95;517;316c990c-2d98-4263-bc94-e64ce563e393;V;SJ_517V;8bd0a264-7b18-4226-8571-502e54d93bdb;;0;34379;34379;20211201;C;18
97eca428-0c47-4dc7-be32-c14262d20f6c;961;b93680b1-9e53-4efd-8810-89177393136d;V;963;8c907533-b8a2-463e-bf7c-04a1cc133f9b;L;0;61920;61920;20211201;C;18
97f1caa7-69c7-44e2-b16c-8e40cb503ba3;41B;3182a06f-5315-4561-b2fc-5df2e5d3d7b5;V;45A;8c4c5a39-8c32-40c8-bcf6-b94771210e3d;V;0;15559;15559;20211201;C;18
97f299fc-9c56-43a9-984c-a47d67e84ac1;135;f2c50185-c04f-466d-a9f2-da2fb42e4695;R;251;dfe8bab9-3af3-4514-8744-ba5a3431dbfe;R;0;766280;766280;20211201;C;18
97fa436d-4e00-46c4-aac6-d68a72f2c12d;479A;02937eeb-bef7-4474-973d-05087ffcd75f;L;479B;d8e6c417-72cd-4e27-a067-8936e7925540;L;0;66766;66766;20211201;C;18
97feb944-8098-4cbc-82e9-411964ea9113;213A;60caee77-1dad-4e7d-b8f4-0f2ac83e6f4f;L;973;f7bda6a7-af0a-45be-b7c3-64ea367fe6c5;L;0;111469;111469;20211201;C;18
98011b13-3031-44fc-9730-cb22dcd8d087;1075;f2348292-4953-4942-8e10-24d6356b76dd;R;1123;f934c3ac-d640-467a-8c65-dfdbde998dae;L;0;670991;670991;20211201;C;18
98015f9d-9850-4afd-8d15-ae171aba62f3;4;5e203974-a5fc-4d26-a915-84507249dab9;L;6;f6d82170-1449-4a49-9e6d-50b428a4b61b;V;0;53624;53624;20211201;C;18
980708f4-833b-479f-bc41-b627acc9d4d3;435A;2d3b7507-0502-4089-9452-e6b1475d8107;L;435B;bd260bd7-53c2-494c-9c14-deab6e93d359;L;0;54476;54476;20211201;C;18
98073d9f-db5e-4c8e-929f-bdcfe52d57df;910A/910B;c035bd12-f437-4971-ab18-65f3965a54e3;S;913;69593983-d041-438c-b12d-ad7b2dd90e9d;R;0;66459;66459;20211201;C;18
981133a7-4dbd-4bb6-9256-45785b36660b;231B;a880bd84-9843-4587-9e2c-f6d43598e0fc;V;233/235A;63a1747d-832a-4ea0-a0ae-2780ec8993de;Q;0;30630;30630;20211201;C;18
9811de3c-f532-4531-aaf2-4d37943f0003;250;c6c3b37a-ca0e-49d0-b828-258adb86243f;V;251;c8dc8492-4bfc-4604-a285-ba8d06f546d6;L;0;178141;178141;20211201;C;18
9814f119-043f-445f-9b82-46063721c287;423B;9b05c572-0343-45e2-9952-613a49313325;V;459A;1dec53eb-b97b-49a5-b583-b05e099ba91e;V;0;1248491;1248491;20211201;C;18
981916a9-2aaf-40f5-a929-2d747b8baa87;9B;05055fcc-a489-4112-b11f-e12d0924f1c6;V;11A;e55e6680-c3c4-4bd6-b468-4063153370ed;V;0;82312;82312;20211201;C;18
981afe20-76de-409e-a03e-b1c80964a7b6;171A;56750f6a-2bcb-4e24-bc5d-1b9c1c07aaf5;R;181B;c9ddc450-712e-4f9b-a46f-ffe3c1b68d0d;L;0;11267745;11267745;20211201;C;18
9826d43c-ac1c-485e-a207-7a7fd96d94ab;W2026;813577d7-4a79-47dc-b242-e6847c420dc0;R;TI_W2026R;20c91520-c7c5-45db-8b20-0296fafa504b;;0;61154;61154;20211201;C;18
982ab8e5-6a26-42e9-89c7-126867dd9b85;933;3ec363eb-7e95-4a6a-b4b2-8c6a478f86f3;L;SJ_933L;28dbd832-56c1-442e-b3f7-fe3a78e81b26;;0;351231;351231;20211201;C;18
9835bbca-09f3-47ca-88f8-75de9e6ee4ff;4233;a781ad7a-b509-4c83-97cf-53cc3d43e6f4;L;4235;c318e679-d853-4442-a59a-168be585d56f;L;0;113444;113444;20211201;C;18
98370914-5d92-450e-8290-73c8211d5584;201B;b40492b6-0e35-4da2-867c-0632b8a9cf0a;V;203;0db58467-9b72-4168-803d-2a8e0f42050c;L;0;74387;74387;20211201;C;18
9839baf1-840a-46d4-9118-ad2e41ee06ff;71A;a1ed6631-42b5-4ca2-8030-95cc391c2646;L;71B;c1fde51c-5aa3-488f-8009-6bdb25047546;L;0;101706;101706;20211201;C;18
984df855-a43d-4d7d-b386-41732c4fb1f8;55A;b5daaa03-1cb5-47e1-87e7-39a4094b4ac4;R;57B;84cc1ec0-67fa-4ffb-91e5-aa2622f7ffbc;L;0;61430;61430;20211201;C;18
984e2723-d899-4e6d-88c8-ac639fa54492;2507A;7cde3ed6-9fb2-4cc1-8055-70029d3b69d5;R;K2507;561c8280-d9c0-4098-bcdb-4350ee55a152;P;0;30961;30961;20211201;C;18
984e8d15-f5ee-4a5c-ad2d-eeb11ebfebe6;71;e7dfd1e3-b8c6-42dd-a6be-ded035cfdb10;L;95B/97A;77deae16-492f-474c-a731-22f52b915852;S;0;343454;343454;20211201;C;18
985029e6-1009-4e61-8d05-032327745619;475B;6a598280-253b-43cf-ba2d-f6368b17fe87;V;817;21f54678-b689-4d83-92ff-0731db0c23b8;V;0;2303248;2303248;20211201;C;18
98519bf6-9755-4774-a46d-920482db5a89;914;921e64a6-cac7-4bd6-9309-5ac1cb6a8b13;R;937;bd78eaa7-e16f-4ae3-9517-dee3c0c2fa0e;R;0;215747;215747;20211201;C;18
9854e002-94b1-4bf3-8ebc-2653fd139ee6;1589;dc097c7b-c9c9-4500-a360-144ebf6a4aba;L;SJ_1589L;1b062f9d-203f-4c23-a882-d05284eb9903;;0;122909;122909;20211201;C;18
98593d66-7512-4ec3-ad54-d1751dcc0470;959;1e458d1c-41cf-4f10-901d-a872664f5a69;V;961;4cdd60ae-bae1-4b23-8ebd-cf6d896b2d28;V;0;2102;2102;20211201;C;18
98652f1d-a71b-4ef4-b6eb-dfe4c4f8c1fc;ES_X0535;ec8b0f31-48e8-44df-8cc0-3c4828a9b37e;;ES_X0790;1b758e30-8575-4113-964b-6d77601d36cb;;0;876944;876944;20211201;C;18
986797ab-5af6-4163-8587-15ef4a931f16;49;ee6dc3a1-d3b9-47c1-8be6-50334861d1b6;V;50;c383183b-987f-4811-a5d1-88b0a3982ec6;V;0;13821;13821;20211201;C;18
9871fcf8-d522-4e1a-a1bc-5aa16b5713c5;2721;1d28891d-3360-4906-962f-d9611b6f0d68;R;2723;ce7ea459-fd2d-4b74-b9d7-0e9aacb3fe2e;R;0;69571;69571;20211201;C;18
9876056b-d9d2-4a36-a496-6ca3109870cb;934;18ff4057-1279-46d3-8f54-3d857a92819e;V;937;d47e6be1-a946-4be9-9aab-1de5d10f1c79;L;0;147749;147749;20211201;C;18
98782915-0309-4ad0-a510-a11a857537b9;2005;c6df920a-9194-4139-b272-bb0064cb07b5;L;2049;c99e659e-b256-4350-9bd4-fdaaee245570;V;0;949089;949089;20211201;C;18
987b52f8-2724-4cf3-92b7-ca7f50fccaf6;183/185;7d0c9b72-1775-4d63-9920-f19d2dcc694e;P;SJ_185P;f6243062-70e7-4126-bc98-0858b8caf5e4;;0;95120;95120;20211201;C;18
987c5028-1151-4226-a4be-46acceb33dac;215B;9f9448d4-e72b-46a4-aaf9-d0dc90038294;L;K10;c5c31859-c1c3-498a-ab3a-054fa9e6ce60;T;0;405708;405708;20211201;C;18
987f63f7-ab42-489f-bb90-0ebc35db98a3;824;616f8b98-966d-420b-9090-4dcf824c8552;L;860;f1db687a-adee-40b7-8187-8c964a7209e3;R;0;298904;298904;20211201;C;18
98809dd2-b73d-462e-86b9-771fd32c5efc;1027A/1027B;13eeaea2-1f6f-47a1-abed-af4b2fe9ddc3;S;1029A/1029B;16191bc3-d784-49ae-9fde-d2dfa5ceb355;P;0;40388;40388;20211201;C;18
98831820-1562-4f56-a798-6be13d8cbb21;1123A;427fc213-2cb3-4a77-8ded-70d7329a595d;R;1123B/1127A;a7096bb2-3f79-4138-ae73-52b611aea370;S;0;110879;110879;20211201;C;18
9883c327-b583-4a60-87ce-24e28f729901;3757;2fb5124b-7aab-4947-816d-273e9571009c;V;3759;bee4291e-cfa4-40eb-9d68-59b4868d9268;L;0;38564;38564;20211201;C;18
9887b6ce-e792-42c6-be9f-ce876a2d1ef5;161A;44389c7e-6554-4406-994b-12cd121ebd57;L;161B;8245a790-9945-4e5f-a03c-fd322a88f59f;L;0;103736;103736;20211201;C;18
988d4d65-a17d-42ab-89a6-f2bc5bf05a3b;2007;2348783c-7754-4762-9b75-a8ef690fcf02;R;2009;d8fecc3a-9872-450a-9722-c7665851a512;R;0;86484;86484;20211201;C;18
98a29c2f-90e7-4bfd-bc6e-d6a6de7d8b2c;75B;e72242c6-a0a2-4abb-8928-d2126a6e702d;V;91A;04d1269c-cb1c-48ed-82eb-fa732c0dff86;V;0;237117;237117;20211201;C;18
98a6697b-868b-44a8-b3a2-9676632c5ee8;279;bc57c3c6-496f-4fa2-8d3d-d2dec991ea1c;R;SJ_279R;68248ba1-f2d5-45da-852e-c73a550260ab;;0;113030;113030;20211201;C;18
98b2f21a-63d6-4107-adaf-24389d5615c0;140;c72e20f7-1ba1-405b-b3e4-1f399f08170d;V;141;0ba97bf1-24c0-45f5-8949-1537fc97248c;V;0;19788;19788;20211201;C;18
98b502a4-d60b-4e5a-aa57-40f7723625b4;537;5dc66d7c-a3ad-464e-a9c2-f815f574397b;R;545;29f4b297-23db-4d92-bd80-794684dcf5e7;R;0;404107;404107;20211201;C;18
98b53380-5930-4292-9480-cf4f2560dce3;1235B;3df06728-3662-44c9-9cf0-57fe718ce6b4;L;K1233;782c378e-12b1-408e-bdc3-c8f436f96fd5;Q;0;30724;30724;20211201;C;18
