ID;SPOORTAK_IDENTIFICATIE;OBJECT_NAAM;OBJECT_TYPE;SPOORTAK_LRS_VAN;SPOORTAK_LRS_TOT;DATUM_VERWERKING;HOEKVERHOUDING;AFSTAND_VOORLAS_WISSELTONG;BEGRENZERNAAM_BEGIN;BEGRENZERNAAM_EIND;BEGRENZERTYPE_BEGIN;BEGRENZERTYPE_EIND
92996466;017_353AR_32.0;353A;W;0,000;0,048;2016-12-13;1:15;1,33;353A;353A;WISSEL;WISSEL
92996467;531_505R_35.7;507A/505;W;0,000;0,016;2016-12-13;1:9;7,17;507A/505;507A/505;WISSEL;WISSEL
92996468;508_2019R_90.4;2019;W;0,000;0,048;2016-12-13;1:15;1,33;2019;2019;WISSEL;WISSEL
92996469;950_231V_12.6;239/237;W;0,023;0,040;2016-12-13;1:9;7,17;239/237;239/237;WISSEL;WISSEL
92996470;586_63AL_80.4;69/63B;W;0,034;0,050;2016-12-13;1:9;7,17;69/63B;69/63B;WISSEL;WISSEL
92996472;545_263pV_22.6;265A/263;W;0,000;0,034;2016-12-13;1:9;7,17;265A/263;265A/263;WISSEL;WISSEL
92996474;606_103BqV_0.9;105A/103B;W;0,000;0,032;2016-12-13;1:9;7,17;105A/103B;105A/103B;WISSEL;WISSEL
92996475;625_303R_14.6;303/305A;W;0,000;0,017;2016-12-13;1:9;7,17;303/305A;303/305A;WISSEL;WISSEL
92996476;133_1087AR_15.0;1101B;W;3,222;3,269;2016-12-13;1:15;1,33;1101B;1101B;WISSEL;WISSEL
92996477;478_1187R_0.8;1187;W;0,000;0,029;2016-12-13;1:9;1,33;1187;1187;WISSEL;WISSEL
92996478;133_1111R_18.2;1131B;W;1,397;1,445;2016-12-13;1:15;1,33;1131B;1131B;WISSEL;WISSEL
92996479;012_303AL_8.4;303A;W;0,000;0,047;2016-12-13;1:15;1,33;303A;303A;WISSEL;WISSEL
92996480;085_215AL_19.8;215A;W;0,000;0,033;2016-12-13;1:9;1,33;215A;215A;WISSEL;WISSEL
92996481;097_4331R_21.3;4331;W;0,000;0,033;2016-12-13;1:9;1,33;4331;4331;WISSEL;WISSEL
92996482;127_487R_73.9;487;W;0,000;0,027;2016-12-13;1:9;1,33;487;487;WISSEL;WISSEL
92996483;950_665L_7.6;669B/669A;W;0,173;0,189;2016-12-13;1:9;7,17;669B/669A;669B/669A;WISSEL;WISSEL
92996484;524_293AR_71.3;293A;W;0,000;0,047;2016-12-13;1:15;1,33;293A;293A;WISSEL;WISSEL
92996485;565_65R_16.6;71;W;0,475;0,503;2016-12-13;1:9;1,33;71;71;WISSEL;WISSEL
93002052;801_930R_301.2;1050;S;0,027;0,658;2016-12-13;;;930;931;WISSEL;WISSEL
93002054;097_4331V_21.3;707;S;0,301;0,467;2016-12-13;;;4309;SJ_4331V;BED_SEIN;STOOTJUK
93002055;502_251AL_100.4;214;S;0,066;0,628;2016-12-13;;;250;278;BED_SEIN;BED_SEIN
93002056;618_869AR_50.5;161;S;0,029;0,324;2016-12-13;;;869A;St875;WISSEL;STOPONTSPRBLOK
92987852;586_379AL_81.4;379B;W;0,032;0,064;2016-12-13;1:9;1,33;379B;379B;WISSEL;WISSEL
92987853;924_19-26R_35.4;19-26;W;0,000;0,027;2016-12-13;1:9;1,33;19-26;19-26;WISSEL;WISSEL
92987854;817_911L_115.1;943;W;0,777;0,806;2016-12-13;1:9;1,33;943;943;WISSEL;WISSEL
92987855;503_171AL_42.3;171B;W;0,048;0,075;2016-12-13;1:9;1,33;171B;171B;WISSEL;WISSEL
92987856;664_1001L_43.0;1001;W;0,000;0,028;2016-12-13;1:9;1,33;1001;1001;WISSEL;WISSEL
92987857;031_205L_9.7;215;W;0,706;0,744;2016-12-13;1:12;1,33;215;215;WISSEL;WISSEL
92994876;135_2065L_42.9;2065;W;0,000;0,048;2016-12-13;1:15;1,33;2065;2065;WISSEL;WISSEL
92994878;553_207L_21.1;215A/213;W;0,038;0,055;2016-12-13;1:9;7,17;215A/213;215A/213;WISSEL;WISSEL
92994879;506_31AR_43.1;31A/33;W;0,000;0,015;2016-12-13;1:9;7,17;31A/33;31A/33;WISSEL;WISSEL
92994881;552_253L_83.1;253;W;0,000;0,029;2016-12-13;1:9;1,33;253;253;WISSEL;WISSEL
92994882;526_437L_3.5;437;W;0,000;0,038;2016-12-13;1:12;1,33;437;437;WISSEL;WISSEL
92994883;128_9BR_12.2;9B;W;0,000;0,047;2016-12-13;1:15;1,33;9B;9B;WISSEL;WISSEL
92994884;508_2101L_91.4;2101;W;0,000;0,048;2016-12-13;1:15;1,33;2101;2101;WISSEL;WISSEL
92994885;664_913BqV_43.3;915/913B;W;0,000;0,034;2016-12-13;1:9;7,17;915/913B;915/913B;WISSEL;WISSEL
92994886;818_2R_100.0;2;W;0,000;0,029;2016-12-13;1:9;1,33;2;2;WISSEL;WISSEL
92994887;588_389V_2.6;417A/413B;W;0,276;0,293;2016-12-13;1:9;7,17;417A/413B;417A/413B;WISSEL;WISSEL
92994888;618_47AR_58.8;57A/47B;W;0,068;0,085;2016-12-13;1:9;7,17;57A/47B;57A/47B;WISSEL;WISSEL
92994889;927_970R_906.1;970;W;0,000;0,026;2016-12-13;1:9;1,33;970;970;WISSEL;WISSEL
92994891;924_3243BV_34.3;3513;W;0,791;0,819;2016-12-13;1:9;1,33;3513;3513;WISSEL;WISSEL
92994892;129_12R_29.9;12/13;W;0,000;0,017;2016-12-13;1:9;7,17;12/13;12/13;WISSEL;WISSEL
92994895;519_47L_46.4;73;W;0,398;0,425;2016-12-13;1:9;1,33;73;73;WISSEL;WISSEL
92994896;618_25BqV_58.6;27A/25B;W;0,000;0,034;2016-12-13;1:9;7,17;27A/25B;27A/25B;WISSEL;WISSEL
92994897;131_5L_16.7;5;W;0,000;0,028;2016-12-13;1:9;1,33;5;5;WISSEL;WISSEL
92994898;035_907R_51.5;910;W;0,555;0,584;2016-12-13;1:9;1,33;910;910;WISSEL;WISSEL
92994900;503_89AL_44.0;89A;W;0,000;0,039;2016-12-13;1:12;1,33;89A;89A;WISSEL;WISSEL
92986568;525_982ApV_78.2;982A/982B;W;0,000;0,033;2016-12-13;1:9;7,17;982A/982B;982A/982B;WISSEL;WISSEL
92986569;508_950L_91.1;950;W;0,000;0,029;2016-12-13;1:9;1,33;950;950;WISSEL;WISSEL
92986570;614_2135R_47.6;2135;W;0,000;0,048;2016-12-13;1:15;1,33;2135;2135;WISSEL;WISSEL
92986571;519_27AL_46.1;27A;W;0,000;0,027;2016-12-13;1:9;1,33;27A;27A;WISSEL;WISSEL
92986572;527_43AR_16.6;43B;W;0,037;0,064;2016-12-13;1:9;1,33;43B;43B;WISSEL;WISSEL
92986573;534_1083AqV_45.9;1083A/1085B;W;0,000;0,031;2016-12-13;1:9;7,17;1083A/1085B;1083A/1085B;WISSEL;WISSEL
92986575;520_971L_0.6;972;W;0,336;0,365;2016-12-13;1:9;1,33;972;972;WISSEL;WISSEL
92986577;486_907R_75.3;907;W;0,000;0,028;2016-12-13;1:9;1,33;907;907;WISSEL;WISSEL
92986578;545_151AL_22.9;151A;W;0,000;0,029;2016-12-13;1:9;1,33;151A;151A;WISSEL;WISSEL
92988308;950_654V_7.2;656;W;0,013;0,041;2016-12-13;1:9;1,33;656;656;WISSEL;WISSEL
92988309;060_425R_57.9;425;W;0,000;0,047;2016-12-13;1:15;1,33;425;425;WISSEL;WISSEL
92988311;203_397L_55.1;407;W;0,590;0,628;2016-12-13;1:12;1,33;407;407;WISSEL;WISSEL
92987295;058_1L_55.4;101;W;7,238;7,280;2016-12-13;1:15 SYM;1,33;101;101;WISSEL;WISSEL
92987296;544_1129BV_1.4;1131B;W;0,037;0,066;2016-12-13;1:9;1,33;1131B;1131B;WISSEL;WISSEL
92987297;135_2211V_14.9;2237/2233;W;0,477;0,494;2016-12-13;1:9;7,17;2237/2233;2237/2233;WISSEL;WISSEL
92987298;525_477R_78.9;477;W;0,000;0,048;2016-12-13;1:15;1,33;477;477;WISSEL;WISSEL
92987299;531_1275AR_34.5;1207A/1275B;W;0,028;0,045;2016-12-13;1:9;7,17;1207A/1275B;1207A/1275B;WISSEL;WISSEL
92987300;035_910V_52.1;911;W;0,007;0,034;2016-12-13;1:9;1,33;911;911;WISSEL;WISSEL
