ID;SPOORTAK_IDENTIFICATIE;SPOORTAK_LRS_VAN;SPOORTAK_LRS_TOT;GEOCODE;GEOCODE_KM_VAN;GEOCODE_KM_TOT
1304051;094_1107BV_1.7;0,000;0,828;094__;1,738;0,901
1304052;094_1107BV_1.7;1,024;1,239;531_c;34,320;34,502
1304053;094_1107BV_1.7;0,828;1,024;531_a;0,900;0,700
1304054;609_23L_28.9;0,000;0,947;609__;28,864;27,917
1304055;609_215V_28.8;0,000;0,043;609__;28,799;28,841
1304056;609_211R_28.7;0,000;0,546;609__;28,695;28,149
1304057;609_239L_28.1;0,000;0,060;609__;28,149;28,209
1304058;814_980R_201.1;0,000;0,326;814_b;201,128;201,000
1304059;100_2021BV_3.0;0,000;4,665;100__;3,015;7,681
1304060;527_915L_17.5;0,000;0,036;527_c;17,527;17,563
1304061;605_1AV_33.4;0,129;7,503;206__;39,400;32,021
1304234;924_46-49R_35.3;0,000;1,042;924_a;35,332;34,305
1304235;927_3321L_904.4;0,000;0,411;927__;904,438;904,848
1304236;517_11BR_68.7;2,099;2,938;780__;19,329;18,493
1304237;531_1169R_1.5;0,000;0,556;531_d;1,546;1,000
1304238;508_2101R_91.4;0,000;0,677;508__;91,436;92,113
1304239;050_84V_6.3;0,127;0,424;587_a;6,400;6,699
1304240;817_1215R_115.2;0,000;1,033;817_a;115,232;114,204
1304241;527_81AL_17.2;0,000;0,048;527_c;17,191;17,239
1304242;545_109BV_22.7;0,000;0,223;545_b;22,742;22,966
1304243;127_313R_12.3;0,000;1,000;127_a;12,284;13,280
1304244;520_123AL_0.5;0,000;0,082;520_a;0,513;0,593
1304245;557_4AR_28.2;0,000;0,133;557_a;28,246;28,121
1304246;517_71L_69.3;0,604;0,836;517_a;0,002;0,246
1304434;950_909R_16.9;0,012;0,238;470_l;400,000;400,224
1304435;779_50R_61.3;11,298;12,725;039__;111,030;109,604
1304436;664_903R_43.0;2,591;2,856;663_c;199,763;199,501
1304437;553_325BV_22.7;0,065;5,399;062__;22,800;28,134
1304438;553_325BV_22.7;0,000;0,065;553_c;22,734;22,800
1304439;035_91AV_45.8;0,000;7,240;035__;45,834;38,606
