ID;SPOORTAK_IDENTIFICATIE;DOELGROEP;SPOORTAK_LRS_VAN;SPOORTAK_LRS_TOT;LOKALE_SNELHEID;DATUM_VERWERKING
92194440;618_71L_51.3;T;0,701;0,791;40;2016-12-06
92194441;618_71R_51.3;T;0,000;0,056;10;2016-12-06
92194442;618_73AL_51.3;T;0,000;0,063;10;2016-12-06
92194443;618_73AR_51.3;T;0,000;0,066;40;2016-12-06
92194444;618_73AR_51.3;T;0,066;0,148;10;2016-12-06
92194445;618_73BqV_51.3;T;0,000;0,034;10;2016-12-06
92194446;618_75L_51.3;T;0,000;0,049;10;2016-12-06
92194518;618_183AL_50.9;T;0,000;0,074;40;2016-12-06
92194519;618_183AR_50.9;T;0,000;0,159;40;2016-12-06
92194520;618_183BV_50.8;T;0,000;0,026;40;2016-12-06
92194521;517_185L_0.1;T;0,000;0,047;40;2016-12-06
92194522;517_185V_0.1;T;0,000;0,017;40;2016-12-06
92194523;618_185AL_50.8;T;0,000;0,031;40;2016-12-06
92194524;618_185AR_50.8;T;0,000;0,060;40;2016-12-06
92194525;618_185ApV_50.8;T;0,000;0,034;40;2016-12-06
92194526;618_185BV_50.8;T;0,000;0,392;40;2016-12-06
92194527;517_187V_0.1;T;0,000;0,017;40;2016-12-06
92194528;618_187BqV_50.8;T;0,000;0,034;40;2016-12-06
92194529;517_189AL_0.1;T;0,000;0,051;40;2016-12-06
92194530;517_189AR_0.1;T;0,000;0,089;40;2016-12-06
92194531;517_189AqV_0.1;T;0,000;0,033;40;2016-12-06
92194532;517_189BR_0.2;T;0,000;0,028;40;2016-12-06
92194533;517_189BV_0.2;T;0,000;0,036;40;2016-12-06
92194534;618_191AL_50.8;T;0,000;0,074;40;2016-12-06
92194535;618_191AR_50.8;T;0,000;0,105;40;2016-12-06
92194536;618_191BR_50.7;T;0,000;0,150;40;2016-12-06
92194537;618_191BV_50.7;T;0,000;0,008;40;2016-12-06
92194538;618_193AL_50.7;T;0,000;0,069;40;2016-12-06
92197256;666_4211V_47.3;T;0,000;0,030;onbekend;2016-12-06
92197258;817_52AqV_300.8;T;0,000;0,033;40;2016-12-06
92197259;586_285BqV_81.3;T;0,000;0,031;40;2016-12-06
92197262;586_333BpV_81.5;T;0,000;0,028;40;2016-12-06
92197263;525_497AL_79.2;T;0,937;0,969;onbekend;2016-12-06
92197264;531_2613R_34.5;T;0,000;0,325;onbekend;2016-12-06
92197267;586_155BqV_80.8;T;0,000;0,031;40;2016-12-06
92197295;028_1003qV_52.6;T;0,000;0,032;60;2016-12-06
92196943;823_21AL_5.7;T;0,000;0,030;onbekend;2016-12-06
92196955;506_37BqV_43.2;T;0,000;0,034;40;2016-12-06
