ID;SPOORTAK_IDENTIFICATIE;RAILDEMPER_TYPE;SPOORTAK_LRS_VAN;SPOORTAK_LRS_TOT;DATUM_VERWERKING
88;035_145BV_53.0;Schrey & Veit, VICON-AMSA 5RQ;3;3,455;14-12-2016
89;035_145BV_53.0;Schrey & Veit, VICON-AMSA 5RQ;3;3,455;14-12-2016
90;054_1273AR_43.1;Clipped Tuned, type Corus 54E1;0,099;9,996;14-12-2016
91;101_1067BR_12.3;Schrey & Veit, VICON-AMSA 5RQ;2,293;2,552;14-12-2016
92;047_3BL_41.0;Onbekend;0,03;16,769;14-12-2016
93;518_191BV_64.9;Clipped Tuned, type Corus 54E1;0,421;0,796;14-12-2016
94;057_1AV_5.5;Clipped Tuned, type Corus 54E1;0,458;0,758;14-12-2016
95;057_1AV_5.5;Onbekend;3,185;3,719;14-12-2016
96;561_89BV_59.6;Clipped Tuned, type Corus 54E1;0,373;0,551;14-12-2016
97;532_1037R_11.2;Schrey & Veit, VICON-AMSA 5RQ;1,256;1,516;14-12-2016
98;011_301AR_70.0;Onbekend;0,029;2,565;14-12-2016
99;533_1117AR_15.3;Clipped Tuned, type Corus 54E1;0,6;0,974;14-12-2016
100;047_71R_52.2;Schrey & Veit, VICON-AMSA 5RQ;4,157;4,353;14-12-2016
101;603_179AL_3.9;Clipped Tuned, type Corus 54E1;2,219;2,586;14-12-2016
102;055_427AR_37.6;Schrey & Veit, VICON-AMSA 54VS;0,052;0,222;14-12-2016
103;055_427AR_37.6;Schrey & Veit, VICON-AMSA 54VS;0,252;0,462;14-12-2016
104;532_1061BR_12.0;Schrey & Veit, VICON-AMSA 5RQ;2,013;2,272;14-12-2016
105;078_231BV_66.0;Schrey & Veit, VICON-AMSA 5RQ;0;0,453;14-12-2016
106;078_231BV_66.0;Schrey & Veit, VICON-AMSA 5RQ;0;0,453;14-12-2016
107;609_5L_29.7;Clipped Tuned, type Corus 54E1;1,436;1,687;14-12-2016
108;509_9AR_35.1;Clipped Tuned, type Corus 54E1;0,131;1,382;14-12-2016
109;054_1005AV_57.3;Clipped Tuned, type Corus 54E1;0,37;0,745;14-12-2016
110;089_261AL_45.6;Clipped Tuned, type Corus 54E1;0,17;0,37;14-12-2016
111;654_409BV_49.7;Onbekend;0,861;17,514;14-12-2016
112;017_29BV_61.5;Onbekend;0;0,555;14-12-2016
113;017_29BV_61.5;Onbekend;0;0,555;14-12-2016
114;609_7L_29.7;Clipped Tuned, type Corus 54E1;1,437;1,688;14-12-2016
115;127_329BV_13.3;Onbekend;0;14,512;14-12-2016
116;127_329BV_13.3;Onbekend;0;14,512;14-12-2016
117;602_221AR_77.3;Schrey & Veit, VICON-AMSA 5RQ;0,238;0,436;14-12-2016
118;602_221AR_77.3;Schrey & Veit, VICON-AMSA 5RQ;9,865;10,041;14-12-2016
119;055_413AL_29.6;Schrey & Veit, VICON-AMSA 54VS;0,083;0,379;14-12-2016
120;055_413AL_29.6;Schrey & Veit, VICON-AMSA 54VS;5,158;5,241;14-12-2016
121;055_413AL_29.6;Schrey & Veit, VICON-AMSA 5RQ;5,417;5,897;14-12-2016
122;055_413AL_29.6;Schrey & Veit, VICON-AMSA 5RQ;6,878;7,538;14-12-2016
123;055_413AL_29.6;Schrey & Veit, VICON-AMSA 54VS;7,56;7,78;14-12-2016
124;551_161AR_23.6;Onbekend;4,68;6,228;14-12-2016
125;105_91AV_23.1;Schrey & Veit, VICON-AMSA 5RQ;1,878;2,347;14-12-2016
126;055_399BV_19.7;Schrey & Veit, VICON-AMSA 54VS;8,334;9,294;14-12-2016
127;124_195L_4.5;Onbekend;0,039;13,815;14-12-2016
128;563_187AL_57.4;Onbekend;0,436;2,343;14-12-2016
129;544_1071BV_0.2;Glued Tuned, type Corus 54E1;0,603;0,774;14-12-2016
130;050_465R_4.3;Clipped Tuned, type Corus 54E1;2,096;2,166;14-12-2016
131;054_1003AV_57.3;Clipped Tuned, type Corus 54E1;0,371;0,746;14-12-2016
132;620_1AV_41.6;Onbekend;0,295;5,011;14-12-2016
133;507_231AV_93.6;Schrey & Veit, VICON-AMSA 5RQ;0,445;0,952;14-12-2016
134;533_1113BV_15.5;Clipped Tuned, type Corus 54E1;0,463;0,497;14-12-2016
135;078_231AL_66.0;Schrey & Veit, VICON-AMSA 5RQ;0,032;0,514;14-12-2016
136;509_9AV_35.1;Schrey & Veit, VICON-AMSA 54VS;5,055;5,61;14-12-2016
137;017_27R_61.4;Clipped Tuned, type Corus 54E1;0,006;0,656;14-12-2016
138;533_1159AR_16.0;Clipped Tuned, type Corus 54E1;0,035;0,308;14-12-2016
139;542_1271BV_30.0;Clipped Tuned, type Corus 54E1;0,001;0,247;14-12-2016
140;127_435AR_54.0;Onbekend;0,027;7,665;14-12-2016
141;078_209L_64.9;Schrey & Veit, VICON-AMSA 5RQ;0,369;0,733;14-12-2016
142;604_13BV_47.6;Schrey & Veit, VICON-AMSA 5RQ;0,14;0,575;14-12-2016
143;055_413BV_29.6;Schrey & Veit, VICON-AMSA 54VS;0,023;0,319;14-12-2016
144;055_413BV_29.6;Schrey & Veit, VICON-AMSA 54VS;5,098;5,181;14-12-2016
145;055_413BV_29.6;Schrey & Veit, VICON-AMSA 5RQ;5,357;5,837;14-12-2016
146;055_413BV_29.6;Schrey & Veit, VICON-AMSA 5RQ;6,818;7,479;14-12-2016
147;055_413BV_29.6;Schrey & Veit, VICON-AMSA 54VS;7,513;7,721;14-12-2016
148;117_1843L_6.3;Onbekend;0,048;3,492;14-12-2016
149;046_227BV_36.1;Schrey & Veit, VICON-AMSA 5RQ;4,42;4,895;14-12-2016
150;117_1BL_15.5;Schrey & Veit, VICON-AMSA 5RQ;3,168;3,589;14-12-2016
151;532_1061BV_12.0;Clipped Tuned, type Corus 54E1;2,814;3,164;14-12-2016
152;506_259AR_45.5;Clipped Tuned, type Corus 54E1;0,333;0,533;14-12-2016
153;507_231BL_93.6;Schrey & Veit, VICON-AMSA 5RQ;0,514;1,018;14-12-2016
154;533_1117BV_15.5;Clipped Tuned, type Corus 54E1;0,462;0,476;14-12-2016
155;105_91BR_23.1;Schrey & Veit, VICON-AMSA 5RQ;1,945;2,407;14-12-2016
156;094_1065L_3.5;Clipped Tuned, type Corus 54E1;0,1;0,622;14-12-2016
