ID;SPOORTAK_IDENTIFICATIE;RAILDEMPER_TYPE;SPOORTAK_LRS_VAN;SPOORTAK_LRS_TOT;DATUM_VERWERKING
1;605_3AL_33.4;Schrey & Veit, VICON-AMSA 5RQ;0,027;0,515;14-12-2016
2;618_273BV_49.5;Schrey & Veit, VICON-AMSA 5RQ;0,062;10,774;14-12-2016
3;087_7L_21.1;Clipped Tuned, type Corus 54E1;0,58;0,798;14-12-2016
4;054_1275AR_43.6;Clipped Tuned, type Corus 54E1;0,047;9,367;14-12-2016
5;021_39L_67.2;Clipped Tuned, type Corus 54E1;0,799;1,074;14-12-2016
6;132_295AL_40.4;Onbekend;0,265;7,503;14-12-2016
7;533_1113AL_15.3;Clipped Tuned, type Corus 54E1;0,601;0,975;14-12-2016
8;017_353AL_32.0;Onbekend;0,049;7,506;14-12-2016
9;127_359AL_37.4;Schrey & Veit, VICON-AMSA 5RQ;0,199;0,249;14-12-2016
10;609_135BV_26.5;Schrey & Veit, VICON-AMSA 5RQ;5,084;5,328;14-12-2016
11;127_295AR_8.2;Schrey & Veit, VICON-AMSA 5RQ;3,737;3,931;14-12-2016
12;531_2677L_34.7;Clipped Tuned, type Corus 54E1;0,851;1,278;14-12-2016
13;127_351BV_27.9;Onbekend;0;9,544;14-12-2016
14;127_351BV_27.9;Onbekend;0;9,544;14-12-2016
15;087_7R_21.1;Clipped Tuned, type Corus 54E1;0,578;0,795;14-12-2016
16;533_1151AL_16.0;Clipped Tuned, type Corus 54E1;0,034;0,297;14-12-2016
17;128_25AR_12.6;Clipped Tuned, type Corus 54E1;0,465;0,718;14-12-2016
18;084_7AR_9.4;Schrey & Veit, VICON-AMSA 5RQ;0,027;0,418;14-12-2016
19;101_1063L_12.3;Schrey & Veit, VICON-AMSA 5RQ;2,293;2,553;14-12-2016
20;544_1075L_0.2;Glued Tuned, type Corus 54E1;0,563;0,647;14-12-2016
21;551_163R_24.0;Onbekend;4,277;5,857;14-12-2016
22;546_1047AV_3.9;Clipped Tuned, type Corus 54E1;0,284;0,462;14-12-2016
23;609_123BV_27.2;Clipped Tuned, type Corus 54E1;0,21;0,371;14-12-2016
24;127_325AL_13.2;Schrey & Veit, VICON-AMSA 5RQ;0,029;0,125;14-12-2016
25;128_33V_12.8;Clipped Tuned, type Corus 54E1;0,227;0,475;14-12-2016
26;552_229BV_82.6;Clipped Tuned, type Corus 54E1;3,8;4,277;14-12-2016
27;035_145AR_52.9;Schrey & Veit, VICON-AMSA 5RQ;3,059;3,514;14-12-2016
28;050_463AR_4.2;Onbekend;2,174;3,575;14-12-2016
29;055_399AR_19.6;Schrey & Veit, VICON-AMSA 54VS;0,044;9,414;14-12-2016
30;103_303V_28.8;Clipped Tuned, type Corus 54E1;0,494;0,895;14-12-2016
31;013_233AL_88.4;Onbekend;0,027;11,538;14-12-2016
32;546_1049V_3.9;Clipped Tuned, type Corus 54E1;0;0,285;14-12-2016
33;546_1049V_3.9;Clipped Tuned, type Corus 54E1;0;0,285;14-12-2016
34;024_203L_25.8;Schrey & Veit, VICON-AMSA 54VS;0,023;0,291;14-12-2016
35;101_1067BV_12.3;Clipped Tuned, type Corus 54E1;2,542;2,892;14-12-2016
36;063_31AV_13.7;Onbekend;0;10,99;14-12-2016
37;063_31AV_13.7;Onbekend;0;10,99;14-12-2016
38;542_1277AR_30.0;Clipped Tuned, type Corus 54E1;0,018;0,261;14-12-2016
39;094_1067BR_3.5;Clipped Tuned, type Corus 54E1;0,048;0,177;14-12-2016
40;602_221BV_77.4;Schrey & Veit, VICON-AMSA 5RQ;0,138;0,337;14-12-2016
41;602_221BV_77.4;Schrey & Veit, VICON-AMSA 5RQ;9,764;9,937;14-12-2016
42;094_1079BL_2.8;Clipped Tuned, type Corus 54E1;0,047;1,048;14-12-2016
43;509_14AR_35.1;Clipped Tuned, type Corus 54E1;0,064;1,321;14-12-2016
44;054_1001BR_57.4;Clipped Tuned, type Corus 54E1;0,406;0,781;14-12-2016
45;609_127V_27.2;Clipped Tuned, type Corus 54E1;0,21;0,371;14-12-2016
46;046_227AL_36.0;Schrey & Veit, VICON-AMSA 5RQ;4,483;4,958;14-12-2016
47;021_37AL_67.0;Clipped Tuned, type Corus 54E1;0,95;1,225;14-12-2016
48;024_201AL_25.7;Schrey & Veit, VICON-AMSA 54VS;0,023;0,353;14-12-2016
49;561_97BV_59.6;Clipped Tuned, type Corus 54E1;2,024;2,024;14-12-2016
50;127_361L_37.5;Schrey & Veit, VICON-AMSA 5RQ;0,122;0,172;14-12-2016
51;515_307BV_51.2;Onbekend;4,032;8,222;14-12-2016
52;117_1AV_15.4;Schrey & Veit, VICON-AMSA 5RQ;3,06;3,486;14-12-2016
53;127_303V_11.2;Schrey & Veit, VICON-AMSA 5RQ;0,777;0,971;14-12-2016
54;054_1001AV_57.2;Clipped Tuned, type Corus 54E1;0,299;0,674;14-12-2016
55;161_2539L_21.2;Onbekend;0,048;10,198;14-12-2016
56;127_311R_12.3;Onbekend;0,031;0,774;14-12-2016
57;618_273AR_49.5;Clipped Tuned, type Corus 54E1;0,464;0,819;14-12-2016
58;618_273AR_49.5;Clipped Tuned, type Corus 54E1;0,845;1,252;14-12-2016
59;618_273AR_49.5;Schrey & Veit, VICON-AMSA 5RQ;2,377;3,027;14-12-2016
60;618_273AR_49.5;Glued Tuned, type Corus 54E1;5,75;7,412;14-12-2016
61;618_273AR_49.5;Schrey & Veit, VICON-AMSA 54VS;7,742;7,822;14-12-2016
62;618_273AR_49.5;Schrey & Veit, VICON-AMSA 54VS;8,183;8,444;14-12-2016
63;618_273AR_49.5;Schrey & Veit, VICON-AMSA 5RQ;8,463;8,793;14-12-2016
64;618_273AR_49.5;Schrey & Veit, VICON-AMSA 5RQ;8,923;9,158;14-12-2016
65;618_273AR_49.5;Schrey & Veit, VICON-AMSA 5RQ;9,183;9,904;14-12-2016
66;618_273AR_49.5;Schrey & Veit, VICON-AMSA 5RQ;9,924;10,535;14-12-2016
67;078_207R_64.9;Schrey & Veit, VICON-AMSA 5RQ;0,374;1,007;14-12-2016
68;127_329AR_13.3;Onbekend;0,033;14,532;14-12-2016
69;549_283V_70.9;Clipped Tuned, type Corus 54E1;0,027;0,098;14-12-2016
70;542_1267AR_29.9;Clipped Tuned, type Corus 54E1;0,054;0,3;14-12-2016
71;544_1135AR_1.3;Schrey & Veit, VICON-AMSA 5RQ;0,063;0,321;14-12-2016
72;089_259BV_45.6;Clipped Tuned, type Corus 54E1;0,246;0,446;14-12-2016
73;605_1BL_33.4;Schrey & Veit, VICON-AMSA 5RQ;0,029;0,215;14-12-2016
74;532_1067AR_11.9;Clipped Tuned, type Corus 54E1;2,884;3,234;14-12-2016
75;509_9BR_35.1;Schrey & Veit, VICON-AMSA 54VS;5,115;5,67;14-12-2016
76;609_135AL_26.6;Schrey & Veit, VICON-AMSA 5RQ;5,186;5,429;14-12-2016
77;017_29AL_61.5;Onbekend;0,028;0,647;14-12-2016
78;011_73V_68.9;Clipped Tuned, type Corus 54E1;1,255;1,429;14-12-2016
79;089_261BV_45.7;Clipped Tuned, type Corus 54E1;0,087;0,287;14-12-2016
80;664_873BV_41.9;Clipped Tuned, type Corus 54E1;0,04;0,315;14-12-2016
81;046_255BV_41.6;Schrey & Veit, VICON-AMSA 54VS;4,265;5,072;14-12-2016
82;094_1069BL_3.4;Clipped Tuned, type Corus 54E1;0,047;0,519;14-12-2016
83;551_145AL_22.8;Glued Tuned, type Corus 54E1;0,03;0,83;14-12-2016
84;127_349AR_27.8;Schrey & Veit, VICON-AMSA 5RQ;0,096;0,114;14-12-2016
85;057_1BL_5.6;Clipped Tuned, type Corus 54E1;0,534;0,833;14-12-2016
86;057_1BL_5.6;Clipped Tuned, type Corus 54E1;2,382;3,209;14-12-2016
87;533_1139AR_15.9;Clipped Tuned, type Corus 54E1;0,033;0,118;14-12-2016
