ID;SPOORTAK_IDENTIFICATIE;RAILDEMPER_TYPE;SPOORTAK_LRS_VAN;SPOORTAK_LRS_TOT;DATUM_VERWERKING;
329;528_7L_28.1;Clipped Tuned, type Corus 54E1;0,000;0,192;22-6-2015;
330;528_7R_28.1;Clipped Tuned, type Corus 54E1;0,000;0,192;22-6-2015;
331;528_9L_28.1;Clipped Tuned, type Corus 54E1;0,000;0,192;22-6-2015;
332;528_9R_28.1;Clipped Tuned, type Corus 54E1;0,000;0,192;22-6-2015;
333;531_1191BR_33.9;Clipped Tuned, type Corus 54E1;1,617;1,937;16-11-2015;
334;531_1229L_34.5;Clipped Tuned, type Corus 54E1;2,013;2,343;17-12-2015;
335;532_1037R_11.2;Schrey & Veit, VICON-AMSA 5RQ;1,255;1,515;22-6-2015;
336;532_1061BR_12.0;Schrey & Veit, VICON-AMSA 5RQ;2,022;2,282;22-6-2015;
337;532_1061BV_12.0;Clipped Tuned, type Corus 54E1;2,538;3,163;22-6-2015;
338;532_1067AR_11.9;Clipped Tuned, type Corus 54E1;2,608;3,233;22-6-2015;
339;533_1103AL_15.1;Clipped Tuned, type Corus 54E1;0,050;0,075;1-10-2015;
340;533_1113AL_15.3;Clipped Tuned, type Corus 54E1;0,592;0,975;22-6-2015;
341;533_1113AL_15.3;Clipped Tuned, type Corus 54E1;0,975;0,976;15-4-2015;
342;533_1113BV_15.5;Schrey & Veit, VICON-AMSA 54VS;0,360;0,380;21-3-2016;
343;533_1113BV_15.5;Schrey & Veit, VICON-AMSA 5RQ;0,390;0,410;21-3-2016;
344;533_1113BV_15.5;Glued Tuned, type Corus 54E1;0,420;0,440;21-3-2016;
345;533_1113BV_15.5;Clipped Tuned, type Corus 54E1;0,450;0,484;21-3-2016;
346;533_1117AR_15.3;Clipped Tuned, type Corus 54E1;0,592;0,970;22-6-2015;
347;533_1131AL_15.9;Clipped Tuned, type Corus 54E1;0,069;0,209;6-7-2015;
348;533_1151AL_16.0;Clipped Tuned, type Corus 54E1;0,034;0,297;22-6-2015;
349;533_1151BV_16.1;Clipped Tuned, type Corus 54E1;0,000;0,229;10-4-2015;
350;533_1151BV_16.1;Clipped Tuned, type Corus 54E1;0,230;0,605;22-6-2015;
351;533_1159AR_16.0;Clipped Tuned, type Corus 54E1;0,035;0,310;22-6-2015;
352;533_1159BV_16.1;Clipped Tuned, type Corus 54E1;0,000;0,200;22-6-2015;
353;541_143AL_2.3;Clipped Tuned, type Corus 54E1;1,540;1,600;1-10-2015;
354;541_143AL_2.3;Clipped Tuned, type Corus 54E1;1,800;1,860;1-10-2015;
355;542_1267AR_29.9;Clipped Tuned, type Corus 54E1;0,053;0,298;22-6-2015;
356;542_1271AL_29.9;Clipped Tuned, type Corus 54E1;0,053;0,298;22-6-2015;
357;542_1271BV_30.0;Clipped Tuned, type Corus 54E1;0,000;0,245;22-6-2015;
358;542_1277AR_30.0;Clipped Tuned, type Corus 54E1;0,017;0,257;22-6-2015;
359;543_217BV_15.9;Clipped Tuned, type Corus 54E1;0,005;0,022;6-7-2015;
360;544_1071BV_0.2;Glued Tuned, type Corus 54E1;0,098;0,823;22-6-2015;
361;544_1079BV_0.3;Glued Tuned, type Corus 54E1;0,006;0,731;22-6-2015;
362;544_1081L_0.1;Clipped Tuned, type Corus 54E1;0,167;0,773;23-6-2015;
363;544_1083BV_0.3;Clipped Tuned, type Corus 54E1;0,242;0,636;26-6-2015;
364;544_1115AL_1.1;Schrey & Veit, VICON-AMSA 5RQ;0,064;0,236;26-6-2015;
365;544_1135AR_1.3;Schrey & Veit, VICON-AMSA 5RQ;0,063;0,321;22-6-2015;
366;544_1135BV_1.4;Schrey & Veit, VICON-AMSA 5RQ;0,000;0,890;22-6-2015;
367;545_221BV_23.8;Schrey & Veit, VICON-AMSA 5RQ;1,936;2,794;26-6-2015;
368;545_221BV_23.8;Schrey & Veit, VICON-AMSA 5RQ;6,688;6,825;26-6-2015;
369;545_221BV_23.8;Schrey & Veit, VICON-AMSA 5RQ;6,887;7,063;26-6-2015;
370;545_221BV_23.8;Schrey & Veit, VICON-AMSA 5RQ;0,423;1,131;26-6-2015;
371;545_225AR_23.7;Schrey & Veit, VICON-AMSA 5RQ;0,969;1,315;16-11-2015;
372;545_225AR_23.7;Schrey & Veit, VICON-AMSA 5RQ;1,969;2,831;1-7-2015;
373;545_225AR_23.7;Schrey & Veit, VICON-AMSA 5RQ;5,293;5,356;1-7-2015;
374;545_225AR_23.7;Schrey & Veit, VICON-AMSA 5RQ;6,731;6,878;2-7-2015;
375;545_225AR_23.7;Schrey & Veit, VICON-AMSA 5RQ;6,925;7,141;1-7-2015;
376;545_75BL_22.3;Schrey & Veit, VICON-AMSA 5RQ;5,593;5,893;22-6-2015;
377;545_75BL_22.3;Schrey & Veit, VICON-AMSA 5RQ;18,168;19,418;22-6-2015;
378;545_75BL_22.3;Schrey & Veit, VICON-AMSA 5RQ;0,700;1,253;22-6-2015;
379;546_1047AV_3.9;Clipped Tuned, type Corus 54E1;0,094;0,509;22-6-2015;
380;546_1049V_3.9;Clipped Tuned, type Corus 54E1;0,283;0,406;22-6-2015;
381;546_1049V_3.9;Clipped Tuned, type Corus 54E1;0,050;0,283;22-6-2015;
382;546_1063BR_3.6;Clipped Tuned, type Corus 54E1;0,047;1,759;22-6-2015;
383;549_283V_70.9;Clipped Tuned, type Corus 54E1;0,501;0,663;20-3-2015;
384;549_283V_70.9;Clipped Tuned, type Corus 54E1;0,099;0,501;22-6-2015;
385;549_283V_70.9;Clipped Tuned, type Corus 54E1;0,032;0,099;20-3-2015;
386;551_143AL_22.7;Clipped Tuned, type Corus 54E1;0,034;0,340;20-4-2015;
387;551_143AL_22.7;Clipped Tuned, type Corus 54E1;0,340;0,410;22-6-2015;
388;551_143AL_22.7;Clipped Tuned, type Corus 54E1;0,410;0,411;20-4-2015;
389;551_143AL_22.7;Schrey & Veit, VICON-AMSA 54VS;0,411;0,539;22-6-2015;
390;551_143AL_22.7;Clipped Tuned, type Corus 54E1;0,539;0,591;22-6-2015;
391;551_143AL_22.7;Clipped Tuned, type Corus 54E1;0,591;0,592;20-4-2015;
392;551_145BV_22.9;Clipped Tuned, type Corus 54E1;0,000;0,268;22-6-2015;
393;551_145BV_22.9;Clipped Tuned, type Corus 54E1;0,268;0,268;20-4-2015;
394;552_227AR_82.5;Clipped Tuned, type Corus 54E1;3,905;4,589;22-6-2015;
395;552_229BV_82.6;Clipped Tuned, type Corus 54E1;3,964;4,578;22-6-2015;
396;552_229BV_82.6;Clipped Tuned, type Corus 54E1;3,854;3,964;20-4-2015;
397;555_379V_84.4;Schrey & Veit, VICON-AMSA 5RQ;3,369;3,924;22-6-2015;
398;555_381V_84.4;Schrey & Veit, VICON-AMSA 5RQ;3,850;3,972;22-6-2015;
399;555_381V_84.4;Schrey & Veit, VICON-AMSA 5RQ;3,750;3,831;22-6-2015;
400;555_381V_84.4;Schrey & Veit, VICON-AMSA 5RQ;3,380;3,732;22-6-2015;
401;555_383V_84.4;Schrey & Veit, VICON-AMSA 5RQ;3,336;3,882;1-4-2016;
402;555_387V_84.4;Onbekend;3,341;3,836;5-4-2016;
403;561_89BV_59.6;Clipped Tuned, type Corus 54E1;0,563;0,563;20-4-2015;
404;561_89BV_59.6;Clipped Tuned, type Corus 54E1;0,378;0,563;22-6-2015;
405;561_97BV_59.6;Clipped Tuned, type Corus 54E1;0,545;0,545;15-4-2015;
406;561_97BV_59.6;Clipped Tuned, type Corus 54E1;0,386;0,545;22-6-2015;
407;562_159R_60.9;Schrey & Veit, VICON-AMSA 54VS;12,634;13,099;10-11-2015;
408;562_159R_60.9;Schrey & Veit, VICON-AMSA 54VS;13,198;13,367;10-11-2015;
409;562_161L_61.2;Schrey & Veit, VICON-AMSA 54VS;12,341;13,079;11-12-2015;
410;563_187AL_57.4;Clipped Tuned, type Corus 54E1;1,703;1,875;22-6-2015;
411;563_189R_57.4;Clipped Tuned, type Corus 54E1;1,700;1,714;22-6-2015;
412;563_189R_57.4;Clipped Tuned, type Corus 54E1;1,714;1,884;22-6-2015;
413;563_189R_57.4;Clipped Tuned, type Corus 54E1;1,884;1,900;22-6-2015;
414;587_481L_7.0;Clipped Tuned, type Corus 54E1;0,055;0,475;1-10-2015;
415;589_969L_149.5;Schrey & Veit, VICON-AMSA 54VS;0,057;0,597;22-6-2015;
416;589_969L_149.5;Schrey & Veit, VICON-AMSA 54VS;0,597;0,598;3-4-2015;
417;589_971AL_149.5;Schrey & Veit, VICON-AMSA 5RQ;0,051;0,586;22-6-2015;
418;589_971BV_149.6;Schrey & Veit, VICON-AMSA 5RQ;0,000;0,483;22-6-2015;
419;602_221AR_77.3;Schrey & Veit, VICON-AMSA 5RQ;9,812;9,987;22-6-2015;
420;602_221AR_77.3;Schrey & Veit, VICON-AMSA 5RQ;9,988;10,046;16-9-2015;
421;602_221AR_77.3;Schrey & Veit, VICON-AMSA 5RQ;0,238;0,448;16-9-2015;
422;602_221BV_77.4;Schrey & Veit, VICON-AMSA 5RQ;9,712;9,884;22-6-2015;
423;602_221BV_77.4;Schrey & Veit, VICON-AMSA 5RQ;9,884;9,944;22-6-2015;
424;602_221BV_77.4;Schrey & Veit, VICON-AMSA 5RQ;0,199;0,350;16-9-2015;
425;603_179AL_3.9;Clipped Tuned, type Corus 54E1;0,404;0,405;20-4-2015;
426;603_179AL_3.9;Clipped Tuned, type Corus 54E1;0,352;0,404;22-6-2015;
427;604_13AR_47.5;Schrey & Veit, VICON-AMSA 5RQ;0,208;0,208;20-4-2015;
428;604_13AR_47.5;Schrey & Veit, VICON-AMSA 5RQ;0,208;0,637;22-6-2015;
429;604_13BV_47.6;Schrey & Veit, VICON-AMSA 5RQ;0,400;0,577;11-4-2016;
430;605_1BL_33.4;Schrey & Veit, VICON-AMSA 5RQ;5,909;6,140;22-6-2015;
431;605_1BL_33.4;Schrey & Veit, VICON-AMSA 5RQ;0,150;1,104;22-6-2015;
432;605_25AL_34.1;Schrey & Veit, VICON-AMSA 5RQ;0,143;1,228;22-6-2015;
433;605_25AL_34.1;Schrey & Veit, VICON-AMSA 5RQ;0,030;0,143;22-6-2015;
434;605_25BV_34.1;Schrey & Veit, VICON-AMSA 5RQ;1,084;1,171;6-7-2015;
435;605_25BV_34.1;Schrey & Veit, VICON-AMSA 5RQ;0,083;1,083;22-6-2015;
436;605_3AL_33.4;Schrey & Veit, VICON-AMSA 5RQ;0,098;0,372;22-6-2015;
437;605_3AL_33.4;Schrey & Veit, VICON-AMSA 5RQ;0,372;0,372;21-4-2015;
438;605_3BL_33.5;Schrey & Veit, VICON-AMSA 5RQ;6,003;6,234;22-6-2015;
439;605_3BL_33.5;Schrey & Veit, VICON-AMSA 5RQ;0,126;1,198;22-6-2015;
440;605_3BL_33.5;Schrey & Veit, VICON-AMSA 5RQ;0,034;0,124;6-7-2015;
441;605_3BV_33.5;Schrey & Veit, VICON-AMSA 5RQ;0,034;0,458;22-6-2015;
442;606_109V_1.0;Clipped Tuned, type Corus 54E1;1,175;1,650;8-10-2015;
443;606_109V_1.0;Clipped Tuned, type Corus 54E1;1,688;1,923;6-7-2015;
444;606_111V_1.0;Clipped Tuned, type Corus 54E1;1,182;1,668;6-7-2015;
445;606_111V_1.0;Clipped Tuned, type Corus 54E1;1,702;1,930;6-7-2015;
446;608_65AL_88.8;Glued Tuned, type Corus 54E1;7,909;11,969;22-6-2015;
447;608_67L_88.9;Glued Tuned, type Corus 54E1;7,984;11,428;22-6-2015;
448;609_123BV_27.2;Clipped Tuned, type Corus 54E1;0,200;0,370;8-10-2015;
449;609_127V_27.2;Clipped Tuned, type Corus 54E1;0,206;0,364;2-7-2015;
450;609_135AL_26.6;Schrey & Veit, VICON-AMSA 5RQ;5,160;5,402;22-6-2015;
451;609_135BV_26.5;Schrey & Veit, VICON-AMSA 5RQ;5,057;5,300;22-6-2015;
452;609_5L_29.7;Clipped Tuned, type Corus 54E1;1,431;1,681;22-6-2015;
453;609_7L_29.7;Clipped Tuned, type Corus 54E1;1,431;1,681;22-6-2015;
454;610_151AR_14.0;Schrey & Veit, VICON-AMSA 5RQ;11,128;11,329;22-6-2015;
455;610_151AR_14.0;Clipped Tuned, type Corus 54E1;10,813;11,128;22-6-2015;
456;610_151AR_14.0;Schrey & Veit, VICON-AMSA 5RQ;10,334;10,674;22-6-2015;
457;610_151AR_14.0;Schrey & Veit, VICON-AMSA 5RQ;3,417;3,861;22-6-2015;
458;610_151BV_13.9;Schrey & Veit, VICON-AMSA 5RQ;10,552;11,227;22-6-2015;
459;610_151BV_13.9;Schrey & Veit, VICON-AMSA 5RQ;10,268;10,551;2-7-2015;
460;610_151BV_13.9;Schrey & Veit, VICON-AMSA 5RQ;3,356;3,802;22-6-2015;
461;614_2123V_47.5;Schrey & Veit, VICON-AMSA 5RQ;0,038;0,300;22-6-2015;
462;614_2127V_47.5;Schrey & Veit, VICON-AMSA 5RQ;0,090;0,287;16-11-2015;
463;614_2129R_47.5;Schrey & Veit, VICON-AMSA 5RQ;0,048;0,332;2-7-2015;
464;614_2131R_47.6;Schrey & Veit, VICON-AMSA 5RQ;0,000;0,010;25-6-2015;
465;614_2131V_47.6;Schrey & Veit, VICON-AMSA 5RQ;0,001;0,224;25-6-2015;
466;618_135L_50.9;Clipped Tuned, type Corus 54E1;1,283;1,331;10-5-2016;
467;618_273AR_49.5;Schrey & Veit, VICON-AMSA 5RQ;9,914;10,524;22-6-2015;
468;618_273AR_49.5;Schrey & Veit, VICON-AMSA 5RQ;9,174;9,894;22-6-2015;
469;618_273AR_49.5;Schrey & Veit, VICON-AMSA 5RQ;8,914;9,149;22-6-2015;
470;618_273AR_49.5;Schrey & Veit, VICON-AMSA 5RQ;8,454;8,784;22-6-2015;
471;618_273AR_49.5;Glued Tuned, type Corus 54E1;7,404;7,520;22-6-2015;
472;618_273AR_49.5;Glued Tuned, type Corus 54E1;7,044;7,404;22-6-2015;
473;618_273AR_49.5;Schrey & Veit, VICON-AMSA 5RQ;5,744;7,044;22-6-2015;
474;618_273AR_49.5;Schrey & Veit, VICON-AMSA 5RQ;2,374;3,024;22-6-2015;
475;618_273AR_49.5;Clipped Tuned, type Corus 54E1;0,844;1,251;22-6-2015;
476;618_273AR_49.5;Clipped Tuned, type Corus 54E1;0,463;0,818;22-6-2015;
477;618_273AR_49.5;Clipped Tuned, type Corus 54E1;0,186;0,463;22-6-2015;
478;618_273AR_49.5;Clipped Tuned, type Corus 54E1;0,035;0,135;9-11-2015;
479;618_273BV_49.5;Schrey & Veit, VICON-AMSA 5RQ;9,854;10,464;22-6-2015;
480;618_273BV_49.5;Schrey & Veit, VICON-AMSA 5RQ;9,114;9,834;22-6-2015;
481;618_273BV_49.5;Schrey & Veit, VICON-AMSA 5RQ;8,854;9,089;22-6-2015;
482;618_273BV_49.5;Schrey & Veit, VICON-AMSA 5RQ;8,394;8,724;22-6-2015;
483;618_273BV_49.5;Schrey & Veit, VICON-AMSA 54VS;7,696;7,764;10-5-2016;
484;618_273BV_49.5;Schrey & Veit, VICON-AMSA 5RQ;5,684;7,458;22-6-2015;
485;618_273BV_49.5;Schrey & Veit, VICON-AMSA 5RQ;2,314;2,964;22-6-2015;
486;618_273BV_49.5;Clipped Tuned, type Corus 54E1;0,784;1,191;22-6-2015;
487;618_273BV_49.5;Clipped Tuned, type Corus 54E1;0,403;0,752;22-6-2015;
488;618_273BV_49.5;Clipped Tuned, type Corus 54E1;0,010;0,350;9-11-2015;
489;620_1AV_41.6;Schrey & Veit, VICON-AMSA 5RQ;2,971;3,169;22-6-2015;
490;620_1AV_41.6;Schrey & Veit, VICON-AMSA 5RQ;2,508;2,719;22-6-2015;
491;620_3AV_41.6;Schrey & Veit, VICON-AMSA 5RQ;2,967;3,169;22-6-2015;
492;620_3AV_41.6;Schrey & Veit, VICON-AMSA 5RQ;2,519;2,719;22-6-2015;
493;620_97AR_42.6;Schrey & Veit, VICON-AMSA 5RQ;5,165;5,465;22-6-2015;
494;620_97AR_42.6;Schrey & Veit, VICON-AMSA 5RQ;5,915;6,305;22-6-2015;
495;620_97AR_42.6;Clipped Tuned, type Corus 54E1;9,565;9,965;22-6-2015;
496;620_97BV_42.7;Schrey & Veit, VICON-AMSA 5RQ;5,084;5,384;22-6-2015;
497;620_97BV_42.7;Schrey & Veit, VICON-AMSA 5RQ;5,834;6,226;22-6-2015;
498;654_409AL_49.7;Clipped Tuned, type Corus 54E1;16,437;17,493;22-6-2015;
499;654_409BV_49.7;Clipped Tuned, type Corus 54E1;16,369;17,454;22-6-2015;
500;664_143AR_43.1;Schrey & Veit, VICON-AMSA 5RQ;0,030;0,430;22-6-2015;
501;664_873BV_41.9;Clipped Tuned, type Corus 54E1;0,040;0,316;22-6-2015;
502;664_873BV_41.9;Schrey & Veit, VICON-AMSA 5RQ;0,317;0,764;22-6-2015;
503;664_875V_41.9;Onbekend;0,330;0,770;5-10-2015;
504;664_879V_42.1;Glued Tuned, type Corus 54E1;0,134;1,290;5-4-2016;
505;664_893AL_42.6;Schrey & Veit, VICON-AMSA 5RQ;0,053;0,095;22-6-2015;
506;664_893BV_42.8;Onbekend;0,007;0,043;5-10-2015;
507;664_895BV_42.8;Schrey & Veit, VICON-AMSA 5RQ;0,000;0,117;22-6-2015;
508;664_897AL_42.8;Onbekend;0,062;0,144;5-10-2015;
509;664_897AL_42.8;Onbekend;0,150;0,320;5-10-2015;
510;664_897AL_42.8;Onbekend;0,327;0,377;5-10-2015;
511;664_897BL_42.9;Schrey & Veit, VICON-AMSA 5RQ;0,050;0,750;22-6-2015;
512;664_897BV_42.9;Schrey & Veit, VICON-AMSA 5RQ;0,000;0,310;22-6-2015;
513;664_901AV_42.8;Onbekend;0,030;0,593;5-4-2016;
514;664_901BV_43.0;Schrey & Veit, VICON-AMSA 5RQ;0,005;0,137;22-6-2015;
515;664_901BV_43.0;Schrey & Veit, VICON-AMSA 5RQ;0,155;0,165;22-6-2015;
516;664_907AR_43.2;Schrey & Veit, VICON-AMSA 5RQ;0,047;0,365;22-6-2015;
517;664_907BV_43.3;Onbekend;0,000;1,025;5-4-2016;
518;664_911BV_43.3;Onbekend;0,012;0,076;5-10-2015;
519;664_917AR_43.2;Schrey & Veit, VICON-AMSA 5RQ;0,095;0,290;22-6-2015;
520;950_475AR_8.2;Clipped Tuned, type Corus 54E1;0,740;1,645;22-6-2015;
521;950_475BV_8.3;Clipped Tuned, type Corus 54E1;0,640;1,540;22-6-2015;
