ID;SPOORTAK_IDENTIFICATIE;RAILDEMPER_TYPE;SPOORTAK_LRS_VAN;SPOORTAK_LRS_TOT;DATUM_VERWERKING;
112;057_1AV_5.5;Clipped Tuned, type Corus 54E1;3,184;3,508;22-6-2015;
113;057_1AV_5.5;Schrey & Veit, VICON-AMSA 54VS;2,313;3,130;22-6-2015;
114;057_1AV_5.5;Schrey & Veit, VICON-AMSA 54VS;2,306;2,313;24-6-2015;
115;057_1AV_5.5;Schrey & Veit, VICON-AMSA 54VS;2,012;2,260;22-6-2015;
116;057_1AV_5.5;Clipped Tuned, type Corus 54E1;0,458;0,758;22-6-2015;
117;057_1BL_5.6;Clipped Tuned, type Corus 54E1;3,272;3,584;22-6-2015;
118;057_1BL_5.6;Clipped Tuned, type Corus 54E1;2,384;3,211;22-6-2015;
119;057_1BL_5.6;Clipped Tuned, type Corus 54E1;0,534;0,834;22-6-2015;
120;063_31AV_13.7;Clipped Tuned, type Corus 54E1;6,576;6,926;22-6-2015;
121;063_31AV_13.7;Clipped Tuned, type Corus 54E1;3,355;3,726;22-6-2015;
122;078_207R_64.9;Schrey & Veit, VICON-AMSA 5RQ;0,372;1,003;22-6-2015;
123;078_209L_64.9;Schrey & Veit, VICON-AMSA 5RQ;0,368;0,765;22-6-2015;
124;078_231AL_66.0;Schrey & Veit, VICON-AMSA 5RQ;0,031;0,513;22-6-2015;
125;078_231BV_66.0;Schrey & Veit, VICON-AMSA 5RQ;0,003;0,452;22-6-2015;
126;084_7AR_9.4;Schrey & Veit, VICON-AMSA 5RQ;0,000;0,391;22-6-2015;
127;084_7BV_9.5;Schrey & Veit, VICON-AMSA 5RQ;0,000;0,393;22-6-2015;
128;085_215AL_19.8;Schrey & Veit, VICON-AMSA 54VS;6,736;6,856;22-6-2015;
129;085_215AL_19.8;Schrey & Veit, VICON-AMSA 54VS;7,171;7,346;22-6-2015;
130;085_215AL_19.8;Schrey & Veit, VICON-AMSA 54VS;7,766;8,146;22-6-2015;
131;085_215AL_19.8;Schrey & Veit, VICON-AMSA 54VS;8,146;8,151;24-6-2015;
132;085_215AL_19.8;Schrey & Veit, VICON-AMSA 54VS;8,411;9,086;22-6-2015;
133;085_215AL_19.8;Schrey & Veit, VICON-AMSA 54VS;10,411;10,641;22-6-2015;
134;085_215BV_19.9;Schrey & Veit, VICON-AMSA 54VS;6,672;6,792;22-6-2015;
135;085_215BV_19.9;Schrey & Veit, VICON-AMSA 54VS;7,107;7,282;22-6-2015;
136;085_215BV_19.9;Schrey & Veit, VICON-AMSA 54VS;7,702;8,082;22-6-2015;
137;085_215BV_19.9;Schrey & Veit, VICON-AMSA 54VS;8,347;9,022;22-6-2015;
138;085_215BV_19.9;Schrey & Veit, VICON-AMSA 54VS;10,447;10,577;22-6-2015;
139;085_215BV_19.9;Schrey & Veit, VICON-AMSA 54VS;10,577;10,590;22-6-2015;
140;087_21AR_21.8;Clipped Tuned, type Corus 54E1;0,049;0,088;13-4-2015;
141;087_21AR_21.8;Clipped Tuned, type Corus 54E1;0,481;0,704;22-6-2015;
142;087_3L_21.1;Clipped Tuned, type Corus 54E1;0,568;0,571;13-4-2015;
143;087_3L_21.1;Clipped Tuned, type Corus 54E1;0,571;0,699;22-6-2015;
144;087_41AL_22.5;Clipped Tuned, type Corus 54E1;0,053;0,351;22-6-2015;
145;087_47AR_22.8;Clipped Tuned, type Corus 54E1;0,026;0,152;22-6-2015;
146;087_47AR_22.8;Clipped Tuned, type Corus 54E1;0,185;0,510;22-6-2015;
147;087_47AR_22.8;Clipped Tuned, type Corus 54E1;0,552;1,120;22-6-2015;
148;087_47BV_22.8;Clipped Tuned, type Corus 54E1;0,000;1,060;22-6-2015;
149;087_7L_21.1;Clipped Tuned, type Corus 54E1;0,572;0,787;22-6-2015;
150;087_7R_21.1;Clipped Tuned, type Corus 54E1;0,572;0,787;22-6-2015;
151;089_259BV_45.6;Clipped Tuned, type Corus 54E1;0,245;0,445;22-6-2015;
152;089_261AL_45.6;Clipped Tuned, type Corus 54E1;0,170;0,370;22-6-2015;
153;089_261BV_45.7;Clipped Tuned, type Corus 54E1;0,087;0,287;22-6-2015;
154;089_271R_46.0;Clipped Tuned, type Corus 54E1;0,267;0,527;22-6-2015;
155;089_273AL_46.2;Clipped Tuned, type Corus 54E1;0,146;0,421;22-6-2015;
156;093_1005L_6.2;Clipped Tuned, type Corus 54E1;2,153;2,534;22-6-2015;
157;093_1007R_5.8;Clipped Tuned, type Corus 54E1;1,766;2,181;22-6-2015;
158;094_1065L_3.5;Clipped Tuned, type Corus 54E1;0,100;0,622;22-6-2015;
159;094_1065R_3.5;Clipped Tuned, type Corus 54E1;0,000;0,874;22-6-2015;
160;094_1069AV_3.3;Clipped Tuned, type Corus 54E1;0,046;0,456;22-6-2015;
161;094_1069BL_3.4;Clipped Tuned, type Corus 54E1;0,000;0,471;22-6-2015;
162;094_1079BL_2.8;Clipped Tuned, type Corus 54E1;0,047;1,051;22-6-2015;
163;094_1091AV_2.5;Clipped Tuned, type Corus 54E1;0,000;0,615;22-6-2015;
164;094_1091BL_2.7;Clipped Tuned, type Corus 54E1;0,047;0,873;22-6-2015;
165;094_1105AL_1.9;Clipped Tuned, type Corus 54E1;0,048;0,305;22-6-2015;
166;094_1105BV_1.8;Clipped Tuned, type Corus 54E1;0,000;0,203;22-6-2015;
167;094_1107AR_1.8;Clipped Tuned, type Corus 54E1;0,049;0,216;22-6-2015;
168;094_1107BV_1.7;Clipped Tuned, type Corus 54E1;0,000;0,113;22-6-2015;
169;101_1063L_12.3;Schrey & Veit, VICON-AMSA 5RQ;2,296;2,555;22-6-2015;
170;101_1063V_12.3;Clipped Tuned, type Corus 54E1;2,265;2,809;22-6-2015;
171;101_1067BR_12.3;Schrey & Veit, VICON-AMSA 5RQ;2,294;2,553;22-6-2015;
172;101_1067BV_12.3;Clipped Tuned, type Corus 54E1;2,267;2,542;22-6-2015;
173;101_1067BV_12.3;Clipped Tuned, type Corus 54E1;2,563;2,913;22-6-2015;
174;103_303V_28.8;Schrey & Veit, VICON-AMSA 54VS;0,490;0,909;23-9-2015;
175;105_113V_24.5;Clipped Tuned, type Corus 54E1;0,377;0,432;22-6-2015;
176;105_91AV_23.1;Schrey & Veit, VICON-AMSA 5RQ;1,879;2,348;22-6-2015;
177;105_91BR_23.1;Schrey & Veit, VICON-AMSA 5RQ;1,945;2,407;22-6-2015;
178;112_467BV_67.2;Schrey & Veit, VICON-AMSA 5RQ;2,970;3,585;1-10-2015;
179;117_1843L_6.3;Clipped Tuned, type Corus 54E1;0,321;0,987;22-6-2015;
180;117_1843L_6.3;Clipped Tuned, type Corus 54E1;1,179;1,578;22-6-2015;
181;117_1843L_6.3;Clipped Tuned, type Corus 54E1;1,578;2,288;22-6-2015;
182;117_1843L_6.3;Clipped Tuned, type Corus 54E1;2,288;2,521;22-6-2015;
183;117_1847R_6.3;Clipped Tuned, type Corus 54E1;0,318;0,985;22-6-2015;
184;117_1847R_6.3;Clipped Tuned, type Corus 54E1;1,200;2,520;22-6-2015;
185;117_1AV_15.4;Schrey & Veit, VICON-AMSA 5RQ;3,066;3,493;22-6-2015;
186;117_1BL_15.5;Schrey & Veit, VICON-AMSA 5RQ;3,173;3,595;22-6-2015;
187;119_121AV_21.3;Clipped Tuned, type Corus 54E1;5,727;6,477;22-6-2015;
188;119_121BR_21.3;Clipped Tuned, type Corus 54E1;5,787;6,537;22-6-2015;
189;122_65L_2.8;Schrey & Veit, VICON-AMSA 5RQ;3,943;4,243;22-6-2015;
190;122_65L_2.8;Schrey & Veit, VICON-AMSA 5RQ;16,717;17,117;22-6-2015;
191;122_65L_2.8;Schrey & Veit, VICON-AMSA 5RQ;17,467;17,967;22-6-2015;
192;122_65V_2.8;Schrey & Veit, VICON-AMSA 5RQ;0,600;1,135;22-6-2015;
193;122_65V_2.8;Schrey & Veit, VICON-AMSA 5RQ;0,231;0,599;1-7-2015;
194;123_1AR_10.6;Clipped Tuned, type Corus 54E1;0,000;0,173;1-7-2015;
195;123_1AR_10.6;Clipped Tuned, type Corus 54E1;0,229;1,055;1-7-2015;
196;123_1AV_10.6;Clipped Tuned, type Corus 54E1;0,005;0,863;1-7-2015;
197;123_1BR_10.6;Schrey & Veit, VICON-AMSA 5RQ;4,033;4,268;26-6-2015;
198;123_1BR_10.6;Schrey & Veit, VICON-AMSA 5RQ;3,092;3,642;22-6-2015;
199;123_1BR_10.6;Clipped Tuned, type Corus 54E1;1,750;1,850;26-6-2015;
200;123_1BR_10.6;Clipped Tuned, type Corus 54E1;1,271;1,441;26-6-2015;
201;123_1BR_10.6;Clipped Tuned, type Corus 54E1;1,016;1,204;26-6-2015;
202;123_1BR_10.6;Clipped Tuned, type Corus 54E1;0,617;0,919;26-6-2015;
203;123_1BR_10.6;Clipped Tuned, type Corus 54E1;0,163;0,574;26-6-2015;
204;123_1BR_10.6;Clipped Tuned, type Corus 54E1;8,083;8,320;26-6-2015;
205;123_1BV_10.6;Clipped Tuned, type Corus 54E1;0,000;0,016;26-6-2015;
206;123_21R_9.7;Schrey & Veit, VICON-AMSA 5RQ;4,027;4,577;22-6-2015;
207;123_21R_9.7;Clipped Tuned, type Corus 54E1;0,328;0,514;1-7-2015;
208;123_21R_9.7;Clipped Tuned, type Corus 54E1;0,079;0,288;1-7-2015;
209;123_21R_9.7;Schrey & Veit, VICON-AMSA 5RQ;7,872;8,243;22-6-2015;
210;123_21R_9.7;Clipped Tuned, type Corus 54E1;7,166;7,872;1-7-2015;
211;123_27V_11.5;Clipped Tuned, type Corus 54E1;0,001;0,017;26-6-2015;
212;123_29AL_11.6;Clipped Tuned, type Corus 54E1;0,318;0,342;26-6-2015;
213;123_3AR_10.6;Clipped Tuned, type Corus 54E1;0,031;0,109;26-6-2015;
214;123_3AR_10.6;Clipped Tuned, type Corus 54E1;0,194;0,874;26-6-2015;
