SPOORTAK_IDENTIFICATIE;TRAJECT;TRJ_VAN;TRJ_NAAR;SPOORLIJNNAAM;N_SP_VAN;N_SP_NAAR;RICHTING_IN_SPOORLIJN;SPOORLIJN_VAN;SPOORLIJN_TOT;SPOORTAK_VAN;SPOORTAK_TOT;BEGIN_TRJ;EIND_TRJ;BEGIN_WISSEL_TRJ
143_912BR_17.9;;;;;;;;;;;;;;
924_27-41R_35.4;;;;;;;;;;;;;;
805_7107V_102.4;;;;;;;;;;;;;;
602_217BV_77.2;;;;;;;;;;;;;;
817_1221R_115.1;;;;;;;;;;;;;;
517_35AL_69.0;;;;;;;;;;;;;;
514_85BpV_17.2;;;;;;;;;;;;;;
478_1597V_1.9;;;;;;;;;;;;;;
528_43BR_28.8;;;;;;;;;;;;;;
545_135AR_23.0;;;;;;;;;;;;;;
513_133AR_26.1;;;;;;;;;;;;;;
924_341BL_36.0;;;;;;;;;;;;;;
531_1251R_34.5;;;;;;;;;;;;;;
469_204V_201.1;;;;;;;;;;;;;;
517_111R_69.3;;;;;;;;;;;;;;
924_347AL_36.0;;;;;;;;;;;;;;
617_1113AR_38.9;;;;;;;;;;;;;;
624_213BV_32.7;;;;;;;;;;;;;;
564_961V_24.3;;;;;;;;;;;;;;
201_139BR_37.8;;;;;;;;;;;;;;
626_27AL_32.4;;;;;;;;;;;;;;
527_47AL_16.5;;;;;;;;;;;;;;
801_920V_100.9;;;;;;;;;;;;;;
542_1249BV_29.9;;;;;;;;;;;;;;
042_739AL_20.3;;;;;;;;;;;;;;
486_916R_76.2;;;;;;;;;;;;;;
525_961BL_78.6;;;;;;;;;;;;;;
501_121pV_80.8;;;;;;;;;;;;;;
518_111L_63.5;;;;;;;;;;;;;;
618_111AR_51.1;;;;;;;;;;;;;;
080_3401R_9.7;;;;;;;;;;;;;;
586_2551BV_80.4;;;;;;;;;;;;;;
924_2303BpV_34.1;;;;;;;;;;;;;;
501_936R_80.5;;;;;;;;;;;;;;
608_61AR_88.5;;;;;;;;;;;;;;
123_69L_20.1;;;;;;;;;;;;;;
501_932AL_80.4;;;;;;;;;;;;;;
531_1335AL_34.6;;;;;;;;;;;;;;
506_41AR_43.2;;;;;;;;;;;;;;
613_185AR_75.7;;;;;;;;;;;;;;
803_82AqV_103.7;;;;;;;;;;;;;;
555_525ApV_83.2;;;;;;;;;;;;;;
553_237AL_21.4;;;;;;;;;;;;;;
486_60L_201.9;;;;;;;;;;;;;;
531_861L_33.6;;;;;;;;;;;;;;
028_1015V_53.0;;;;;;;;;;;;;;
950_409L_26.9;;;;;;;;;;;;;;
128_61BV_13.3;;;;;;;;;;;;;;
564_1335pV_23.6;;;;;;;;;;;;;;
550_93AR_25.8;;;;;;;;;;;;;;
803_37L_102.6;;;;;;;;;;;;;;
504_19V_17.2;;;;;;;;;;;;;;
085_305AL_31.8;;;;;;;;;;;;;;
542_1233AL_29.7;;;;;;;;;;;;;;
924_3349R_34.3;;;;;;;;;;;;;;
606_73AR_0.3;;;;;;;;;;;;;;
564_1335R_23.6;;;;;;;;;;;;;;
802_808L_101.5;;;;;;;;;;;;;;
617_1103R_38.6;;;;;;;;;;;;;;
553_309AL_22.2;;;;;;;;;;;;;;
112_467AR_67.1;;;;;;;;;;;;;;
531_1303BL_34.7;;;;;;;;;;;;;;
506_125AL_43.9;;;;;;;;;;;;;;
469_204L_201.1;;;;;;;;;;;;;;
504_43V_18.1;;;;;;;;;;;;;;
851_13L_100.1;;;;;;;;;;;;;;
517_225AR_0.3;;;;;;;;;;;;;;
606_99qV_0.9;;;;;;;;;;;;;;
618_257AL_49.9;;;;;;;;;;;;;;
478_1157V_0.8;;;;;;;;;;;;;;
490_105L_105.5;;;;;;;;;;;;;;
536_307BqV_61.5;;;;;;;;;;;;;;
557_2L_27.4;;;;;;;;;;;;;;
525_431AL_77.9;;;;;;;;;;;;;;
516_943R_75.1;;;;;;;;;;;;;;
135_257AR_21.6;;;;;;;;;;;;;;
564_972V_23.7;;;;;;;;;;;;;;
135_2009R_39.7;;;;;;;;;;;;;;
618_101AR_51.3;;;;;;;;;;;;;;
132_944L_49.1;;;;;;;;;;;;;;
506_157AL_44.2;;;;;;;;;;;;;;
608_21AL_87.6;;;;;;;;;;;;;;
536_229BqV_60.6;;;;;;;;;;;;;;
508_903V_90.9;;;;;;;;;;;;;;
129_43R_30.6;;;;;;;;;;;;;;
950_121qV_7.1;;;;;;;;;;;;;;
152_4061R_15.1;;;;;;;;;;;;;;
309_153V_5.8;;;;;;;;;;;;;;
618_107BqV_51.1;;;;;;;;;;;;;;
486_413V_77.6;;;;;;;;;;;;;;
522_161R_57.5;;;;;;;;;;;;;;
506_560L_43.6;;;;;;;;;;;;;;
550_99BpV_25.9;;;;;;;;;;;;;;
163_1031ApV_44.0;;;;;;;;;;;;;;
502_271AR_101.0;;;;;;;;;;;;;;
586_333AL_81.4;;;;;;;;;;;;;;
924_351AL_36.2;;;;;;;;;;;;;;
938_905R_3.2;;;;;;;;;;;;;;
588_868AL_2.3;;;;;;;;;;;;;;
486_87V_204.8;;;;;;;;;;;;;;
486_941AqV_76.1;;;;;;;;;;;;;;
526_453BV_4.0;;;;;;;;;;;;;;
543_169BpV_45.3;;;;;;;;;;;;;;
927_3007AR_905.3;;;;;;;;;;;;;;
557_90L_27.5;;;;;;;;;;;;;;
520_163V_36.6;;;;;;;;;;;;;;
516_924V_2.1;;;;;;;;;;;;;;
132_960R_49.1;;;;;;;;;;;;;;
028_1031L_53.0;;;;;;;;;;;;;;
155_4311R_64.4;;;;;;;;;;;;;;
543_177AR_45.4;;;;;;;;;;;;;;
479_14V_502.5;;;;;;;;;;;;;;
950_1002R_7.2;;;;;;;;;;;;;;
133_1123BpV_19.3;;;;;;;;;;;;;;
517_53AL_69.1;;;;;;;;;;;;;;
626_13BL_32.4;;;;;;;;;;;;;;
506_604R_43.5;;;;;;;;;;;;;;
516_947V_74.6;;;;;;;;;;;;;;
520_149BqV_0.8;;;;;;;;;;;;;;
586_297AR_81.3;;;;;;;;;;;;;;
545_131AR_22.9;;;;;;;;;;;;;;
817_70L_205.1;;;;;;;;;;;;;;
950_335AL_17.3;;;;;;;;;;;;;;
516_944L_75.1;;;;;;;;;;;;;;
073_904L_1.0;;;;;;;;;;;;;;
609_61BV_28.0;;;;;;;;;;;;;;
545_77pV_22.3;;;;;;;;;;;;;;
927_41R_904.6;;;;;;;;;;;;;;
618_41AL_58.7;;;;;;;;;;;;;;
520_971L_0.6;;;;;;;;;;;;;;
531_151BR_35.2;;;;;;;;;;;;;;
501_932AR_80.4;;;;;;;;;;;;;;
550_87BpV_25.8;;;;;;;;;;;;;;
924_3583AR_35.8;;;;;;;;;;;;;;
437_960L_0.7;;;;;;;;;;;;;;
618_27BpV_58.6;;;;;;;;;;;;;;
517_207L_0.2;;;;;;;;;;;;;;
506_572R_43.7;;;;;;;;;;;;;;
514_942L_18.0;;;;;;;;;;;;;;
128_71AL_13.5;;;;;;;;;;;;;;
517_223pV_0.3;;;;;;;;;;;;;;
531_841R_33.6;;;;;;;;;;;;;;
506_49R_43.4;;;;;;;;;;;;;;
501_913AqV_80.4;;;;;;;;;;;;;;
543_928V_45.7;;;;;;;;;;;;;;
950_15L_6.4;;;;;;;;;;;;;;
514_920R_17.9;;;;;;;;;;;;;;
520_151AR_0.8;;;;;;;;;;;;;;
503_89AL_44.0;;;;;;;;;;;;;;
132_950L_49.2;;;;;;;;;;;;;;
926_2062V_0.8;;;;;;;;;;;;;;
133_1121AL_19.0;;;;;;;;;;;;;;
490_134L_302.3;;;;;;;;;;;;;;
922_914V_18.0;;;;;;;;;;;;;;
127_475AL_73.6;;;;;;;;;;;;;;
550_89L_25.7;;;;;;;;;;;;;;
203_343AR_34.5;;;;;;;;;;;;;;
654_981R_49.6;;;;;;;;;;;;;;
542_1227pV_29.8;;;;;;;;;;;;;;
076_1615L_11.5;;;;;;;;;;;;;;
531_1397BqV_34.8;;;;;;;;;;;;;;
950_65R_40.9;;;;;;;;;;;;;;
803_72L_106.3;;;;;;;;;;;;;;
817_54L_401.5;;;;;;;;;;;;;;
545_197L_23.4;;;;;;;;;;;;;;
522_213pV_58.0;;;;;;;;;;;;;;
553_231AL_21.3;;;;;;;;;;;;;;
924_3357R_34.5;;;;;;;;;;;;;;
514_941pV_18.1;;;;;;;;;;;;;;
524_291AL_71.3;;;;;;;;;;;;;;
926_2039V_1.1;;;;;;;;;;;;;;
543_177BqV_45.5;;;;;;;;;;;;;;
163_955AL_44.2;;;;;;;;;;;;;;
543_930L_45.6;;;;;;;;;;;;;;
603_161V_3.7;;;;;;;;;;;;;;
155_4421L_84.0;;;;;;;;;;;;;;
950_669BR_7.4;;;;;;;;;;;;;;
617_1115AR_38.9;;;;;;;;;;;;;;
135_909AR_45.1;;;;;;;;;;;;;;
542_1167qV_29.1;;;;;;;;;;;;;;
545_205L_23.5;;;;;;;;;;;;;;
131_3R_16.6;;;;;;;;;;;;;;
620_79AL_42.2;;;;;;;;;;;;;;
617_1107R_38.8;;;;;;;;;;;;;;
926_17AV_1.1;;;;;;;;;;;;;;
508_951qV_91.1;;;;;;;;;;;;;;
625_263AL_15.7;;;;;;;;;;;;;;
606_47R_0.0;;;;;;;;;;;;;;
531_2719L_35.4;;;;;;;;;;;;;;
614_2167R_47.9;;;;;;;;;;;;;;
501_903R_79.7;;;;;;;;;;;;;;
817_1245V_200.1;;;;;;;;;;;;;;
037_2159V_92.3;;;;;;;;;;;;;;
506_131AR_44.0;;;;;;;;;;;;;;
536_255R_61.0;;;;;;;;;;;;;;
560_21AL_25.1;;;;;;;;;;;;;;
143_852V_17.6;;;;;;;;;;;;;;
504_33R_17.6;;;;;;;;;;;;;;
586_2517BqV_80.3;;;;;;;;;;;;;;
518_175AqV_64.6;;;;;;;;;;;;;;
028_1001L_52.6;;;;;;;;;;;;;;
927_946R_905.7;;;;;;;;;;;;;;
506_193BR_44.6;;;;;;;;;;;;;;
603_901R_4.1;;;;;;;;;;;;;;
613_173BV_75.3;;;;;;;;;;;;;;
586_213V_81.0;;;;;;;;;;;;;;
614_2151R_47.8;;;;;;;;;;;;;;
506_137AL_44.0;;;;;;;;;;;;;;
550_43BqV_25.4;;;;;;;;;;;;;;
054_1007AL_57.5;;;;;;;;;;;;;;
618_21BL_58.5;;;;;;;;;;;;;;
552_253L_83.1;;;;;;;;;;;;;;
514_909R_18.0;;;;;;;;;;;;;;
163_933AL_43.6;;;;;;;;;;;;;;
501_917V_80.4;;;;;;;;;;;;;;
514_121AL_16.9;;;;;;;;;;;;;;
514_922R_18.0;;;;;;;;;;;;;;
531_211L_35.6;;;;;;;;;;;;;;
624_153L_31.7;;;;;;;;;;;;;;
035_157AL_60.7;;;;;;;;;;;;;;
531_515L_35.8;;;;;;;;;;;;;;
011_8R_67.8;;;;;;;;;;;;;;
524_245R_69.8;;;;;;;;;;;;;;
555_223BqV_83.4;;;;;;;;;;;;;;
516_923V_2.1;;;;;;;;;;;;;;
950_1001pV_39.8;;;;;;;;;;;;;;
092_701L_42.5;;;;;;;;;;;;;;
531_851R_33.5;;;;;;;;;;;;;;
527_79AR_17.1;;;;;;;;;;;;;;
516_903L_1.9;;;;;;;;;;;;;;
940_391BqV_43.3;;;;;;;;;;;;;;
163_923BqV_43.6;;;;;;;;;;;;;;
940_75AR_43.7;;;;;;;;;;;;;;
603_903BL_3.8;;;;;;;;;;;;;;
503_117BqV_43.1;;;;;;;;;;;;;;
551_105BqV_21.8;;;;;;;;;;;;;;
524_901L_70.2;;;;;;;;;;;;;;
517_199BV_0.1;;;;;;;;;;;;;;
046_251AR_41.3;;;;;;;;;;;;;;
107_191AL_19.9;;;;;;;;;;;;;;
560_1235AR_25.0;;;;;;;;;;;;;;
115_129BV_22.5;;;;;;;;;;;;;;
938_4503R_0.1;;;;;;;;;;;;;;
626_37R_32.7;;;;;;;;;;;;;;
476_85R_200.5;;;;;;;;;;;;;;
564_952R_23.6;;;;;;;;;;;;;;
527_921R_17.6;;;;;;;;;;;;;;
550_63R_25.5;;;;;;;;;;;;;;
543_147AR_44.9;;;;;;;;;;;;;;
626_910AqV_32.6;;;;;;;;;;;;;;
437_963L_0.9;;;;;;;;;;;;;;
924_3591AR_35.8;;;;;;;;;;;;;;
927_944ApV_905.7;;;;;;;;;;;;;;
927_953AR_905.7;;;;;;;;;;;;;;
527_187AL_18.1;;;;;;;;;;;;;;
506_523AL_43.3;;;;;;;;;;;;;;
664_121AL_42.4;;;;;;;;;;;;;;
527_43AR_16.6;;;;;;;;;;;;;;
514_51BR_65.3;;;;;;;;;;;;;;
553_273AL_21.8;;;;;;;;;;;;;;
531_1167BV_101.6;;;;;;;;;;;;;;
508_908V_91.0;;;;;;;;;;;;;;
