ID;INVOERDATUM;VERSIE_NUMMER;ACTION;MODFWE;ELONG;TOSTARTAT;TOENDAT;SRCACTION;DASSIGNNAME;DASSIGNFROM;DASSIGNTO;DNAME;DLENGTH;FWENAME;FWELENGTH
72;2016-06-14;7;NEWTOP;;;;;;;;;;;823_24L_6.3;238
74;2016-06-14;7;NEWTOP;;;;;;;;;;;823_23L_6.3;685
76;2016-06-14;7;NEWTOP;;;;;;;;;;;823_24R_6.3;81
78;2016-06-14;7;NEWTOP;;;;;;;;;;;047_33BV_41.9;5
80;2016-06-14;7;NEWTOP;;;;;;;;;;;589_3201V_4.9;24
82;2016-06-14;7;NEWTOP;;;;;;;;;;;823_9V_201.1;686
83;2016-06-14;7;NEWTOP;;;;;;;;;;;112_6119L_67.8;47
85;2016-06-14;7;NEWTOP;;;;;;;;;;;531_1251L_34.5;5497
91;2016-06-14;7;NEWTOP;;;;;;;;;;;531_1633BV_35.9;5659
94;2016-06-14;7;NEWTOP;;;;;;;;;;;531_1307BL_34.7;102
97;2016-06-14;7;NEWTOP;;;;;;;;;;;531_2679L_34.7;945
100;2016-06-14;7;NEWTOP;;;;;;;;;;;545_982L_23.0;54
102;2016-06-14;7;NEWTOP;;;;;;;;;;;531_2661L_34.8;738
104;2016-06-14;7;NEWTOP;;;;;;;;;;;531_2761R_35.5;217
108;2016-06-14;7;NEWTOP;;;;;;;;;;;531_175BR_35.4;31
110;2016-06-14;7;NEWTOP;;;;;;;;;;;531_2677L_34.7;5602
117;2016-06-14;7;NEWTOP;;;;;;;;;;;531_2619R_34.6;266
120;2016-06-14;7;NEWTOP;;;;;;;;;;;135_2201R_14.7;110
123;2016-06-14;7;NEWTOP;;;;;;;;;;;531_2701L_35.4;124
126;2016-06-14;7;NEWTOP;;;;;;;;;;;531_1327BR_34.8;29
129;2016-06-14;7;NEWTOP;;;;;;;;;;;135_231V_14.8;33
131;2016-06-14;7;NEWTOP;;;;;;;;;;;531_1383BV_34.8;402
133;2016-06-14;7;NEWTOP;;;;;;;;;;;531_201BR_35.5;19
135;2016-06-14;7;NEWTOP;;;;;;;;;;;531_2575R_34.6;57
137;2016-06-14;7;NEWTOP;;;;;;;;;;;117_1843V_6.3;4264
143;2016-06-14;7;NEWTOP;;;;;;;;;;;531_2679R_34.7;716
145;2016-06-14;7;NEWTOP;;;;;;;;;;;135_227V_14.8;136
148;2016-06-14;7;NEWTOP;;;;;;;;;;;531_2767V_35.8;1490
149;2016-06-14;7;NEWTOP;;;;;;;;;;;531_2863L_37.1;106
150;2016-06-14;7;NEWTOP;;;;;;;;;;;309_153L_5.8;136
151;2016-06-14;7;NEWTOP;;;;;;;;;;;531_2677V_34.7;8
152;2016-06-14;7;NEWTOP;;;;;;;;;;;531_1385BV_34.8;1
153;2016-06-14;7;NEWTOP;;;;;;;;;;;531_1633BR_35.9;265
154;2016-06-14;7;NEWTOP;;;;;;;;;;;531_821AR_33.5;133
155;2016-06-14;7;NEWTOP;;;;;;;;;;;531_2701R_35.4;31
156;2016-06-14;7;NEWTOP;;;;;;;;;;;135_2203L_14.7;103
157;2016-06-14;7;NEWTOP;;;;;;;;;;;531_1633AV_35.7;53
158;2016-06-14;7;NEWTOP;;;;;;;;;;;135_2201L_14.7;93
159;2016-06-14;7;NEWTOP;;;;;;;;;;;531_1633AL_35.7;106
160;2016-06-14;7;NEWTOP;;;;;;;;;;;531_177R_35.3;42
161;2016-06-14;7;NEWTOP;;;;;;;;;;;531_2771R_35.6;106
162;2016-06-14;7;NEWTOP;;;;;;;;;;;531_1633AR_35.7;2866
163;2016-06-14;7;NEWTOP;;;;;;;;;;;531_2661R_34.8;847
164;2016-06-14;7;NEWTOP;;;;;;;;;;;531_179BL_35.4;122
165;2016-06-14;7;NEWTOP;;;;;;;;;;;551_139L_22.6;52
166;2016-06-14;7;NEWTOP;;;;;;;;;;;035_2885L_38.6;167
167;2016-06-14;7;NEWTOP;;;;;;;;;;;531_2863R_37.1;1278
168;2016-06-14;7;NEWTOP;;;;;;;;;;;035_2889R_38.6;175
169;2016-06-14;7;NEWTOP;;;;;;;;;;;551_139R_22.6;67
170;2016-06-14;7;NEWTOP;;;;;;;;;;;531_2765L_35.7;2939
2;2016-06-14;7;EDITCORR;127_479BV_73.8;2;;-1;;;;;;;;
4;2016-06-14;7;EDITCORR;032_7L_16.0;1;;-1;;;;;;;;
5;2016-06-14;7;EDITCORR;545_907L_21.9;1;-1;;;;;;;;;
7;2016-06-14;7;EDITCORR;079_183BV_2.9;-1;-1;;;;;;;;;
8;2016-06-14;7;EDITCORR;124_185L_3.4;-1;;-1;;;;;;;;
10;2016-06-14;7;EDITCORR;545_906BL_22.0;-1;;-1;;;;;;;;
13;2016-06-14;7;EDITCORR;545_906AR_21.9;1;;-1;;;;;;;;
14;2016-06-14;7;EDITCORR;626_11AL_32.2;-2;-1;;;;;;;;;
20;2016-06-14;7;EDITCORR;545_907R_21.9;-1;;-1;;;;;;;;
23;2016-06-14;7;EDITCORR;087_57L_24.2;-2;;-1;;;;;;;;
24;2016-06-14;7;EDITCORR;085_972R_19.8;1;;-1;;;;;;;;
27;2016-06-14;7;EDITCORR;531_1241BV_34.6;1;;-1;;;;;;;;
32;2016-06-14;7;EDITCORR;950_962R_12.6;1;;-1;;;;;;;;
33;2016-06-14;7;EDITCORR;087_75AL_24.8;2;-1;;;;;;;;;
34;2016-06-14;7;EDITCORR;128_33L_12.8;-1;;-1;;;;;;;;
38;2016-06-14;7;EDITCORR;127_395BR_48.7;2;;-1;;;;;;;;
39;2016-06-14;7;EDITCORR;217_73BV_35.4;2;;-1;;;;;;;;
40;2016-06-14;7;EDITCORR;085_213AL_19.7;1;;-1;;;;;;;;
48;2016-06-14;7;EDITCORR;626_11AR_32.2;-2;-1;;;;;;;;;
50;2016-06-14;7;EDITCORR;127_479AL_73.8;-2;;-1;;;;;;;;
52;2016-06-14;7;EDITCORR;087_75AR_24.8;1;-1;;;;;;;;;
55;2016-06-14;7;EDITCORR;079_183AL_3.0;1;;-1;;;;;;;;
57;2016-06-14;7;EDITCORR;531_531R_35.9;2;;-1;;;;;;;;
61;2016-06-14;7;EDITCORR;531_2765R_35.7;1;;-1;;;;;;;;
62;2016-06-14;7;EDITCORR;626_5BV_32.0;2;;-1;;;;;;;;
65;2016-06-14;7;EDITCORR;545_911L_22.0;2;-1;;;;;;;;;
66;2016-06-14;7;EDITCORR;545_910R_22.1;-1;;-1;;;;;;;;
67;2016-06-14;7;EDITCORR;127_461AL_73.1;-2;;-1;;;;;;;;
70;2016-06-14;7;EDITCORR;112_6119V_67.8;-2;;-1;;;;;;;;
1;2016-06-14;7;EDITREAL;127_395BV_48.7;4;-1;;;;;;;;;
6;2016-06-14;7;EDITREAL;545_909R_21.8;115;;-1;;;;;;;;
11;2016-06-14;7;EDITREAL;085_311BR_31.9;25;;-1;;;;;;;;
17;2016-06-14;7;EDITREAL;531_1193V_34.3;42;;-1;;;;;;;;
25;2016-06-14;7;EDITREAL;047_317V_56.5;3;;-1;;;;;;;;
36;2016-06-14;7;EDITREAL;531_2345L_34.2;8;;-1;;;;;;;;
45;2016-06-14;7;EDITREAL;117_1849R_6.4;5604;;-1;;;;;;;;
46;2016-06-14;7;EDITREAL;117_1845L_6.4;5573;;-1;;;;;;;;
53;2016-06-14;7;EDITREAL;545_908L_21.8;9;;-1;;;;;;;;
56;2016-06-14;7;EDITREAL;545_909L_21.8;15;;-1;;;;;;;;
59;2016-06-14;7;EDITREAL;135_205AL_11.7;40;;-1;;;;;;;;
63;2016-06-14;7;EDITREAL;531_1307BV_34.7;363;;-1;;;;;;;;
64;2016-06-14;7;EDITREAL;531_215AR_35.6;792;;-1;;;;;;;;
71;2016-06-14;7;ASSIGN;823_24L_100.0;-238;-1;;DEL;823_24L_6.3;0;238;;;;
73;2016-06-14;7;ASSIGN;823_23L_200.0;-685;-1;;DEL;823_23L_6.3;0;685;;;;
75;2016-06-14;7;ASSIGN;823_24R_100.0;-81;-1;;DEL;823_24R_6.3;0;81;;;;
77;2016-06-14;7;ASSIGN;047_33V_41.9;-5;-1;;DEL;047_33BV_41.9;0;5;;;;
79;2016-06-14;7;ASSIGN;589_3201V_0.0;-24;-1;;DEL;589_3201V_4.9;0;24;;;;
81;2016-06-14;7;ASSIGN;823_9V_200.7;-686;-1;;DEL;823_9V_201.1;0;686;;;;
84;2016-06-14;7;ASSIGN;112_5L_67.9;-29;;67;NEW;112_6119L_67.8;0;29;;;;
86;2016-06-14;7;ASSIGN;531_1143AV_33.6;-4620;;-1;NEW;531_1251L_34.5;877;5497;;;;
87;2016-06-14;7;ASSIGN;531_1143AR_33.6;-429;;-1;NEW;531_1251L_34.5;447;877;;;;
88;2016-06-14;7;ASSIGN;531_1143AR_33.6;-14;;430;NEW;531_1251L_34.5;433;447;;;;
89;2016-06-14;7;ASSIGN;531_1143AR_33.6;-416;;444;NEW;531_1251L_34.5;17;433;;;;
90;2016-06-14;7;ASSIGN;531_1143AR_33.6;-17;;860;NEW;531_1251L_34.5;0;17;;;;
92;2016-06-14;7;ASSIGN;117_1847V_6.3;-1819;;-1;NEW;531_1633BV_35.9;3840;5659;;;;
93;2016-06-14;7;ASSIGN;117_1847V_6.3;-846;;2131;NEW;531_1633BV_35.9;2683;3529;;;;
95;2016-06-14;7;ASSIGN;531_1277AL_34.6;-17;;0;NEW;531_1307BL_34.7;85;102;;;;
96;2016-06-14;7;ASSIGN;531_1277AL_34.6;-85;;17;NEW;531_1307BL_34.7;0;85;;;;
98;2016-06-14;7;ASSIGN;531_193AL_35.4;-7;;72;NEW;531_2679L_34.7;767;774;;;;
99;2016-06-14;7;ASSIGN;531_171L_35.3;-272;;69;NEW;531_2679L_34.7;268;540;;;;
101;2016-06-14;7;ASSIGN;850_1V_100.2;-53;;131;NEW;545_982L_23.0;0;54;;;;
103;2016-06-14;7;ASSIGN;531_1423R_34.9;-648;-1;;NEW;531_2661L_34.8;90;738;;;;
105;2016-06-14;7;ASSIGN;531_215BV_35.7;-19;;34;NEW;531_2761R_35.5;189;209;;;;
106;2016-06-14;7;ASSIGN;531_215BV_35.7;-3;;-1;NEW;531_2761R_35.5;156;159;;;;
107;2016-06-14;7;ASSIGN;531_215BR_35.7;-30;;-1;NEW;531_2761R_35.5;126;156;;;;
109;2016-06-14;7;ASSIGN;531_175AR_35.3;-31;;17;NEW;531_175BR_35.4;0;31;;;;
111;2016-06-14;7;ASSIGN;531_1143BR_33.7;-4454;;141;NEW;531_2677L_34.7;1148;5602;;;;
112;2016-06-14;7;ASSIGN;531_1143BV_33.7;-5;;14;NEW;531_2677L_34.7;987;992;;;;
113;2016-06-14;7;ASSIGN;531_1145R_33.7;-468;;33;NEW;531_2677L_34.7;481;949;;;;
114;2016-06-14;7;ASSIGN;531_1145R_33.7;-105;;33;NEW;531_2677L_34.7;377;481;;;;
115;2016-06-14;7;ASSIGN;531_1145R_33.7;-15;;606;NEW;531_2677L_34.7;362;376;;;;
116;2016-06-14;7;ASSIGN;531_1145R_33.7;-300;;620;NEW;531_2677L_34.7;61;362;;;;
118;2016-06-14;7;ASSIGN;531_1409BR_34.8;-3;;147;NEW;531_2619R_34.6;58;61;;;;
119;2016-06-14;7;ASSIGN;531_1409BR_34.8;-38;;170;NEW;531_2619R_34.6;0;38;;;;
121;2016-06-14;7;ASSIGN;135_225BV_14.8;-4;;7;NEW;135_2201R_14.7;103;107;;;;
122;2016-06-14;7;ASSIGN;135_223AL_14.6;-14;;77;NEW;135_2201R_14.7;36;50;;;;
124;2016-06-14;7;ASSIGN;531_195AL_35.4;-4;;10;NEW;531_2701L_35.4;31;35;;;;
125;2016-06-14;7;ASSIGN;531_195AL_35.4;-6;;10;NEW;531_2701L_35.4;22;28;;;;
127;2016-06-14;7;ASSIGN;531_1327AR_34.7;-12;;17;NEW;531_1327BR_34.8;17;29;;;;
128;2016-06-14;7;ASSIGN;531_1327AR_34.7;-17;-1;;NEW;531_1327BR_34.8;0;17;;;;
130;2016-06-14;7;ASSIGN;135_225BV_14.8;-33;-1;;NEW;135_231V_14.8;0;33;;;;
132;2016-06-14;7;ASSIGN;531_173BL_35.4;-402;-1;;NEW;531_1383BV_34.8;0;402;;;;
134;2016-06-14;7;ASSIGN;531_201AR_35.4;-16;;18;NEW;531_201BR_35.5;0;16;;;;
136;2016-06-14;7;ASSIGN;531_1277AR_34.6;-17;;0;NEW;531_2575R_34.6;0;17;;;;
138;2016-06-14;7;ASSIGN;117_YYYR_5.4;-1656;;32;NEW;117_1843V_6.3;865;2521;;;;
139;2016-06-14;7;ASSIGN;117_YYYR_5.4;-31;;-1;NEW;117_1843V_6.3;833;864;;;;
140;2016-06-14;7;ASSIGN;117_YYYV_5.4;-554;;-1;NEW;117_1843V_6.3;278;832;;;;
141;2016-06-14;7;ASSIGN;117_1837V_5.5;-4;;697;NEW;117_1843V_6.3;53;57;;;;
142;2016-06-14;7;ASSIGN;117_1837V_5.5;-19;-1;;NEW;117_1843V_6.3;0;19;;;;
144;2016-06-14;7;ASSIGN;531_173AV_35.3;-223;;134;NEW;531_2679R_34.7;257;480;;;;
146;2016-06-14;7;ASSIGN;135_225AR_14.7;-57;-1;;NEW;135_227V_14.8;0;57;;;;
3;2016-06-14;7;EDITREAL;551_107L_21.8;-133;;-1;;;;;;;;
9;2016-06-14;7;EDITREAL;922_929L_18.1;-4;;-1;;;;;;;;
12;2016-06-14;7;EDITREAL;545_908R_21.8;-5;;-1;;;;;;;;
15;2016-06-14;7;EDITREAL;531_1193L_34.3;-34;;-1;;;;;;;;
16;2016-06-14;7;EDITREAL;127_395AL_48.6;-4;;-1;;;;;;;;
18;2016-06-14;7;EDITREAL;531_213AR_35.6;-342;;-1;;;;;;;;
19;2016-06-14;7;EDITREAL;531_141BV_35.1;-139;;-1;;;;;;;;
21;2016-06-14;7;EDITREAL;531_181L_35.5;-15;;-1;;;;;;;;
22;2016-06-14;7;EDITREAL;922_928L_18.1;-4;;-1;;;;;;;;
