ID;OBJECTTYPE;CG_TYPE;NUMMER;CG_NAAM;PCA;PGO_GEBIED;OBEGINTIJD
1116;contractgebied;BVL;31;IJsselstreek;VolkerRail;Veluwe;2012-07-30
1117;contractgebied;BVL;21;Den Bosch;BAM Rail;Betuwe;2012-08-09
1118;contractgebied;BAAN;15;Driebergen;VolkerRail;;2012-08-17
1119;contractgebied;BVL;22;Geldermalsen;BAM Rail;Betuwe;2012-08-24
1120;contractgebied;BVL;11;Weesp;Strukton Rail;;2013-08-19
1121;contractgebied;BVL;81;Rijn en Gouwe;Strukton Rail;Rijn en Gouwe;2016-04-18
1122;contractgebied;BVL;2;Den Haag;BAM Rail;Den Haag;2016-04-18
1123;contractgebied;BVL;1;Leiden;Strukton Rail;Rijn en Gouwe;2013-08-23
1124;contractgebied;BVL;16;Maarn;ASSET Rail;Eemland;2013-08-30
1125;contractgebied;BVL;12;Amersfoort;ASSET Rail;Eemland;2013-08-30
1126;contractgebied;BVL;5;Dordrecht;Strukton Rail;;2014-01-06
1127;contractgebied;BAAN;37;Groningen;Strukton Rail;Wadden;2016-04-07
1128;contractgebied;BVL;37;Groningen;Strukton Rail;Wadden;2016-04-07
1129;contractgebied;BASIS;70;HSL;Infraspeed;;2016-04-07
1130;contractgebied;BASIS;27;Venlo;Strukton Rail;De Peel;2016-04-04
1131;contractgebied;BAAN;27;Venlo;Strukton Rail;De Peel;2016-04-04
1132;contractgebied;BVL;27;Venlo;Strukton Rail;De Peel;2016-04-04
1133;contractgebied;BASIS;21;Den Bosch;BAM Rail;Betuwe;2016-04-29
1134;contractgebied;BASIS;20;Breda;BAM Rail;;2016-04-29
1135;contractgebied;BASIS;7;Alkmaar;VolkerRail;;2015-02-06
1136;contractgebied;BAAN;32;Twente;VolkerRail;Twente;2016-04-04
1137;contractgebied;BVL;32;Twente;VolkerRail;Twente;2016-04-04
1081;contractgebied;BVL;15;Driebergen;VolkerRail;;2012-04-13
1082;contractgebied;BASIS;31;IJsselstreek;VolkerRail;Veluwe;2012-06-26
1083;contractgebied;BAAN;23;Boxtel;BAM Rail;;2012-06-26
1084;contractgebied;BAAN;31;IJsselstreek;VolkerRail;Veluwe;2012-07-26
1085;contractgebied;BAAN;24;Eindhoven;Strukton Rail;De Peel;2012-08-09
1086;contractgebied;BASIS;24;Eindhoven;Strukton Rail;De Peel;2012-08-09
1087;contractgebied;BVL;23;Boxtel;BAM Rail;;2012-08-09
1088;contractgebied;BVL;24;Eindhoven;Strukton Rail;De Peel;2012-08-09
1089;contractgebied;BASIS;11;Weesp;Strukton Rail;;2015-05-01
1090;contractgebied;BASIS;30;Achterhoek;ASSET Rail;Gelre 2;2016-04-04
1091;contractgebied;BASIS;71;A15trace;VolkerRail;;2016-04-04
1092;contractgebied;BAAN;30;Achterhoek;ASSET Rail;Gelre 2;2016-04-04
1093;contractgebied;BAAN;71;A15trace;VolkerRail;;2016-04-04
1094;contractgebied;BVL;30;Achterhoek;ASSET Rail;Gelre 2;2016-04-04
1095;contractgebied;BVL;71;A15trace;VolkerRail;;2016-04-04
1096;contractgebied;BVL;6;Heerhugowaard;VolkerRail;;2013-08-22
1097;contractgebied;BASIS;36;Friesland;Strukton Rail;Wadden;2016-01-29
1098;contractgebied;BAAN;36;Friesland;Strukton Rail;Wadden;2016-01-29
1099;contractgebied;BASIS;6;Heerhugowaard;VolkerRail;;2013-08-16
1100;contractgebied;BAAN;6;Heerhugowaard;VolkerRail;;2013-08-16
1101;contractgebied;BVL;36;Friesland;Strukton Rail;Wadden;2016-01-29
1102;contractgebied;BASIS;12;Amersfoort;ASSET Rail;Eemland;2016-03-07
1103;contractgebied;BASIS;29;Gelderse Vallei;VolkerRail;Veluwe;2016-03-07
1104;contractgebied;BAAN;29;Gelderse Vallei;VolkerRail;Veluwe;2016-03-07
1105;contractgebied;BAAN;12;Amersfoort;ASSET Rail;Eemland;2016-03-07
1106;contractgebied;BAAN;1;Leiden;Strukton Rail;Rijn en Gouwe;2016-01-14
1107;contractgebied;BAAN;82;Lisse;VolkerRail;;2016-01-14
1108;contractgebied;BASIS;2;Den Haag;BAM Rail;Den Haag;2016-04-18
1109;contractgebied;BAAN;2;Den Haag;BAM Rail;Den Haag;2016-04-18
1110;contractgebied;BASIS;28;Maas en Waal;ASSET Rail;Gelre 2;2016-01-14
1111;contractgebied;BAAN;28;Maas en Waal;ASSET Rail;Gelre 2;2016-01-14
1112;contractgebied;BVL;28;Maas en Waal;ASSET Rail;Gelre 2;2016-01-14
1113;contractgebied;BASIS;18;Goes;VolkerRail;Zeeland;2016-06-10
1114;contractgebied;BAAN;18;Goes;VolkerRail;Zeeland;2016-06-10
1115;contractgebied;BVL;18;Goes;VolkerRail;Zeeland;2016-06-10
1138;contractgebied;BVL;19;Roosendaal;VolkerRail;Zeeland;2015-12-11
1139;contractgebied;BASIS;1;Leiden;Strukton Rail;Rijn en Gouwe;2016-01-14
1140;contractgebied;BASIS;82;Lisse;VolkerRail;;2016-01-14
1141;contractgebied;BAAN;11;Weesp;Strukton Rail;;2013-08-16
1142;contractgebied;BVL;10;Duivendrecht;Strukton Rail;;2016-04-22
1143;contractgebied;BASIS;33;Gelderland;VolkerRail;Veluwe;2016-03-03
1144;contractgebied;BAAN;33;Gelderland;VolkerRail;Veluwe;2016-03-03
1145;contractgebied;BASIS;4;Europoort;VolkerRail;;2014-01-09
1146;contractgebied;BAAN;4;Europoort;VolkerRail;;2014-01-09
1147;contractgebied;BVL;4;Europoort;VolkerRail;;2014-01-09
1148;contractgebied;BAAN;22;Geldermalsen;BAM Rail;Betuwe;2016-01-05
1149;contractgebied;BVL;35;Drenthe;Strukton Rail;Drenthe;2016-05-26
1150;contractgebied;BVL;34;Overijssel;Strukton Rail;Drenthe;2016-05-26
1151;contractgebied;BASIS;22;Geldermalsen;BAM Rail;Betuwe;2016-01-05
1152;contractgebied;BASIS;5;Dordrecht;Strukton Rail;;2016-01-05
1153;contractgebied;BASIS;32;Twente;VolkerRail;Twente;2016-04-04
