ID;SPOORTAK_IDENTIFICATIE;DOELGROEP;SPOORTAK_LRS_VAN;SPOORTAK_LRS_TOT;LOKALE_SNELHEID;DATUM_VERWERKING
72987704;550_65R_25.5;T;0,000000;0,292000;40;2016-06-13
72987705;005_65V_110.1;T;0,000000;3,965000;100;2016-06-13
72987706;005_65V_110.1;T;3,965000;4,056000;100;2016-06-13
72987707;005_65V_110.1;T;4,056000;4,085000;40;2016-06-13
72987708;550_71AL_25.7;T;0,000000;0,106000;40;2016-06-13
72988054;001_1125L_9.4;T;0,000000;0,072000;40;2016-06-13
72988055;001_1125L_9.4;T;0,072000;0,535000;100;2016-06-13
72988056;001_1125R_9.4;T;0,000000;0,378000;60;2016-06-13
72988057;001_1125R_9.4;T;0,378000;0,533000;60;2016-06-13
72988058;001_1129V_9.9;T;5,441000;5,448000;100;2016-06-13
72988059;001_1145L_15.3;T;0,000000;0,537000;100;2016-06-13
72988060;001_1145R_15.3;T;0,000000;0,390000;80;2016-06-13
72988061;001_1145R_15.3;T;0,390000;0,537000;80;2016-06-13
72988062;076_79L_11.4;T;0,000000;0,282000;40;2016-06-13
72988063;076_79R_11.4;T;0,000000;0,373000;40;2016-06-13
72988064;076_79V_11.4;T;0,000000;0,036000;40;2016-06-13
72988065;076_81R_11.5;T;0,000000;0,127000;40;2016-06-13
72988031;550_969R_25.4;T;0,000000;0,032000;40;2016-06-13
72988032;550_970L_25.4;T;0,000000;0,140000;40;2016-06-13
72988859;520_1014R_1.0;T;0,000000;0,159000;40;2016-06-13
72988860;814_980V_201.1;T;0,000000;0,423000;40;2016-06-13
72988861;519_5L_45.9;T;0,000000;0,170000;40;2016-06-13
72988862;519_5R_45.9;T;0,000000;0,154000;40;2016-06-13
72988863;519_5V_45.9;T;0,000000;0,156000;40;2016-06-13
72988864;519_13AL_45.7;T;0,000000;0,192000;100;2016-06-13
72988865;519_13AR_45.7;T;0,000000;0,183000;80;2016-06-13
72988866;519_13AV_45.7;T;0,000000;0,123000;100;2016-06-13
72988867;519_13AV_45.7;T;0,123000;1,173000;100;2016-06-13
72988868;519_13AV_45.7;T;1,173000;1,264000;130;2016-06-13
72988869;519_13AV_45.7;T;1,264000;6,591000;130;2016-06-13
72988870;519_13BV_45.9;T;0,000000;0,131000;80;2016-06-13
72989171;520_153AR_0.8;T;0,000000;0,052000;40;2016-06-13
