ID;SPOORTAK_IDENTIFICATIE;OBJECT_NAAM;OBJECT_TYPE;SPOORTAK_LRS_VAN;SPOORTAK_LRS_TOT;DATUM_VERWERKING;HOEKVERHOUDING;AFSTAND_VOORLAS_WISSELTONG;BEGRENZERNAAM_BEGIN;BEGRENZERNAAM_EIND;BEGRENZERTYPE_BEGIN;BEGRENZERTYPE_EIND
72211967;586_2511BqV_80.3;2525A/2511B;W;0,000;0,034;2016-06-07;;;2525A/2511B;2525A/2511B;W;W
72211968;589_3203L_4.9;3273;W;1,745;1,843;2016-06-07;1:34.7;2,53;3273;3273;W;W
72211969;517_57L_69.1;57;W;0,000;0,029;2016-06-07;1:9;1,33;57;57;W;W
72211970;017_63AL_70.7;63B;W;0,037;0,064;2016-06-07;1:9;1,33;63B;63B;W;W
72211971;924_3253AR_34.1;3263A/3253B;W;0,025;0,040;2016-06-07;;;3263A/3253B;3263A/3253B;W;W
72211972;950_827V_10.9;841B;W;0,721;0,750;2016-06-07;1:9;1,33;841B;841B;W;W
72211973;503_922V_42.4;924/167A;W;0,005;0,021;2016-06-07;;;924/167A;924/167A;W;W
72211974;624_215AL_32.7;215A;W;0,000;0,043;2016-06-07;1:15 SYM;1,33;215A;215A;W;W
72211975;618_111AL_51.1;111A;W;0,000;0,029;2016-06-07;1:9;1,33;111A;111A;W;W
72211976;664_131AL_42.9;255/143B;W;0,281;0,297;2016-06-07;;;255/143B;255/143B;W;W
72211977;550_83AR_25.6;85A/83B;W;0,036;0,053;2016-06-07;;;85A/83B;85A/83B;W;W
72211978;926_2047pV_1.0;2048/2047;W;0,000;0,029;2016-06-07;;;2048/2047;2048/2047;W;W
72211979;501_75AR_80.4;75A;W;0,000;0,029;2016-06-07;1:9;1,33;75A;75A;W;W
72211981;625_315AR_14.4;503;W;4,858;4,957;2016-06-07;1:34.7;2,53;503;503;W;W
72211982;474_959L_101.1;959;W;0,000;0,027;2016-06-07;1:9;1,33;959;959;W;W
72211985;924_44-45R_35.3;44-45;W;0,000;0,029;2016-06-07;1:9;1,33;44-45;44-45;W;W
72211986;555_243BqV_83.5;281A/243B;W;0,000;0,034;2016-06-07;;;281A/243B;281A/243B;W;W
72211987;508_2087R_91.2;2087;W;0,000;0,048;2016-06-07;1:15;1,33;2087;2087;W;W
72211988;602_217AR_77.1;217B;W;0,052;0,100;2016-06-07;1:15;1,33;217B;217B;W;W
72211989;545_907R_21.9;907;W;0,000;0,028;2016-06-07;1:9;1,33;907;907;W;W
72211990;544_1057AR_23.2;1057A;W;0,000;0,048;2016-06-07;1:15;1,33;1057A;1057A;W;W
72211991;564_1333L_23.6;1335/1337;W;0,036;0,052;2016-06-07;;;1335/1337;1335/1337;W;W
72211993;926_2058R_0.9;2080;W;0,189;0,216;2016-06-07;1:9;1,33;2080;2080;W;W
72211994;130_3R_60.8;3;W;0,000;0,027;2016-06-07;1:9;1,33;3;3;W;W
72211995;586_365AR_81.1;365A/361B;W;0,000;0,016;2016-06-07;;;365A/361B;365A/361B;W;W
72211996;817_78ApV_205.7;78A/78B;W;0,000;0,034;2016-06-07;;;78A/78B;78A/78B;W;W
72211997;950_3R_206.1;3;W;0,000;0,028;2016-06-07;1:9;1,33;3;3;W;W
72211999;508_2137R_92.0;2137;W;0,000;0,039;2016-06-07;1:12;1,33;2137;2137;W;W
72212508;506_25BV_43.1;39A/31B;W;0,063;0,079;2016-06-07;;;39A/31B;39A/31B;W;W
72212509;950_431AL_6.7;431A;W;0,000;0,029;2016-06-07;1:9;1,33;431A;431A;W;W
72212510;026_235L_26.0;235/233B;W;0,000;0,017;2016-06-07;;;235/233B;235/233B;W;W
72212512;506_636ApV_44.2;636B/636A;W;0,000;0,031;2016-06-07;;;636B/636A;636B/636A;W;W
72212513;531_839L_33.5;839;W;0,000;0,029;2016-06-07;1:9;1,33;839;839;W;W
72212514;626_904BR_32.4;904B;W;0,000;0,026;2016-06-07;1:8;1,33;904B;904B;W;W
72212518;555_319L_84.3;319;W;0,000;0,038;2016-06-07;1:12;1,33;319;319;W;W
72212519;550_105pV_26.0;107/105;W;0,000;0,032;2016-06-07;;;107/105;107/105;W;W
72212520;534_1043AL_45.5;1043A;W;0,000;0,029;2016-06-07;1:9;1,33;1043A;1043A;W;W
72212521;586_161AR_80.8;161A/159B;W;0,000;0,016;2016-06-07;;;161A/159B;161A/159B;W;W
72212523;586_131AL_80.7;133B;W;0,019;0,047;2016-06-07;1:9;1,33;133B;133B;W;W
72212524;467_127L_103.6;127;W;0,000;0,022;2016-06-07;1:7;1,33;127;127;W;W
72212526;057_41AL_11.2;41A;W;0,000;0,029;2016-06-07;1:9;1,33;41A;41A;W;W
72212527;120_9BL_7.7;9B;W;0,000;0,029;2016-06-07;1:9;1,33;9B;9B;W;W
72212529;586_335BR_81.5;335B;W;0,000;0,028;2016-06-07;1:9;1,33;335B;335B;W;W
72212530;161_2511R_20.1;2511;W;0,000;0,048;2016-06-07;1:15;1,33;2511;2511;W;W
72212531;614_2203R_48.3;2203;W;0,000;0,048;2016-06-07;1:15;1,33;2203;2203;W;W
72212532;163_927AR_43.6;953B;W;0,402;0,431;2016-06-07;1:9;1,33;953B;953B;W;W
72212533;817_61L_501.5;61;W;0,000;0,028;2016-06-07;1:9;1,33;61;61;W;W
72212534;545_960AqV_22.7;960A/960B;W;0,000;0,031;2016-06-07;;;960A/960B;960A/960B;W;W
72212535;536_231AL_60.6;243A/231B;W;0,025;0,041;2016-06-07;;;243A/231B;243A/231B;W;W
72212536;135_916AR_45.8;919;W;0,454;0,481;2016-06-07;1:9;1,33;919;919;W;W
72212537;618_185AR_50.8;195B/185A;W;0,000;0,017;2016-06-07;;;195B/185A;195B/185A;W;W
72212539;520_803R_1.0;803;W;0,000;0,009;2016-06-07;1:9;1,33;803;803;W;W
72212540;586_335AL_81.4;335B;W;0,045;0,073;2016-06-07;1:9;1,33;335B;335B;W;W
72212544;545_945R_22.4;945;W;0,000;0,027;2016-06-07;1:9;1,33;945;945;W;W
72212545;837_1L_300.8;1;W;0,000;0,028;2016-06-07;1:9;1,33;1;1;W;W
