ID;OBJECTTYPE;SPOORTAK_IDENTIFICATIE;GEOCODE_BEGIN;SUBCODE_BEGIN;NAAM_GEOCODE_BEGIN;KM_BEGIN;NR_BEGIN;KANTCODE_BEGIN;GEOCODE_EIND;SUBCODE_EIND;NAAM_GEOCODE_EIND;KM_EIND;NR_EIND;KANTCODE_EIND;NR_SUB;LENGTE;OBEGINTIJD;BEHEERDER;LENGTE_GEOM
377776;--VERVALLEN--;479_1633L_300.5;479;a;Maasvlakte 2;300,534;1633;L;479;a;Maasvlakte 2;301,976;1675;R;;1,443;2015-01-09;ProRail;1,442699
377777;--VERVALLEN--;479_1633R_300.5;479;a;Maasvlakte 2;300,534;1633;R;479;a;Maasvlakte 2;300,597;1635;R;;0,064;2015-01-09;ProRail;0,064174
377778;--VERVALLEN--;479_1635V_300.6;479;a;Maasvlakte 2;300,597;1635;V;479;a;Maasvlakte 2;300,605;1647;V;;0,008;2015-01-09;ProRail;0,008000
377779;--VERVALLEN--;479_1647L_300.6;479;a;Maasvlakte 2;300,605;1647;L;479;a;Maasvlakte 2;301,901;1671;R;;1,295;2015-01-09;ProRail;1,295189
377780;--VERVALLEN--;479_1647R_300.6;479;a;Maasvlakte 2;300,605;1647;R;479;a;Maasvlakte 2;300,701;2001;R;;0,096;2015-01-09;ProRail;0,095576
377781;--VERVALLEN--;479_1671V_301.9;479;a;Maasvlakte 2;301,901;1671;V;479;a;Maasvlakte 2;301,912;1673;V;;0,011;2015-01-09;ProRail;0,011490
377782;--VERVALLEN--;478_1589V_1.9;478;a;Rotterdam Europoort 4;1,945;1589;V;478;a;Rotterdam Europoort 4;1,936;1593;V;;0,009;2015-01-09;ProRail;0,009000
377783;--VERVALLEN--;163_927AR_43.6;163;;Rotterdam Lombardijen - Rotterdam Centraal;43,562;927A;R;163;;Rotterdam Lombardijen - Rotterdam Centraal;43,989;953B;L;;0,431;2015-01-09;ProRail;0,430697
377784;--VERVALLEN--;624_147BV_31.8;624;;Gouda;31,841;147B;V;624;;Gouda;31,913;157;V;;0,072;2015-01-09;ProRail;0,071506
377785;--VERVALLEN--;478_1345L_2.0;478;a;Rotterdam Europoort 4;2,038;1345;LE;478;a;Rotterdam Europoort 4;2,203;1605;L;;0,150;2015-01-09;ProRail;0,149517
377786;--VERVALLEN--;478_1601R_1.9;478;a;Rotterdam Europoort 4;1,926;1601;R;478;a;Rotterdam Europoort 4;2,203;1605;R;;0,282;2015-01-09;ProRail;0,281623
377787;--VERVALLEN--;478_1605V_2.2;478;a;Rotterdam Europoort 4;2,203;1605;V;478;a;Rotterdam Europoort 4;2,243;1651;L;;0,040;2015-01-09;ProRail;0,040020
377788;--VERVALLEN--;478_1341R_2.1;478;a;Rotterdam Europoort 4;2,118;1341;R;478;a;Rotterdam Europoort 4;3,011;1349;L;;0,896;2015-01-09;ProRail;0,896402
377789;--VERVALLEN--;588_343R_1.1;588;;Amsterdam Dijksgracht;1,054;343;RE;588;;Amsterdam Dijksgracht;2,835;413A;V;;1,695;2015-01-09;ProRail;1,694936
377968;--VERVALLEN--;618_25AV_58.5;618;c;Eindhoven;58,511;25A;V;054;a;Boxtel - Eindhoven;57,600;1015;R;;0,920;2015-01-09;ProRail;0,919911
377969;--VERVALLEN--;485_39R_450.4;485;l;Amsterdam Hemhaven (gebied);450,406;39;R;485;l;Amsterdam Hemhaven (gebied);450,000;49;R;;0,416;2015-01-09;ProRail;0,415667
377970;--VERVALLEN--;528_1BL_27.9;528;b;Hilversum;27,926;1B;L;087;;Weesp Aansl. - Hilversum;25,960;83B;V;;1,971;2015-01-09;ProRail;1,971351
377971;--VERVALLEN--;618_21BL_58.5;618;c;Eindhoven;58,539;21B;LE;054;a;Boxtel - Eindhoven;57,598;1011A;L;;0,917;2015-01-09;ProRail;0,917205
377972;--VERVALLEN--;105_143BR_31.5;105;;Woerden - Gouda;31,531;143B;R;105;;Woerden - Gouda;29,965;485A;L;;1,561;2015-01-09;ProRail;1,560811
377973;--VERVALLEN--;100_2021AR_2.9;100;;Utrecht Centraal - Harmelen Aansl.;2,909;2021A;R;100;;Utrecht Centraal - Harmelen Aansl.;7,787;2101B;L;;4,877;2016-03-10;ProRail;4,877052
377974;--VERVALLEN--;087_901L_24.3;087;;Weesp Aansl. - Hilversum;24,259;901;L;087;;Weesp Aansl. - Hilversum;24,397;XXX;L;;0,139;2016-03-10;Derden - Overig,ProRail;0,139105
377975;--VERVALLEN--;522_155R_57.4;522;b;Uitgeest;57,448;155;R;522;b;Uitgeest;57,954;209;L;;0,511;2015-01-09;ProRail;0,511212
377361;--VERVALLEN--;531_1403AR_34.7;531;c;Utrecht Centraal;34,736;1403A;R;531;c;Utrecht Centraal;34,808;1403B;RE;;0,057;2015-01-09;ProRail;0,057219
377362;--VERVALLEN--;155_4439R_84.3;155;d;Meteren Aansl. - Ressen = Bemmel;84,270;4439;R;155;d;Meteren Aansl. - Ressen = Bemmel;88,040;4451;R;;3,755;2015-01-09;ProRail;3,755009
377363;--VERVALLEN--;155_4437V_84.2;155;d;Meteren Aansl. - Ressen = Bemmel;84,233;4437;V;155;d;Meteren Aansl. - Ressen = Bemmel;84,270;4439;V;;0,037;2015-01-09;ProRail;0,036954
377545;--VERVALLEN--;124_215L_4.4;124;a;Tilburg - Vught Aansl.;4,405;215;LE;124;a;Tilburg - Vught Aansl.;4,520;SJ_215L;V;;0,099;2015-01-09;ProRail;0,098504
377546;--VERVALLEN--;124_211R_3.9;124;a;Tilburg - Vught Aansl.;3,869;211;R;124;a;Tilburg - Vught Aansl.;4,438;213;RE;;0,553;2015-01-09;ProRail;0,553375
377547;--VERVALLEN--;537_251BL_2.8;537;a;Moordrecht Aansl.;2,818;251B;L;624;;Gouda;32,714;267;R;;2,223;2015-01-09;ProRail;2,222674
