PUIC;GEOCODE;GEOSUBCODE;KM_GEOCODE;X;Y;OBJECTTYPE;VERSIE_DATUM;VERSIE_GELDIG;VERSIE_NUMMER
fdc9af33-286b-4350-b67c-43a8845fb801;512;512_b;89.395367;186483.73200000077;434333.8539999984;Wissel;20220614;C;19
71b5b9b1-2c1a-40c0-ae8e-e1ce2bc69215;309;309__;5.864975;202134.2419999987;319024.08399999887;Wissel;20220614;C;19
7af25253-e9eb-4e25-a07f-66b1667a743a;543;543_c;45.54692;251459.13899999857;475726.16000000015;Wissel;20220614;C;19
62ad0e3d-22fc-450c-93b6-e095cb9a645a;506;506_b;45.356833;154664.8990000002;463290.52600000054;Wissel;20220614;C;19
f85315a1-90dc-49fb-8c53-8343c3ac0f2d;539;539__;79.2636;87375.86600000039;437734.91000000015;Wissel;20220614;C;19
30bf23d9-3040-454d-b4dd-12790d74b96a;545;545_b;22.975682;90580.45199999958;395043.78400000185;Wissel;20220614;C;19
b24f72e1-dcf5-49d9-aab1-44fef6fb5556;603;603_a;3.33431;203248.4549999982;501893.7749999985;Wissel;20220614;C;19
a7b06fc2-bad3-4ece-85d6-dd401e8feedd;553;553_c;22.328661;188194.31599999964;335287.743999999;Wissel;20220614;C;19
b6324644-1972-4bd7-96e7-1b1b529c257b;135;135__;39.734282;160822.30799999833;502017.71599999815;Wissel;20220614;C;19
8f1d8208-8187-4384-b2c6-67d302610a3e;924;924_a;35.295972;100351.89600000158;427470.1860000007;Wissel;20220614;C;19
825da376-1db2-4b1f-9f8f-5dedcf3ba3d8;520;520_c;36.793957;177157.86499999836;318620.9770000018;Wissel;20220614;C;19
102dd755-07dc-432c-b464-7cf6db508d83;557;557_a;27.408511;47418.78500000015;369423.9519999996;Wissel;20220614;C;19
d97c0eaa-e86a-43ba-9afb-345d5e1a019a;606;606_a;0.851757;241451.75299999863;486165.3299999982;Wissel;20220614;C;19
a2473575-428c-479a-a120-f92d1166c2f6;531;531_c;34.178816;135447.77899999917;456424.3110000007;Wissel;20220614;C;19
2b25e421-bda7-4036-94e3-110e455ba1c5;514;514_a;18.062192;187209.0399999991;427446.5089999996;Wissel;20220614;C;19
ff2ddafb-2fa7-4a66-ad23-4af68272b3d2;617;617_a;39.534006;150522.36300000176;399237.5229999982;Wissel;20220614;C;19
a53731e2-a5d4-45f5-83f2-6e3a8e7e952d;017;017__;40.722511;168437.70800000057;475953.5320000015;Wissel;20220614;C;19
108d1a5f-6c52-4be1-8888-a003ead7a167;924;924_a;34.440814;101048.96200000122;426972.06599999964;Wissel;20220614;C;19
e6500c67-cbaf-48e8-b197-774bfb53d9d7;527;527_c;16.904915;103960.59899999946;489167.81799999997;Wissel;20220614;C;19
1da6af72-bf16-493a-b412-ab1e6f799340;028;028__;52.793368;256995.30600000173;471430.5850000009;Wissel;20220614;C;19
cd05525d-9242-425b-9095-7a8cacb93ea7;528;528_b;28.723458;141136.188000001;470638.4979999997;Wissel;20220614;C;19
3faddaf9-fe26-4f6b-ac8f-d915c86b0f4b;513;513_a;25.623421;146997.92599999905;432846.2679999992;Wissel;20220614;C;19
fc9e1253-c143-4bcd-a90a-5c8dfb8311ba;564;564_b;23.540276;83524.7659999989;454209.18200000003;Wissel;20220614;C;19
be4ac0f6-d34a-466c-94c2-4142cdfaaf61;506;506_b;44.060124;153535.62900000066;462797.9219999984;Wissel;20220614;C;19
0264d864-157f-4c09-a2c1-5492a0e6485a;506;506_b;43.295988;152804.52199999988;463132.18499999866;Wissel;20220614;C;19
3bea4b06-3a2a-4751-a53e-bd50a583cc8a;437;437_a;0.878369;192611.01799999923;443271.2749999985;Wissel;20220614;C;19
e5809c58-b291-4142-8765-328ecea814cf;121;121_a;8.438195;107449.7490000017;405534.9470000006;Wissel;20220614;C;19
c09fa05a-7794-4ecf-a224-f3e8fa8f7e03;527;527_c;17.458598;103412.04800000042;489206.9840000011;Wissel;20220614;C;19
d16c5cb8-fa7d-403c-89f1-d4be10d8fb21;478;478_a;0.770823;61661.879000000656;439063.0729999989;Wissel;20220614;C;19
69e79617-d907-416b-ab50-956d7e8dc18f;475;475_a;0.814046;61934.55999999866;440770.31700000167;Wissel;20220614;C;19
e9d8a65d-f2d9-4ce2-9e51-fb76eb7e4ca1;508;508__;91.122156;189533.4219999984;444338.0879999995;Wissel;20220614;C;19
01c92be7-c5dd-43ba-87d4-bcfab3c6c8a8;534;534_b;44.649521;93665.79100000113;465379.97399999946;Wissel;20220614;C;19
a544f100-6c85-4adc-8099-b49e9611ee3f;603;603_a;3.838282;203679.55600000173;501629.7529999986;Wissel;20220614;C;19
71226e9d-7f7e-40d9-9edb-074e0adeb3a3;619;619__;34.850393;117161.62799999863;520657.8990000002;Wissel;20220614;C;19
10a192b6-4855-4947-b742-0d8ff8232d6e;620;620__;42.349966;110851.34600000083;516755.3370000012;Wissel;20220614;C;19
e43815da-d46b-4485-8b74-63feeb378569;007;007__;4.920724;230448.30200000107;594612.6279999986;Wissel;20220614;C;19
5edf538e-c331-4f20-b572-aaddd2448176;116;116_a;37.628599;98507.51000000164;428908.1970000006;Wissel;20220614;C;19
beb1baa9-1f59-4113-80ab-87c376bf9d5f;305;305__;15.247407;255549.06700000167;569945.1909999996;Wissel;20220614;C;19
92fc22fc-85be-408c-ad6e-7aacea861010;514;514_a;18.010145;187153.3359999992;427465.0;Kruising;20220614;C;19
d1e750a1-c1f6-4796-afa3-ce31a3742484;524;524_b;71.347524;116041.64299999923;494525.6490000002;Wissel;20220614;C;19
25b2fbd6-6f0e-46c4-8323-b769cc2c524d;801;801_a;7.785368;100547.85599999875;409704.0700000003;Wissel;20220614;C;19
4ac7b8cd-32d1-4072-8f84-52c64f8b5e98;508;508__;90.451857;188865.87700000033;444387.9840000011;Wissel;20220614;C;19
9cc5ab0a-e752-4364-b28c-77848d3ee4a9;823;823_a;4.71522;117269.43400000036;409000.1700000018;Wissel;20220614;C;19
387304c8-5049-426f-9419-38edeac8ea17;603;603_a;3.421035;203328.38699999824;501856.6810000017;Wissel;20220614;C;19
0e106690-57c4-4b17-b6b5-1da8801df86c;203;203__;66.809208;253929.3440000005;527302.3289999999;Wissel;20220614;C;19
b68cec48-50b5-4033-bd3e-b15daeb7f3dd;514;514_a;17.225113;186985.77199999988;428226.4210000001;Wissel;20220614;C;19
af943729-e0ce-4c30-9641-0cb90ff12b98;470;470_g;301.341374;77845.55600000173;432135.12999999896;Wissel;20220614;C;19
20546a69-c0d8-4e19-a31b-46f4272e7918;536;536__;61.480692;81678.0009999983;453794.15900000185;Wissel;20220614;C;19
0fa05e82-4896-4100-ba69-4d17f4c019c3;561;561__;59.678692;83144.08199999854;454838.2320000008;Wissel;20220614;C;19
7b5a3421-84a7-4f0d-bf5e-657161ea2ba8;564;564_b;23.823624;83266.64299999923;454325.59899999946;Wissel;20220614;C;19
3cfb84d3-8ae3-451b-ac91-432aae14837e;093;093__;6.1794;139978.24399999902;459149.7349999994;Wissel;20220614;C;19
0472640b-0b2a-449b-b17b-663a94c53ba5;127;127_a;68.362485;31979.392000000924;390965.0080000013;Wissel;20220614;C;19
b26b158e-7f8d-44b6-8fe9-902b3cbd07f6;664;664_b;43.096931;95648.72300000116;433520.10500000045;Kruising;20220614;C;19
4d4c3d32-6b3f-4d24-91f0-3488e37c64ea;135;135__;15.381503;143724.76700000092;487532.87000000104;Wissel;20220614;C;19
846e51ec-a28a-41ab-8987-6ccc51fd45a4;529;529__;23.076261;127889.85599999875;464382.6270000003;Wissel;20220614;C;19
ffa9cdf5-7460-4e64-a518-5235bdde6e48;618;618_b;50.713398;162282.15399999917;383928.4770000018;Wissel;20220614;C;19
