GEOCODE;GEOSUBCODE;GEOCODE_NR;NAAM;VERKORTING;VERSIE_DATUM;VERSIE_GELDIG;VERSIE_NUMMER
213;213__;213;Boxtel - Uden;Btl-Ud;20220614;C;19
028;028__;28;Hengelo - Enschede Grens;Hgl-Esg;20220614;C;19
557;557_a;557;Terneuzen Aansl.;Tnza;20220614;C;19
474;474_b;474;Rotterdam Europoort 1;Re1;20220614;C;19
818;818_d;818;Terneuzen Dow Chemical;Trzdow;20220614;C;19
133;133_b;133;Amsterdam Riekerpolder - Warmond;Asra-Wmd;20220614;C;19
831;831_b;831;Oss Racc. Elzenburg;Oelz;20220614;C;19
070;070__;70;Schin op Geul - Maastricht;Sog-Mt;20220614;C;19
565;565_b;565;Leidschenveen;Ldvn;20220614;C;19
546;546_a;546;Blauwkapel;Bkp;20220614;C;19
467;467_a;467;Rotterdam Waalhaven Oost;Who;20220614;C;19
109;109__;109;Rhenen - De Haar Aansl.;Rhn-Har;20220614;C;19
662;662__;662;Simpelveld;Spv;20220614;C;19
801;801_q;801;Moerdijk Industrieterrein;Mdki;20220614;C;19
851;851_b;851;Born Franciscushaven;Bonfh;20220614;C;19
504;504_a;504;Heerlen;Hrl;20220614;C;19
101;101__;101;Harmelen Aansl. - Woerden;Hmla-Wd;20220614;C;19
066;066_b;66;Landgraaf - Haanrade Grens;Lg-Hang;20220614;C;19
146;146__;146;Warmond - Leiden Centraal;Wmd-Ledn;20220614;C;19
819;819__;819;Etten=Leur Gem. Industrieterrein;Etni;20220614;C;19
801;801_l;801;Moerdijk Industrieterrein;Mdki;20220614;C;19
062;062__;62;Sittard - Roermond;Std-Rm;20220614;C;19
557;557_e;557;Terneuzen Aansl.;Tnza;20220614;C;19
551;551_a;551;Tilburg;Tb;20220614;C;19
801;801_c;801;Moerdijk Industrieterrein;Mdki;20220614;C;19
546;546_b;546;Blauwkapel;Bkp;20220614;C;19
801;801_m;801;Moerdijk Industrieterrein;Mdki;20220614;C;19
506;506_b;506;Amersfoort;Amf;20220614;C;19
805;805_c;805;Dordrecht Zeehaventerrein;Ddrz;20220614;C;19
782;782__;782;Herzogenrath (D);Hz;20220614;C;19
557;557_f;557;Terneuzen Aansl.;Tnza;20220614;C;19
468;468_g;468;Rotterdam Eemhaven;Reh;20220614;C;19
110;110__;110;Den Haag Ypenburg - Leidschenveen;Ypb-Ldvn;20220614;C;19
546;546_g;546;Blauwkapel;Bkp;20220614;C;19
066;066_a;66;Landgraaf - Haanrade Grens;Lg-Hang;20220614;C;19
524;524_b;524;Zaandam;Zd;20220614;C;19
817;817_j;817;Vlissingen Sloehaven;Sloe;20220614;C;19
618;618_c;618;Eindhoven;Ehv;20220614;C;19
810;810_b;810;Dordrecht Industrieterrein Aansl. De Staart;Ddri;20220614;C;19
817;817_d;817;Vlissingen Sloehaven;Sloe;20220614;C;19
203;203__;203;Mariënberg - Emmen;Mrb-Emn;20220614;C;19
521;521_b;521;Schin op Geul;Sog;20220614;C;19
102;102__;102;Woerden - Alphen a/d Rijn;Wd-Apn;20220614;C;19
022;022__;22;Haren - Waterhuizen Aansl.;Hrn-Wha;20220614;C;19
054;054_c;54;Boxtel - Eindhoven;Btl-Ehv;20220614;C;19
626;626_c;626;Hoorn;Hn;20220614;C;19
546;546_c;546;Blauwkapel;Bkp;20220614;C;19
542;542_b;542;Dordrecht;Ddr;20220614;C;19
437;437_a;437;Arnhem Goederenstation - Velperbroek Aansl.;Ahg-Va;20220614;C;19
818;818_e;818;Terneuzen Dow Chemical;Trzdow;20220614;C;19
163;163__;163;Rotterdam Lombardijen - Rotterdam Centraal;Rlb-Rtd;20220614;C;19
025;025__;25;Almelo - Hengelo;Aml-Hgl;20220614;C;19
543;543_a;543;Hengelo;Hgl;20220614;C;19
511;511__;511;Vork;Vrk;20220614;C;19
814;814_b;814;Maastricht Racc. Beatrixhaven;Mttrix;20220614;C;19
540;540_c;540;Rotterdam Westelijke Splitsing;Wspl;20220614;C;19
808;808__;808;VAM-terrein Wijster;Vam;20220614;C;19
114;114_b;114;Rotterdam Kleiweg - Rotterdam Westelijke Splitsing;Rtkw-Wspl;20220614;C;19
119;119_a;119;Lage Zwaluwe - Dordrecht;Zlw-Ddr;20220614;C;19
043;043__;43;Kesteren - Geldermalsen;Ktr-Gdm;20220614;C;19
507;507_b;507;Velperbroek Aansl.;Va;20220614;C;19
666;666_b;666;Meteren Aansl.;Mtna;20220614;C;19
468;468_b;468;Rotterdam Eemhaven;Reh;20220614;C;19
217;217__;217;Hoorn - Enkhuizen;Hn-Ekz;20220614;C;19
625;625_c;625;Lage Zwaluwe;Zlw;20220614;C;19
562;562_b;562;De Haar Aansl.;Har;20220614;C;19
587;587_a;587;Diemen;Dmn;20220614;C;19
778;778__;778;Gronau (D) - Enschede Grens;G-Esg;20220614;C;19
504;504_b;504;Heerlen;Hrl;20220614;C;19
857;857_b;857;Almelo Gem. Stamlijn;Gsalm;20220614;C;19
098;098__;98;Breukelen - Utrecht Centraal;Bkl-Ut;20220614;C;19
090;090__;90;Den Dolder - Amersfoort;Dld-Amf;20220614;C;19
433;433__;433;Sittard - Born;Std-Bon;20220614;C;19
861;861__;861;Delden Raccordement;Ddnser;20220614;C;19
625;625_a;625;Lage Zwaluwe;Zlw;20220614;C;19
818;818_f;818;Terneuzen Dow Chemical;Trzdow;20220614;C;19
815;815_b;815;Roodeschool Eemshaven;Rde;20220614;C;19
067;067__;67;Heerlen - Schin op Geul;Hrl-Sog;20220614;C;19
666;666_a;666;Meteren Aansl.;Mtna;20220614;C;19
563;563__;563;Den Haag Mariahoeve;Gvm;20220614;C;19
526;526_b;526;Amsterdam Muiderpoort;Asdm;20220614;C;19
502;502_a;502;Meppel;Mp;20220614;C;19
208;208__;208;Apeldoorn - Zutphen;Apd-Zp;20220614;C;19
805;805_e;805;Dordrecht Zeehaventerrein;Ddrz;20220614;C;19
510;510_b;510;Elst;Est;20220614;C;19
226;226__;226;Gouda - Alphen a/d Rijn;Gd-Apn;20220614;C;19
