NAAM_ID;NAAM_LRS_VAN;NAAM_LRS_TOT;SEGMENT_IDENTIFICATIE;SEGMENT_LRS_VAN;SEGMENT_LRS_TOT;OBJECT_NAAM;BEGRENZERNAAM_BEGIN;BEGRENZERNAAM_EIND;BEGRENZERTYPE_BEGIN;BEGRENZERTYPE_EIND;VERSIE_DATUM;VERSIE_GELDIG;VERSIE_NUMMER
950#w301/303AT-w303BL#16.231236;0;14911;4474d821-0954-d2b3-fd35-f7a3db3ed7fb;23010;37921;w301/303AT-w303BL;301/303A;303B;WISSEL_EW;WISSEL_GW;20220614;C;19
055#w357V-w359V#9.449413;0;6850;b354c9f2-690a-ea40-d8f1-b9b8307bc233;3900;10750;w357V-w359V;357;359;WISSEL_GW;WISSEL_GW;20220614;C;19
586#w319B/323AT-w333AV#81.389512;0;20765;0a812f94-933e-154e-9fce-3f7e7cccb1f9;20589;41354;w319B/323AT-w333AV;319B/323A;333A;WISSEL_EW;WISSEL_GW;20220614;C;19
532#w1061AR-w1063R#12.009289;0;181413;3169788e-48a8-d780-187f-4a06b1a95c79;125998;307411;w1061AR-w1063R;1061A;1063;WISSEL_GW;WISSEL_GW;20220614;C;19
517#w165V-w177R#0.189443;0;28708;eb7e50b7-0a33-51de-5100-b23e2bcf9820;3900;32608;w165V-w177R;165;177;WISSEL_GW;WISSEL_GW;20220614;C;19
545#38a#23.085314;0;623443;a4a51c60-986f-277d-269d-576a7d172653;34065;657508;38a;963;972;WISSEL_GW;WISSEL_GW;20220614;C;19
042#w435L-sEO#3.026538;0;153302;9deefe5f-b21c-035c-8fdf-9dedcaf56a03;61156;214458;w435L-sEO;435;436;WISSEL_GW;Lichtsein;20220614;C;19
042#EO#12.096952;0;18003301;9deefe5f-b21c-035c-8fdf-9dedcaf56a03;214458;18217759;EO;436;322;Lichtsein;Lichtsein;20220614;C;19
545#w926V-w932R#22.143075;0;4011;d0d01326-0659-f475-28e7-86e09c08c382;4500;8511;w926V-w932R;926;932;WISSEL_GW;WISSEL_GW;20220614;C;19
528#w43B/47P-w59AV#28.817605;0;24314;7d2d2d32-2411-8a3a-cd93-7f9015427f07;25989;50303;w43B/47P-w59AV;43B/47;59A;WISSEL_EW;WISSEL_GW;20220614;C;19
097#w3611L-w3613L#21.778080;0;8006;151fc6f7-a58e-4e87-e81a-4f4b38b9cb44;38920;46926;w3611L-w3613L;3611;3613;WISSEL_GW;WISSEL_GW;20220614;C;19
