GEOCODE;GEOSUBCODE;GEOCODE_NR;NAAM;VERKORTING;VERSIE_DATUM;VERSIE_GELDIG;VERSIE_NUMMER
470;470_h;470;Botlek;Bot;20221206;C;20
470;470_g;470;Botlek;Bot;20221206;C;20
470;470_l;470;Botlek;Bot;20221206;C;20
470;470_k;470;Botlek;Bot;20221206;C;20
470;470_c;470;Botlek;Bot;20221206;C;20
470;470_a;470;Botlek;Bot;20221206;C;20
950;950_a;950;Barendrecht Vork - Rotterdam Maasvlakte;Brdv-Mvt;20221206;C;20
950;950_d;950;Barendrecht Vork - Rotterdam Maasvlakte;Brdv-Mvt;20221206;C;20
470;470_n;470;Botlek;Bot;20221206;C;20
470;470_e;470;Botlek;Bot;20221206;C;20
470;470_m;470;Botlek;Bot;20221206;C;20
470;470_j;470;Botlek;Bot;20221206;C;20
470;470_i;470;Botlek;Bot;20221206;C;20
470;470_b;470;Botlek;Bot;20221206;C;20
950;950_e;950;Barendrecht Vork - Rotterdam Maasvlakte;Brdv-Mvt;20221206;C;20
469;469_e;469;Pernis;Ps;20221206;C;20
469;469_a;469;Pernis;Ps;20221206;C;20
469;469_f;469;Pernis;Ps;20221206;C;20
469;469_b;469;Pernis;Ps;20221206;C;20
469;469_d;469;Pernis;Ps;20221206;C;20
952;952__;952;Botlektunnel;Bott;20221206;C;20
469;469_g;469;Pernis;Ps;20221206;C;20
476;476_c;476;Rotterdam Europoort 2;Re2;20221206;C;20
476;476_b;476;Rotterdam Europoort 2;Re2;20221206;C;20
476;476_a;476;Rotterdam Europoort 2;Re2;20221206;C;20
602;602_b;602;Herfte Aansl.;Hea;20221206;C;20
204;204__;204;Herfte Aansl. - Mariënberg;Hea-Mrb;20221206;C;20
602;602_a;602;Herfte Aansl.;Hea;20221206;C;20
013;013__;13;Herfte Aansl. - Meppel;Hea-Mp;20221206;C;20
014;014__;14;Zwolle - Herfte Aansl.;Zl-Hea;20221206;C;20
603;603_f;603;Zwolle;Zl;20221206;C;20
603;603_c;603;Zwolle;Zl;20221206;C;20
603;603_e;603;Zwolle;Zl;20221206;C;20
603;603_d;603;Zwolle;Zl;20221206;C;20
603;603_b;603;Zwolle;Zl;20221206;C;20
603;603_a;603;Zwolle;Zl;20221206;C;20
018;018__;18;Deventer - Zwolle;Dv-Zl;20221206;C;20
206;206__;206;Zwolle - Wierden;Zl-Wdn;20221206;C;20
604;604_b;604;Hattemerbroek;Htba;20221206;C;20
604;604_a;604;Hattemerbroek;Htba;20221206;C;20
926;926__;926;Zwolle Rangeerterrein;Zlr;20221206;C;20
055;055__;55;Blerick - Eindhoven;Br-Ehv;20221206;C;20
855;855__;855;Venlo Tradeport;Vltp;20221206;C;20
516;516_b;516;Blerick;Br;20221206;C;20
052;052__;52;Beugen - Blerick;Bug-Br;20221206;C;20
516;516_a;516;Blerick;Br;20221206;C;20
520;520_b;520;Maastricht;Mt;20221206;C;20
520;520_c;520;Maastricht;Mt;20221206;C;20
520;520_a;520;Maastricht;Mt;20221206;C;20
072;072_a;72;Maastricht - Maastricht Grens;Mt-Mtg;20221206;C;20
