NAAM;PUIC;GEOCODE_BEGIN;SUBCODE_BEGIN;NAAM_GEOCODE_BEGIN;GEOCODE_KM_VAN;NR_BEGIN;PUIC_BEGIN;OBJECTTYPE_BEGIN;KANTCODE_BEGIN;GEOCODE_EIND;SUBCODE_EIND;NAAM_GEOCODE_EIND;GEOCODE_KM_TOT;NR_EIND;PUIC_EIND;OBJECTTYPE_EIND;KANTCODE_EIND;LRS_VAN;LRS_TOT;LENGTE_GEOM;VERSIE_DATUM;VERSIE_GELDIG;VERSIE_NUMMER
13AR;04634edf-fc86-4928-92e8-eef6b2df0b2c;504;b;Heerlen;17.089646;13A;821b0333-666a-4fff-9b96-1b445934993b;WISSEL_GW;R;504;b;Heerlen;17.097428;15/17A;d8f3e907-ef9f-4e03-bed5-79a53d5d6d66;WISSEL_HEW;S;47015;54845;7830;20221206;C;20
13BR;2c0b25a2-8192-4047-aecb-8543480c8382;504;b;Heerlen;17.083066;13B;77f40bb4-de05-4436-a9d1-518373b3530b;WISSEL_GW;R;553;c;Sittard;21.134045;207;be111f7d-ac2e-4a2f-be4f-66eefb414e29;WISSEL_GW;V;47016;16454994;16407979;20221206;C;20
1259AT;057bd437-e556-4306-97b4-3ae005cf29e7;817;e;Vlissingen Sloehaven;200.195762;1257/1259A;b313ac62-6035-4e87-980c-e03b347f5c54;WISSEL_EW;T;817;e;Vlissingen Sloehaven;200.196002;1261;32a7a3f5-6139-4853-9d6d-5e277ec2c2f6;WISSEL_GW;V;25990;26228;238;20221206;C;20
961R;26240738-f46e-4427-89f9-d5c50602b0a1;817;e;Vlissingen Sloehaven;200.196046;961;3f51e31a-649b-42f0-8ceb-20cadfe73af1;WISSEL_GW;R;817;e;Vlissingen Sloehaven;200.131584;ES_961R;e02c5ad4-fcde-45f1-8b1d-442ce63c4b78;EINDESPOOR;;36492;100544;64052;20221206;C;20
1239R;7ddfbd6e-7772-4604-9e21-22ab3368272e;817;e;Vlissingen Sloehaven;200.16345;1239;444cb5ee-8111-48fe-a3fd-b908b6566b64;WISSEL_GW;R;817;e;Vlissingen Sloehaven;200.173601;ES_1239R;487833b8-6b2a-437a-bb47-8e9e9fcc730d;EINDESPOOR;;36491;49028;12537;20221206;C;20
929L;9f1e0c69-5fa5-4d7b-b228-0e80caa0cd5f;545;b;Roosendaal;22.19437;929;01324321-1fdc-4d3d-8f68-c2e2bd6b2e6a;WISSEL_GW;L;545;b;Roosendaal;21.941494;931;665352b2-0c5d-4091-b004-8e4a8151811e;WISSEL_GW;L;34065;274671;240607;20221206;C;20
930V;2ae07717-ff9f-4f1b-ae74-3805287a4579;545;b;Roosendaal;22.190906;930;4045e7d6-734d-4070-a1a6-cd4c4608bb8c;WISSEL_GW;V;545;b;Roosendaal;21.941925;931;665352b2-0c5d-4091-b004-8e4a8151811e;WISSEL_GW;R;4750;239801;235051;20221206;C;20
19L;69c2efdc-4821-47f9-a2f5-2d1b4b35d18e;927;;Watergraafsmeer;904.455;19;0c79195d-1b85-48f7-8e0c-e71de5328a21;WISSEL_GW;L;927;;Watergraafsmeer;904.456479;21;20a73f2e-1ae3-4abe-b261-1b7ef757fcc0;WISSEL_GW;V;34065;36263;2197;20221206;C;20
21R;5ebf2ffa-d308-4c14-9806-3d33bb527ddc;927;;Watergraafsmeer;904.487029;21;20a73f2e-1ae3-4abe-b261-1b7ef757fcc0;WISSEL_GW;R;927;;Watergraafsmeer;904.488797;27;647cea15-1df5-496f-a0b4-1cdda0985bc3;WISSEL_GW;V;34088;36332;2244;20221206;C;20
3207L;e6139336-aadc-4994-bc6a-4f77c81cc258;589;b;Duivendrecht;5.032898;3207;27f3af85-337a-4e7e-9315-5705f6ff3251;WISSEL_GW;L;080;;Amsterdam Bijlmer - Nieuwersluis=Loenen;6.222059;3253;31a4efa4-678b-4450-882f-f3d4a0d36e37;WISSEL_GW;R;121485;1310080;1188595;20221206;C;20
968R;0b95a18e-5670-46e8-ba31-d9b88e70b77b;525;b;Amsterdam Singelgracht Aansl.;78.455694;968;43564d1c-cd43-431d-ac52-7f01c803817d;WISSEL_GW;R;525;b;Amsterdam Singelgracht Aansl.;78.264247;979;1014d438-9fe2-4dbe-a45a-1d9b2759977c;WISSEL_GW;L;36491;230755;194264;20221206;C;20
1165R;59a59d91-bb1a-48d5-af24-14f541faff9d;091;;Den Dolder - Baarn;6.035975;1165;8a5702bc-d275-43b0-b0d5-ed1d106bd0d9;WISSEL_GW;R;091;;Den Dolder - Baarn;6.357503;1185;8e3f61d2-d141-4c2f-8e87-b1d70993a26e;WISSEL_GW;L;35836;358534;322698;20221206;C;20
86L;c7c2fd5e-c9b8-4bed-a457-9e2d272ad219;486;c;Amsterdam Westhaven (gebied);205.247021;86;720aecd6-8b17-4e53-91b6-81c596079255;WISSEL_GW;L;486;c;Amsterdam Westhaven (gebied);205.242668;103;2af9550c-afca-4c54-8b20-7da66a8c63cc;WISSEL_GW;V;34065;38429;4364;20221206;C;20
413R;429f441f-b3f2-4237-8980-6f598f0e99f6;486;b;Amsterdam Westhaven (gebied);77.550302;413;05873c2a-151c-4ca3-8c3c-5a5abfbf3e62;WISSEL_GW;R;486;b;Amsterdam Westhaven (gebied);77.543588;411B/415A;0a1c1c8b-f1ff-411d-8d9d-41217d5cda55;WISSEL_HEW;P;34065;40837;6772;20221206;C;20
47V;3415c843-8bd6-4ffd-a30a-51cbc342a8bd;519;a;Roermond;46.42402;47;00c8e90c-1810-41af-85d2-514aa180b905;WISSEL_GW;V;519;a;Roermond;46.883225;65;5529cf4b-5802-4138-9cf1-a5be8ce4d3a4;WISSEL_GW;V;4499;458607;454108;20221206;C;20
185BV;7a1c73a8-f035-4def-8c17-c30627e63e9d;527;c;Haarlem;18.061174;185B;6346eb0e-31ec-45e3-809a-89a7d9b30888;WISSEL_GW;V;527;c;Haarlem;18.062632;187A;f152a450-e88f-45dc-aca3-96a5c6da06af;WISSEL_GW;V;3900;5351;1451;20221206;C;20
183V;48b179f5-1eb2-4682-bf3f-916a799c2cfe;527;c;Haarlem;17.991579;183;f3599a57-67e6-4c45-a7c5-741c2c75baf3;WISSEL_GW;V;527;c;Haarlem;17.993786;185A;6fc16d44-2a87-4663-9223-32074f6d8a13;WISSEL_GW;V;3900;6099;2200;20221206;C;20
13R;d11773e1-009a-4522-ad2f-f4822984c67e;851;a;Born Franciscushaven;100.1;13;5261af92-bffb-4283-84dc-6cb5aef3b3f0;WISSEL_GW;R;433;;Sittard - Born;5.801923;36A/36B;8b6fcece-d0f3-4821-be71-32a10973baac;WISSEL_EW;S;34065;425477;391412;20221206;C;20
251AL;564ff3ca-f58f-470f-8895-f8b90b14c6a9;046;;Meteren Aansl. - s Hertogenbosch;41.358068;251A;fee0aa85-6c77-4600-9b2c-0ab350aa0b3c;WISSEL_GW;L;046;;Meteren Aansl. - s Hertogenbosch;41.511924;255B;73eef606-b71f-4a94-b7df-4d46a7ef31f5;WISSEL_GW;R;61143;214698;153554;20221206;C;20
5021R;928db217-7b31-4ac5-be8b-faffc963fff3;523;b;Amsterdam Sloterdijk;178.143452;5021;371f0a18-558d-40d0-a57e-009bead883fb;WISSEL_GW;R;523;b;Amsterdam Sloterdijk;178.043393;5027;9c8a52a6-6f08-4a5a-b73e-1cc613eb5828;WISSEL_GW;L;61224;161101;99877;20221206;C;20
85AP;117fdebd-53d7-48be-9799-78a172572fa8;609;;Zutphen;27.814925;81B/85A;56e0f520-937f-4bc2-b954-89e144fd5e61;WISSEL_EW;P;609;;Zutphen;27.299159;123A/125;7002d54f-1e94-4509-a72c-02af20b3f594;WISSEL_HEW;T;25990;543221;517231;20221206;C;20
1347BV;13284624-25c2-4802-bca0-ba6e1c08dc5a;054;a;Boxtel - Eindhoven;53.313743;1347B;5965cf52-edbc-4eee-ba19-735e97d597ee;WISSEL_GW;V;054;a;Boxtel - Eindhoven;53.325055;1351A;af7b50b7-fdd0-4f02-a361-29c501ab9e8a;WISSEL_GW;V;4499;15913;11414;20221206;C;20
1347AR;254daa0c-c5d5-4988-b966-62297750295d;054;a;Boxtel - Eindhoven;53.248314;1347A;63345a59-2047-495d-a18b-a6e4abb19cb6;WISSEL_GW;R;054;a;Boxtel - Eindhoven;53.250973;1347B;5965cf52-edbc-4eee-ba19-735e97d597ee;WISSEL_GW;R;58137;60784;2647;20221206;C;20
1345BV;d4c57eeb-45cf-49f8-a194-ad914d8247e4;054;a;Boxtel - Eindhoven;53.167245;1345B;4bc77931-055d-4538-b069-27e12c807a47;WISSEL_GW;V;054;a;Boxtel - Eindhoven;53.185464;1347A;63345a59-2047-495d-a18b-a6e4abb19cb6;WISSEL_GW;V;3899;22059;18160;20221206;C;20
201L;980a4ee3-b995-45a8-89ef-aa7d015a5349;553;c;Sittard;21.03992;201;54ab0e2a-d5c8-44ab-b0e7-e29c5cc4f1ab;WISSEL_GW;L;553;c;Sittard;21.205688;215B/217A;b63cb361-cfda-4f90-8892-7f0cb547a9fc;WISSEL_EW;S;56545;221431;164886;20221206;C;20
201R;95582241-90d8-4ea6-a8ba-d06a160e11f2;553;c;Sittard;21.03985;201;54ab0e2a-d5c8-44ab-b0e7-e29c5cc4f1ab;WISSEL_GW;R;553;c;Sittard;21.099989;203;d2d90b3a-ae77-4b78-ba8d-a34d3a2fbb5f;WISSEL_GW;R;56545;116221;59676;20221206;C;20
85R;f51ccb4f-57e1-486d-85e2-44652f8e99f9;519;a;Roermond;47.289428;85;18ae240f-c6aa-49a6-85b6-b24951bac353;WISSEL_GW;R;060;;Roermond - Venlo;50.612443;1405;dd65e1c8-5e41-483f-b372-917805aa9869;WISSEL_GW;V;61145;3390136;3328991;20221206;C;20
231AL;105061a1-e5b0-4ae4-b0e1-98dde14d1776;522;b;Uitgeest;58.29249;231A;eb0ceb89-1af6-4f1d-aade-54a732cd10ba;WISSEL_GW;L;078;;Uitgeest - Zaandam;58.400284;233B;e29ed879-769e-4e42-9b25-f3931db24cb2;WISSEL_GW;R;58132;167053;108921;20221206;C;20
173AL;23459e8c-ec5c-4c25-9f9d-7e0e2d3c037b;522;b;Uitgeest;57.721078;173A;94f9bbe3-17f9-4170-8c4a-b7a010b78b79;WISSEL_GW;L;522;b;Uitgeest;58.059837;223;ddeb3555-ee57-43f1-aede-91af734a1796;WISSEL_GW;R;28514;367925;339411;20221206;C;20
902R;c58479f2-3271-4371-b19c-ea56e6026113;522;b;Uitgeest;57.517252;902;b75732c2-9f40-42ed-a4cf-f2b18932fe41;WISSEL_GW;R;522;b;Uitgeest;57.655656;ES_902R;706cec9b-e131-46ac-8e82-1944a55822bb;EINDESPOOR;;34065;174225;140160;20221206;C;20
101BL;69920f37-b0e3-416d-903a-211a60822ae2;063;;Maastricht - Sittard;19.207349;101B;45c4646b-db51-4577-a1ae-92fa1c65c929;WISSEL_GW;L;063;;Maastricht - Sittard;2.717695;263;06c669b3-17e2-4b45-a369-5e2c5effb89a;WISSEL_GW;R;36469;16537583;16501114;20221206;C;20
