NAAM;PUIC;GEOCODE_BEGIN;SUBCODE_BEGIN;NAAM_GEOCODE_BEGIN;GEOCODE_KM_VAN;NR_BEGIN;PUIC_BEGIN;OBJECTTYPE_BEGIN;KANTCODE_BEGIN;GEOCODE_EIND;SUBCODE_EIND;NAAM_GEOCODE_EIND;GEOCODE_KM_TOT;NR_EIND;PUIC_EIND;OBJECTTYPE_EIND;KANTCODE_EIND;LRS_VAN;LRS_TOT;LENGTE_GEOM;VERSIE_DATUM;VERSIE_GELDIG;VERSIE_NUMMER
1007R;894b4979-7161-425b-bf2b-b8dbb749190c;093;;Blauwkapel - Den Dolder;5.721636;1007;b458740f-e66c-4cb5-8372-fdbb495ff1e9;WISSEL_GW;R;094;;Utrecht Centraal - Blauwkapel;3.468891;1065;67e20434-497d-405e-a75f-d310cddb649c;WISSEL_GW;V;58132;2311134;2253002;20221206;C;20
23V;28db913c-ce01-472d-876e-b7bfda300037;211;;Barneveld Noord - Ede=Wageningen;22.014336;23;081dc011-abc4-4db6-86a1-2aa292d96fe1;WISSEL_GW;V;613;;Ede=Wageningen;75.802835;187;92eca992-8408-4264-b3b4-e9c8152b1392;WISSEL_GW;R;3900;8033976;8030076;20221206;C;20
325AT;0a231d7a-2a16-47df-8599-f5a5003b7b10;012;;Meppel - Assen;20.12809;323/325A;201e760b-cf1f-4298-8875-dd49f8db0276;WISSEL_EW;T;012;;Meppel - Assen;24.122642;341A;17be3ca0-dca2-4b58-bc6b-b5ac71329cbf;WISSEL_GW;V;25990;4030280;4004290;20221206;C;20
375BV;9a2d30a3-cde2-400b-a821-d3f122ce358d;012;;Meppel - Assen;34.166913;375B;708eab63-18d9-4a8f-aec8-c94ca876de4c;WISSEL_GW;V;654;;Assen;48.52932;391;372e8e68-73e8-45bb-a4ad-0c6e44297a05;WISSEL_GW;V;4500;14409964;14405465;20221206;C;20
325BV;123085e2-8f46-4613-aaae-7d08a128ad7e;012;;Meppel - Assen;20.178712;325B;fb4af681-1e90-480b-8982-8fafed8a2ba2;WISSEL_GW;V;012;;Meppel - Assen;24.147296;341B;4e7db029-6440-4601-9b59-2c445d65115e;WISSEL_GW;L;4500;3985110;3980610;20221206;C;20
375AR;2d3f0b8c-3cf4-454a-b180-d35cf993e2f1;012;;Meppel - Assen;34.135503;375A;d97b02ac-3d4c-4959-97b8-fb9bab03bf66;WISSEL_GW;R;654;;Assen;48.578148;393;e9f78437-943b-4c5a-a953-1286b543e0d8;WISSEL_GW;L;34066;14519765;14485699;20221206;C;20
341AL;72af8692-f54d-4174-9fe7-63f4fc1a2871;012;;Meppel - Assen;24.163257;341A;17be3ca0-dca2-4b58-bc6b-b5ac71329cbf;WISSEL_GW;L;012;;Meppel - Assen;33.306357;361A;c88053bc-0e44-4730-81fd-131aa8f19373;WISSEL_GW;V;36470;9199747;9163277;20221206;C;20
343AL;e308c9bf-19f8-4dee-878a-df345a99d232;012;;Meppel - Assen;24.239375;343A;b55547b6-fb37-4cf2-b484-902067bce0bc;WISSEL_GW;L;012;;Meppel - Assen;33.335599;361B;aa901165-0b6b-4e5f-b9c7-8890225767c6;WISSEL_GW;L;36471;9152811;9116341;20221206;C;20
331R;ecdf69b6-e51d-41cd-9741-2962d0c7d676;055;;Blerick - Eindhoven;7.10042;331;d04947b0-014b-4e98-b525-17c5dd1aefc9;WISSEL_GW;R;055;;Blerick - Eindhoven;9.736014;373;ea3249d5-e1e2-4ceb-a01b-76c152ac20a9;WISSEL_GW;L;72990;2711631;2638641;20221206;C;20
373V;6c41be95-45f6-4fd3-bb0e-84ccbb87adf6;055;;Blerick - Eindhoven;9.820815;373;ea3249d5-e1e2-4ceb-a01b-76c152ac20a9;WISSEL_GW;V;055;;Blerick - Eindhoven;19.564575;399A;7962e462-8031-4864-940d-f6812dd2c6a9;WISSEL_GW;V;12100;9766895;9754795;20221206;C;20
371L;685a4c63-1a63-481a-be5c-c2c011f1e3e0;055;;Blerick - Eindhoven;9.762355;371;990c9f62-4081-4c60-be61-e112d3686a91;WISSEL_GW;L;055;;Blerick - Eindhoven;19.609371;399B;fe72b39a-831e-4f79-a82f-515f4370568a;WISSEL_GW;R;72989;9929102;9856112;20221206;C;20
905R;fded6324-e771-4118-a841-3e38c2a714ea;135;;Weesp Aansl. - Lelystad Industrieterrein;45.101322;905;24d27dc4-ba5d-4c77-8458-a4fd25808aca;WISSEL_GW;R;135;;Weesp Aansl. - Lelystad Industrieterrein;45.664221;912;a507ec5d-e32f-48e5-91a4-9608d907588b;WISSEL_GW;L;34065;602423;568358;20221206;C;20
902V;ed5285fc-3eaa-4470-a2d2-592a0ad60d57;135;;Weesp Aansl. - Lelystad Industrieterrein;44.971458;902;52f59412-c7d4-48b8-970f-4e45ae70d775;WISSEL_GW;V;135;;Weesp Aansl. - Lelystad Industrieterrein;44.577299;2087;808e7565-89cd-461c-a2aa-b97a32ff533b;WISSEL_GW;V;3900;399492;395592;20221206;C;20
916AS;7076d9c9-e403-4c34-a6db-b83fc03e86e6;135;;Weesp Aansl. - Lelystad Industrieterrein;45.808865;916A/916B;0b1d6d61-8954-4e5e-b3a2-779b8ffa2c9c;WISSEL_EW;S;135;;Weesp Aansl. - Lelystad Industrieterrein;46.231887;919;b2cbd11d-e1a2-4475-99ba-de7999d7a336;WISSEL_GW;L;23011;446494;423483;20221206;C;20
913V;64d56ddf-ca63-4658-bd6a-7c362d321ec1;135;;Weesp Aansl. - Lelystad Industrieterrein;45.707863;913;f062251f-50a6-40df-acb4-9ae8ed786438;WISSEL_GW;V;135;;Weesp Aansl. - Lelystad Industrieterrein;45.709645;915A/915B;8b1c7db3-b474-4304-84bd-6589ac6aa96b;WISSEL_EW;T;4500;6298;1798;20221206;C;20
910R;0adc05b5-9762-46b8-92d9-fbf084f3457a;135;;Weesp Aansl. - Lelystad Industrieterrein;45.148127;910;8c0f4540-3ecb-4fcf-99b6-0cb89d93dd6a;WISSEL_GW;R;135;;Weesp Aansl. - Lelystad Industrieterrein;45.709606;914A/914B;2d999f1f-35ce-4ef0-8e3c-513ac8887fc2;WISSEL_EW;T;34088;589359;555271;20221206;C;20
910L;906942fe-8a4d-44ac-8b9e-ac9fc6634f59;135;;Weesp Aansl. - Lelystad Industrieterrein;45.148218;910;8c0f4540-3ecb-4fcf-99b6-0cb89d93dd6a;WISSEL_GW;L;135;;Weesp Aansl. - Lelystad Industrieterrein;45.709478;914A/914B;2d999f1f-35ce-4ef0-8e3c-513ac8887fc2;WISSEL_EW;P;34066;590726;556660;20221206;C;20
903V;2369b475-4ede-46a7-85a8-c4d6edef197c;135;;Weesp Aansl. - Lelystad Industrieterrein;45.050574;903;dc36e45b-34d6-4c22-9290-bb97e55a74c9;WISSEL_GW;V;135;;Weesp Aansl. - Lelystad Industrieterrein;45.058409;908;b3fb2e0f-c8c3-4eb0-95d9-19e2120666a4;WISSEL_GW;V;3900;11797;7897;20221206;C;20
906R;8491366e-a802-4157-923a-5de4b3af3ed6;135;;Weesp Aansl. - Lelystad Industrieterrein;45.140858;906;db880b32-5e83-4910-8c0b-f52485891dc2;WISSEL_GW;R;135;;Weesp Aansl. - Lelystad Industrieterrein;45.623366;911;54dcddbe-be88-44d4-a032-baf70c886107;WISSEL_GW;L;36516;527657;491140;20221206;C;20
906L;5e3a6976-9e29-4366-a1ae-4ae5476bac71;135;;Weesp Aansl. - Lelystad Industrieterrein;45.140472;906;db880b32-5e83-4910-8c0b-f52485891dc2;WISSEL_GW;L;135;;Weesp Aansl. - Lelystad Industrieterrein;45.198187;907;efb29a22-3bf1-443b-bbb5-c1add24b519a;WISSEL_GW;V;36476;97015;60540;20221206;C;20
904AS;ca1aeb5e-c8f9-4f35-8027-09186f71c35f;135;;Weesp Aansl. - Lelystad Industrieterrein;45.062267;904A/904B;861d0351-ff9e-449c-8605-365c4de5202b;WISSEL_EW;S;135;;Weesp Aansl. - Lelystad Industrieterrein;45.097852;909A/909B;120cf7ef-e814-4b90-b90c-371e6dc1ea87;WISSEL_EW;P;25990;61838;35848;20221206;C;20
912V;914ad22a-3a88-4729-b34d-166bbaba3804;135;;Weesp Aansl. - Lelystad Industrieterrein;45.705529;912;a507ec5d-e32f-48e5-91a4-9608d907588b;WISSEL_GW;V;135;;Weesp Aansl. - Lelystad Industrieterrein;45.709795;915A/915B;8b1c7db3-b474-4304-84bd-6589ac6aa96b;WISSEL_EW;P;3894;8220;4325;20221206;C;20
917AQ;2fbb1132-cb86-4b8a-9b0b-404d6ecaaf3d;135;;Weesp Aansl. - Lelystad Industrieterrein;45.808457;917A/917B;79e3f6f9-6640-40de-9886-01b78a0d6c29;WISSEL_EW;Q;135;;Weesp Aansl. - Lelystad Industrieterrein;46.290987;ES_917AQ;601f22cb-f7f7-4dbf-bc67-cc2db2fe70ee;EINDESPOOR;;23010;506884;483874;20221206;C;20
915AQ;4d8a389d-9824-4dc0-9c54-8af7755f824b;135;;Weesp Aansl. - Lelystad Industrieterrein;45.755234;915A/915B;8b1c7db3-b474-4304-84bd-6589ac6aa96b;WISSEL_EW;Q;135;;Weesp Aansl. - Lelystad Industrieterrein;45.763149;917A/917B;79e3f6f9-6640-40de-9886-01b78a0d6c29;WISSEL_EW;P;23010;30999;7989;20221206;C;20
919V;bcabfa65-218a-475a-857e-194767871d47;135;;Weesp Aansl. - Lelystad Industrieterrein;46.270407;919;b2cbd11d-e1a2-4475-99ba-de7999d7a336;WISSEL_GW;V;135;;Weesp Aansl. - Lelystad Industrieterrein;46.696065;ES_919V;31e424e0-1161-4e71-a439-c7f2141eb2a9;EINDESPOOR;;4500;429629;425129;20221206;C;20
917AS;bda837f8-9952-4bea-9046-3e9b8728d144;135;;Weesp Aansl. - Lelystad Industrieterrein;45.808698;917A/917B;79e3f6f9-6640-40de-9886-01b78a0d6c29;WISSEL_EW;S;135;;Weesp Aansl. - Lelystad Industrieterrein;46.291212;ES_917AS;019de233-6713-4dbf-939d-6bb62c14deb1;EINDESPOOR;;23010;506507;483497;20221206;C;20
916AQ;f345f141-2d69-4f8a-b0bc-45a0f0352f93;135;;Weesp Aansl. - Lelystad Industrieterrein;45.80891;916A/916B;0b1d6d61-8954-4e5e-b3a2-779b8ffa2c9c;WISSEL_EW;Q;135;;Weesp Aansl. - Lelystad Industrieterrein;46.232014;919;b2cbd11d-e1a2-4475-99ba-de7999d7a336;WISSEL_GW;R;23010;446749;423739;20221206;C;20
911V;170ce646-e6ab-484b-abac-ae0cb65b3f47;135;;Weesp Aansl. - Lelystad Industrieterrein;45.664013;911;54dcddbe-be88-44d4-a032-baf70c886107;WISSEL_GW;V;135;;Weesp Aansl. - Lelystad Industrieterrein;45.664405;912;a507ec5d-e32f-48e5-91a4-9608d907588b;WISSEL_GW;R;3900;4292;392;20221206;C;20
904AQ;ed175784-aaa8-4008-a669-ac4178965842;135;;Weesp Aansl. - Lelystad Industrieterrein;45.0623;904A/904B;861d0351-ff9e-449c-8605-365c4de5202b;WISSEL_EW;Q;135;;Weesp Aansl. - Lelystad Industrieterrein;45.063121;905;24d27dc4-ba5d-4c77-8458-a4fd25808aca;WISSEL_GW;V;25990;26816;826;20221206;C;20
909AQ;154f2a38-992f-4a0d-b28b-1fed708b1546;135;;Weesp Aansl. - Lelystad Industrieterrein;45.148879;909A/909B;120cf7ef-e814-4b90-b90c-371e6dc1ea87;WISSEL_EW;Q;135;;Weesp Aansl. - Lelystad Industrieterrein;45.668736;913;f062251f-50a6-40df-acb4-9ae8ed786438;WISSEL_GW;R;25991;546951;520960;20221206;C;20
914AS;3d420a21-948f-4857-834a-581b4504e900;135;;Weesp Aansl. - Lelystad Industrieterrein;45.755068;914A/914B;2d999f1f-35ce-4ef0-8e3c-513ac8887fc2;WISSEL_EW;S;135;;Weesp Aansl. - Lelystad Industrieterrein;45.763112;916A/916B;0b1d6d61-8954-4e5e-b3a2-779b8ffa2c9c;WISSEL_EW;T;23010;31131;8121;20221206;C;20
907L;f0250559-7da1-44e8-8467-b25814caa897;135;;Weesp Aansl. - Lelystad Industrieterrein;45.237;907;efb29a22-3bf1-443b-bbb5-c1add24b519a;WISSEL_GW;L;135;;Weesp Aansl. - Lelystad Industrieterrein;45.519515;SJ_907L;178c41ad-3701-40e7-aec2-93a4e31fc2c1;STOOTJUK;;36470;325560;289091;20221206;C;20
908R;fb0d46db-6659-48d3-9af1-424bee14426d;135;;Weesp Aansl. - Lelystad Industrieterrein;45.098484;908;b3fb2e0f-c8c3-4eb0-95d9-19e2120666a4;WISSEL_GW;R;135;;Weesp Aansl. - Lelystad Industrieterrein;45.110001;910;8c0f4540-3ecb-4fcf-99b6-0cb89d93dd6a;WISSEL_GW;V;36470;48044;11574;20221206;C;20
907R;6f098d55-4aee-48cd-813a-4d1e34199b2d;135;;Weesp Aansl. - Lelystad Industrieterrein;45.237;907;efb29a22-3bf1-443b-bbb5-c1add24b519a;WISSEL_GW;R;135;;Weesp Aansl. - Lelystad Industrieterrein;45.6236;911;54dcddbe-be88-44d4-a032-baf70c886107;WISSEL_GW;R;36520;430476;393957;20221206;C;20
901V;ae1aec20-1d04-4195-b8ed-3d0d27425e23;135;;Weesp Aansl. - Lelystad Industrieterrein;44.971105;901;79fcf13e-bd24-4781-bded-be8307436116;WISSEL_GW;V;135;;Weesp Aansl. - Lelystad Industrieterrein;44.548192;2085;6a795e5c-c408-43f5-aec2-26265a2bc865;WISSEL_GW;R;3899;427064;423165;20221206;C;20
909AS;d5e1748d-f595-42a2-ba34-11be5b3223e8;135;;Weesp Aansl. - Lelystad Industrieterrein;45.149044;909A/909B;120cf7ef-e814-4b90-b90c-371e6dc1ea87;WISSEL_EW;S;135;;Weesp Aansl. - Lelystad Industrieterrein;45.668904;913;f062251f-50a6-40df-acb4-9ae8ed786438;WISSEL_GW;L;25990;544511;518521;20221206;C;20
905L;7e0a2cb2-7f4c-4ff5-833f-ec27ee2b6d97;135;;Weesp Aansl. - Lelystad Industrieterrein;45.101056;905;24d27dc4-ba5d-4c77-8458-a4fd25808aca;WISSEL_GW;L;135;;Weesp Aansl. - Lelystad Industrieterrein;45.101715;906;db880b32-5e83-4910-8c0b-f52485891dc2;WISSEL_GW;V;34102;34785;683;20221206;C;20
105V;a5232bb6-bb3b-4f6d-88f9-59e8f8b704b8;118;;Geldermalsen - Dordrecht;50.819048;105;cbea79a7-4792-424a-b735-a1b5704dc8c7;WISSEL_GW;V;513;a;Geldermalsen;25.5;543;12413f2d-8b9d-4621-9970-b42ca65eef54;WISSEL_GW;V;3900;5834477;5830577;20221206;C;20
53R;31b2fee5-0b08-4e32-9851-d50410394a08;118;;Geldermalsen - Dordrecht;70.848801;53;e886bce5-f756-46a8-8a84-9e1e0a899c8f;WISSEL_GW;R;118;;Geldermalsen - Dordrecht;70.079219;65;0e73a11f-919f-41e6-b46d-d54c76e493d6;WISSEL_GW;L;61144;837340;776196;20221206;C;20
3V;389eb2a5-314f-4721-a4a9-af9c13f95ff9;118;;Geldermalsen - Dordrecht;89.102663;3;5c72e5e2-305f-44e3-bed4-f99845d89e2e;WISSEL_GW;V;118;;Geldermalsen - Dordrecht;90.585113;1093;63da0c4d-4518-4176-b76f-95463cd1bb80;WISSEL_GW;V;4500;1486728;1482228;20221206;C;20
65V;a1834bc9-a734-45d0-b300-a35e8f65b012;118;;Geldermalsen - Dordrecht;70.014342;65;0e73a11f-919f-41e6-b46d-d54c76e493d6;WISSEL_GW;V;118;;Geldermalsen - Dordrecht;58.707645;73;2ecd277b-f34a-449f-b437-d05866d55fef;WISSEL_GW;V;3899;11347997;11344098;20221206;C;20
3R;3dc5968d-1a63-4d25-8717-bfd40046aa14;118;;Geldermalsen - Dordrecht;89.064068;3;5c72e5e2-305f-44e3-bed4-f99845d89e2e;WISSEL_GW;R;118;;Geldermalsen - Dordrecht;84.499314;13;53065b8c-aade-4293-b43d-41a036fe8bfa;WISSEL_GW;V;34064;4601721;4567656;20221206;C;20
45V;567f0c2a-297d-46f3-a87f-4a41ea2a23ce;118;;Geldermalsen - Dordrecht;79.530229;45;5d45f621-efb5-4d65-be15-15dccfe3b665;WISSEL_GW;V;118;;Geldermalsen - Dordrecht;77.111463;123;a9e59edc-6d04-4d7f-87f5-a63a286845a0;WISSEL_GW;V;3900;2425189;2421289;20221206;C;20
53L;383aeefa-0dbe-421a-87b5-afb3c47a2189;118;;Geldermalsen - Dordrecht;70.848782;53;e886bce5-f756-46a8-8a84-9e1e0a899c8f;WISSEL_GW;L;118;;Geldermalsen - Dordrecht;70.079218;65;0e73a11f-919f-41e6-b46d-d54c76e493d6;WISSEL_GW;R;61155;831979;770824;20221206;C;20
3L;1bca51b5-819f-4366-8823-43cf0cec3ea7;118;;Geldermalsen - Dordrecht;89.064171;3;5c72e5e2-305f-44e3-bed4-f99845d89e2e;WISSEL_GW;L;810;a;Dordrecht Industrieterrein Aansl. De Staart;1.2324;7001A/7001B;29a9f3b3-16bb-4ac0-ac89-ed7e8214ad02;WISSEL_EW;P;34088;1241205;1207116;20221206;C;20
654R;7fa67c21-f115-4e17-9fc6-5b6bb036ad7c;950;a;Barendrecht Vork - Rotterdam Maasvlakte;7.161444;654;a4f4fb4e-c087-4c09-b2e7-b32c74947217;WISSEL_GW;R;950;a;Barendrecht Vork - Rotterdam Maasvlakte;7.059832;647;f172045c-00ff-4cd2-bbda-bac2cca81696;WISSEL_GW;V;34088;137817;103730;20221206;C;20
920L;6b3ea5d6-d88d-4dbc-b8c0-6f62fc0d5e17;950;a;Barendrecht Vork - Rotterdam Maasvlakte;6.577802;920;ebd902c6-2704-4ccc-b795-0afb801901a8;WISSEL_GW;L;950;a;Barendrecht Vork - Rotterdam Maasvlakte;6.584138;921;06614def-d887-4588-8d5b-5dc7e74540c8;WISSEL_GW;V;36470;42834;6364;20221206;C;20
652L;8b8161d8-580c-4a16-ac85-72867917f797;950;a;Barendrecht Vork - Rotterdam Maasvlakte;7.079712;653;db8f0da0-93ec-4c52-a9fe-a08b301334b5;WISSEL_GW;L;950;a;Barendrecht Vork - Rotterdam Maasvlakte;6.679451;928;bb65e8db-dd33-4499-ad8c-662143497545;WISSEL_GW;R;36470;428075;391605;20221206;C;20
652L;7a84776b-0a4a-4a29-9898-75544a311472;950;a;Barendrecht Vork - Rotterdam Maasvlakte;7.039346;652;e5eb673c-9fcc-4264-bd2f-ce333868564c;WISSEL_GW;L;950;a;Barendrecht Vork - Rotterdam Maasvlakte;6.67934;928;bb65e8db-dd33-4499-ad8c-662143497545;WISSEL_GW;L;36442;389051;352609;20221206;C;20
650L;36c62faa-667a-49e4-81a3-ea427e652fd9;950;a;Barendrecht Vork - Rotterdam Maasvlakte;7.062261;650;0cfba0db-985b-4420-9ef0-9fbe953adca3;WISSEL_GW;L;950;a;Barendrecht Vork - Rotterdam Maasvlakte;6.627117;921;06614def-d887-4588-8d5b-5dc7e74540c8;WISSEL_GW;L;34088;473505;439416;20221206;C;20
610AS;0c4b8f4b-496c-4144-800c-7656fb2dcb13;950;a;Barendrecht Vork - Rotterdam Maasvlakte;6.484962;610A/610B;d8b3ce82-92f5-40c1-b839-4b95f4ada1bf;WISSEL_EW;S;950;a;Barendrecht Vork - Rotterdam Maasvlakte;6.57729;926;1bb933c6-9ec7-4978-bc89-c86b6dc27263;WISSEL_GW;V;23010;102628;79619;20221206;C;20
62V;842696a7-30a1-441b-8007-fb4c0e91a540;817;j;Vlissingen Sloehaven;502.469943;62;57fdb8a5-700a-4a72-bae4-d8a93738603f;WISSEL_GW;V;817;j;Vlissingen Sloehaven;502.5;ES_62V;c5082e9f-da8c-4e08-9b8a-a5d81f3106cb;EINDESPOOR;;4500;38265;33766;20221206;C;20
23L;0404e5a4-1fc1-4323-808d-7825b794894f;823;a;Oosterhout Weststad;6.353991;23;02518ff0-6cc1-48ab-8b67-11e38a977cae;WISSEL_GW;L;823;a;Oosterhout Weststad;7.005845;ES_23L;afe3f5c9-38bb-46b0-b555-aeb3c00fe3ff;EINDESPOOR;;34113;686602;652489;20221206;C;20
61AS;00bd1aa0-328e-47cc-a397-fe148ec3ed5b;011;;Assen - Haren;68.978886;61A/61B;67416f90-f175-4c62-8942-dc55a37c12bb;WISSEL_EW;S;011;;Assen - Haren;69.284722;329;56b914ed-1ef1-44dd-be94-a3a3c49a9d34;WISSEL_GW;R;23011;328312;305302;20221206;C;20
59L;6d40a357-d82e-432f-912d-74bd92f1b769;517;b;Venlo;69.198954;59;d23a9ea1-de4d-4cf6-bfc8-f80fab71e4cf;WISSEL_GW;L;517;a;Venlo;0.021609;183/199A;58f02946-7cce-4084-9714-8f346d91a866;WISSEL_EW;S;34088;795150;761063;20221206;C;20
85V;f373f3d8-92ab-4ed7-9130-d7c2ac1cc0c5;468;a;Rotterdam Eemhaven;102.818892;85;ccfad194-8993-42f7-8f51-8e390bb1b647;WISSEL_GW;V;468;a;Rotterdam Eemhaven;103.040413;X0251;894604c9-789f-450a-92de-7e559ef8b729;WISSEL_GW;V;4751;219754;215003;20221206;C;20
325R;a952d0a6-8f4d-4c8f-91fa-a1c5290f8756;663;a;Rotterdam Barendrecht;41.086215;325;c8908031-63e9-47ab-b16b-b28e9b191214;WISSEL_GW;R;663;c;Rotterdam Barendrecht;201.158883;3023;52147e0b-350b-4002-a44f-d4ea9790760c;WISSEL_GW;R;58137;1802350;1744212;20221206;C;20
253R;976c52ca-06e2-47df-a484-4bdded08db18;553;c;Sittard;21.480292;253;f04a2367-8a0a-4e7e-a1f8-5f7a7f260a4d;WISSEL_GW;R;553;c;Sittard;22.25992;303;b1c976fd-bc31-4bbb-bb17-524db5df7574;WISSEL_GW;L;34064;799300;765236;20221206;C;20
121P;c46a7593-92b5-473d-9812-3c88d0dc1459;503;c;Deventer;43.081128;119B/121;28949829-3e6b-4d55-84b1-a870bef34fca;WISSEL_EW;P;503;c;Deventer;42.298344;175;ad5c8068-cb5e-4af6-b217-19c3569f10aa;WISSEL_GW;L;25990;813004;787013;20221206;C;20
1035L;b89d4914-ed85-4702-a950-bab18004c5ef;478;a;Rotterdam Europoort 4;0.421537;1035;38e10048-7528-4f2e-8eea-5d871ad7948e;WISSEL_GW;L;478;a;Rotterdam Europoort 4;0.716527;1205;9441d9f3-4b47-4cb3-9f08-a1682c155b87;WISSEL_GW;L;38885;392733;353848;20221206;C;20
507L;ba7cbff5-5a1d-4c56-93f5-ce43c5d675e9;506;b;Amersfoort;43.075801;507;1f0fbbbd-c754-456c-9932-3171148c0973;WISSEL_GW;L;506;b;Amersfoort;43.552951;528;b25ac73b-e027-4471-a98e-72ecab167ff7;WISSEL_GW;L;36493;506259;469766;20221206;C;20
1205BV;bcd72fd4-9d38-44c2-8dc2-1c67721201c7;073;;Den Helder - Heerhugowaard;21.759975;1205B;35e21a1c-d238-4844-bd38-4f4048f937b8;WISSEL_GW;V;073;;Den Helder - Heerhugowaard;21.833232;1207B;e1e53720-17e0-4a38-a85b-28f3759db4bf;WISSEL_GW;L;4500;77282;72782;20221206;C;20
902L;b98a9740-4c4e-45e2-a1c2-75776ea3f223;522;b;Uitgeest;57.517167;902;b75732c2-9f40-42ed-a4cf-f2b18932fe41;WISSEL_GW;L;522;b;Uitgeest;57.626384;ES_902L;b58e73c0-390b-4d9c-ab88-09883870a15f;EINDESPOOR;;34088;146985;112897;20221206;C;20
37BQ;f1cce218-36e5-45eb-8dba-2a95209fa759;608;b;Apeldoorn;88.011651;37B/903;ffa1b3e6-c6d6-4747-ba6f-9701bc7d52d7;WISSEL_EW;Q;608;b;Apeldoorn;87.95436;ES_37BQ;b8291f4f-4703-4752-8687-390cdb6a1df5;EINDESPOOR;;23010;80146;57136;20221206;C;20
87AL;848064e4-5633-4f83-8fc7-fb576611d08d;586;;Amsterdam Centraal;80.490093;87A;638daf08-b30a-4994-8da8-9965b214655e;WISSEL_GW;L;586;;Amsterdam Centraal;80.736119;155A;b277c4d0-eba6-4cd2-9b7e-c5e5d46b83ad;WISSEL_GW;V;34064;280121;246057;20221206;C;20
119R;a7b947d3-3e46-479f-9b86-79268b771e78;528;b;Hilversum;28.757476;119;cd05525d-9242-425b-9095-7a8cacb93ea7;WISSEL_GW;R;088;;Hilversum - Baarn;29.204812;ES_119R;0e989a28-35bb-4874-99b0-c72c3cc98178;EINDESPOOR;;34065;480154;446089;20221206;C;20
185AR;53f0f726-78b2-42a8-a901-9977c7666b1d;527;c;Haarlem;18.034284;185A;6fc16d44-2a87-4663-9223-32074f6d8a13;WISSEL_GW;R;085;;Haarlem - Warmond;19.861477;215B;1ff907a6-5373-43cf-b0f8-d076cedebd50;WISSEL_GW;L;36471;1864543;1828073;20221206;C;20
908L;3b513097-3f96-4db1-94b0-bf80eb003434;606;a;Almelo;0.364491;908;7c765a89-7de4-4fcc-853f-e6685ae37613;WISSEL_GW;L;606;a;Almelo;0.519343;SJ_908L;5bae5c23-0027-4f77-9a69-1adcd65e4f06;STOOTJUK;;34065;191332;157266;20221206;C;20
67R;8538704a-af7f-430e-8e14-0cea148e2af1;520;a;Maastricht;0.254954;67;db673b3d-762d-41b3-85f7-b3c345602533;WISSEL_GW;R;520;a;Maastricht;1.003391;205;2e4f4ecc-bb92-474a-97d6-b5cec40325d1;WISSEL_GW;R;34064;759240;725175;20221206;C;20
957BV;b62eb837-6132-420a-8767-711c24c86d44;145;;Amsterdam Sloterdijk - Amsterdam Riekerpolder;56.596546;957B;f88ac48a-8435-4cab-91aa-80dd72439f91;WISSEL_GW;V;133;a;Amsterdam Riekerpolder - Warmond;8.632491;1017;70d419c1-409d-4640-bc20-5c929315586f;WISSEL_GW;V;3900;2069849;2065949;20221206;C;20
1111L;8ff1cbcc-8def-446a-bf21-dbb72df32496;119;a;Lage Zwaluwe - Dordrecht;28.149465;1111;354e6365-0986-4938-baa0-8c838167389f;WISSEL_GW;L;542;a;Dordrecht;29.098095;1175;22d0443d-1c78-461e-85ff-c193d3b85dcc;WISSEL_GW;V;58138;997925;939787;20221206;C;20
904R;e448c086-c097-4dfa-88bc-4d2f9a4c6a1d;938;;CUP Valburg;3.039982;904;cab0ac2a-f40d-40a2-80d8-6e227fb1114d;WISSEL_GW;R;938;;CUP Valburg;3.184982;905;ffa5c46d-88cb-40a0-a9c7-28edce3b0972;WISSEL_GW;V;36470;180864;144394;20221206;C;20
1351AL;9c077a66-1993-49a8-8d18-f81b49bdc286;116;a;Dordrecht - Rotterdam Barendrecht;32.080891;1351A;403ab8ed-4925-47d7-959f-99d41ba9ef98;WISSEL_GW;L;116;a;Dordrecht - Rotterdam Barendrecht;32.757937;1355B;a4cf539e-49c7-4c1e-9161-0fc09a7af750;WISSEL_GW;R;58127;734759;676632;20221206;C;20
4369V;8615f427-86bd-40a8-ab59-077b9b6dba51;603;a;Zwolle;3.259926;4369;b607c09c-5f34-4597-a614-06464924c5a1;WISSEL_GW;V;603;a;Zwolle;3.386774;4415;387304c8-5049-426f-9419-38edeac8ea17;WISSEL_GW;R;3899;130897;126998;20221206;C;20
973L;32ce109f-7659-4afc-b061-278d20892874;924;a;Kijfhoek;34.503182;973;5b3f3ac6-fd3c-4f7f-b081-7e86cecfe355;WISSEL_GW;L;924;a;Kijfhoek;35.264456;31-32;6da4bd23-6a63-4543-9767-38677ff27cce;WISSEL_GW;L;34065;796731;762666;20221206;C;20
443V;2b9b46e1-e35c-49c3-8a6c-0259ad0270ca;203;;Mariënberg - Emmen;66.813114;443;0e106690-57c4-4b17-b6b5-1da8801df86c;WISSEL_GW;V;203;;Mariënberg - Emmen;69.650518;483;f0f58708-f34f-4332-a1f3-9a653bae7d03;WISSEL_GW;V;3900;2841729;2837829;20221206;C;20
