SEGMENT_IDENTIFICATIE;SEGMENT_LRS_VAN;SEGMENT_LRS_TOT;DOORSNIJDINGSYSTEEM;SOORT_OBJECT;VERSIE_DATUM;VERSIE_GELDIG;VERSIE_NUMMER
14a416af-4216-eba9-a9e4-d9fed8f32878;6579867;6586179;Overweg;Overweg;20221206;C;20
38dbe7b7-7c8c-b631-7880-e0d54fc6fa20;9876259;9881034;Overweg;Overweg;20221206;C;20
bbba5368-c729-d585-3735-38174efc14e1;109180;112760;Overweg;Overweg;20221206;C;20
e7933a60-d732-2d63-be3e-6ca1bb0e7458;187969;191544;Overweg;Overweg;20221206;C;20
a8049eb8-5096-8860-5934-6966ee12ff71;5640703;5658683;Overweg;Overweg;20221206;C;20
8a3d0697-e1b2-c7be-0158-824da3fe0f7c;530181;533889;Overweg;Overweg;20221206;C;20
a8049eb8-5096-8860-5934-6966ee12ff71;1576031;1583211;Overweg;Overweg;20221206;C;20
11f908fb-f839-2134-9593-b7794014c0e8;75302;81919;Overweg;Overweg;20221206;C;20
60cd79fb-9997-5829-6bfe-3e8e1a9c5764;3610000;3615401;Overweg;Overweg;20221206;C;20
a659cb84-a1ab-5813-95c3-d2b300f1116e;255657;294728;Overweg;Overweg;20221206;C;20
38dbe7b7-7c8c-b631-7880-e0d54fc6fa20;3331292;3336140;Overweg;Overweg;20221206;C;20
503a0992-0304-e186-ca84-a20a8924cf57;283768;285567;Overweg;Overweg;20221206;C;20
a4b8db4e-50b4-a1b5-5a77-016bddf5a889;1177598;1165571;Overweg;Overweg;20221206;C;20
b0541e70-e116-4572-bac4-07a216b9d6d86755e6d5-542c-4b82-9eb4-f19abe17b5a9;15944;17177;Overweg;Overweg;20221206;C;20
b0a81d5a-e456-422e-9e76-0f743b6132f31450c90e-2faa-4da4-bd39-43c6028a6ad7;17663;18937;Overweg;Overweg;20221206;C;20
b0a81d5a-e456-422e-9e76-0f743b6132f3cd18f245-e49d-4e40-9c34-d1d61fdb6a6e;17693;18966;Overweg;Overweg;20221206;C;20
b0541e70-e116-4572-bac4-07a216b9d6d807cea9c5-eaf7-4c50-8093-b8118bd59cc7;15962;17190;Overweg;Overweg;20221206;C;20
5de497d4-9271-e870-5ce8-47d2dec5e3dc;419813;421616;Overweg;Overweg;20221206;C;20
14d3738a-fbb3-7ea6-5711-8021eb75ec74;4117244;4108298;Overweg;Overweg;20221206;C;20
ee833561-c734-78b6-56e6-0125d2a00460;5602999;5621005;Overweg;Overweg;20221206;C;20
db352593-08cd-24f8-9718-345d4e4d13e8;5499747;5517757;Overweg;Overweg;20221206;C;20
ee833561-c734-78b6-56e6-0125d2a00460;4400851;4418822;Overweg;Overweg;20221206;C;20
21f7b34b-939c-3f7e-6082-1884ddaf89bb;60278;60897;Overweg;Overweg;20221206;C;20
e7d63566-e2b9-4c50-97da-43e71b331052f524e25d-4f76-477d-a340-34c0954cd335;35263;35859;Overweg;Overweg;20221206;C;20
e7d63566-e2b9-4c50-97da-43e71b331052b4119aa2-9497-4ef0-80ff-308b6336a176;34763;35378;Overweg;Overweg;20221206;C;20
71637ba5-bf5c-a9a4-313e-bfbaab747ca3;25991;31078;Overweg;Overweg;20221206;C;20
b701fcc9-8e94-43d4-86cc-3aa5e37cfb9eecdbe12e-d478-49d4-84ea-1bea6de24794;35024;35939;Overweg;Overweg;20221206;C;20
810bf066-f2a1-74e4-8b71-e11daf5df194;25990;31096;Overweg;Overweg;20221206;C;20
b701fcc9-8e94-43d4-86cc-3aa5e37cfb9edc994371-f68a-42a2-88db-5245540538ba;35009;35965;Overweg;Overweg;20221206;C;20
f16d1d63-c5bf-49d3-8e6a-39a90cd95651ecdbe12e-d478-49d4-84ea-1bea6de24794;35051;35966;Overweg;Overweg;20221206;C;20
f16d1d63-c5bf-49d3-8e6a-39a90cd95651dc994371-f68a-42a2-88db-5245540538ba;34984;35940;Overweg;Overweg;20221206;C;20
cd46b50e-d369-f1ae-5714-730bc047e9a6;310620;325661;Overweg;Overweg;20221206;C;20
d2723fbf-f33a-96f6-dd94-a770f053ad1f;83144;98124;Overweg;Overweg;20221206;C;20
1fd8288c-5f02-4bc9-9b16-d646b9d126b6;275153;284156;Overweg;Overweg;20221206;C;20
7a872f4a-4101-5408-5187-8b6928f72642;10195;9310;Overweg;Overweg;20221206;C;20
08f7dddb-01e4-ee6a-70ae-c2e0dd0161e3;563606;569614;Overweg;Overweg;20221206;C;20
26befead-1ca6-6f5d-ca38-3c7ce59f093a;5649081;5654464;Overweg;Overweg;20221206;C;20
cd93b474-ecdd-a131-15b3-369694a3d594;144767;149648;Overweg;Overweg;20221206;C;20
a05aa307-84e4-d7e0-c56e-3fc2ae145b2f;41269;42130;Overweg;Overweg;20221206;C;20
70ecb5e3-542d-4309-0232-1737b2cc89b6;41382;42311;Overweg;Overweg;20221206;C;20
397462cc-e121-c1cb-a1b1-7bfbeaa4d4c0;728379;729298;Overweg;Overweg;20221206;C;20
cbe6e82c-ce74-b779-1127-dd895ef28ef1;828267;829209;Overweg;Overweg;20221206;C;20
36d0bec4-2d6a-024c-53d0-812288b9ebf4;678675;683436;Overweg;Overweg;20221206;C;20
5f36ce1a-546f-da54-5f3a-3f9bc1c91890;4310709;4331712;Overweg;Overweg;20221206;C;20
584755b7-b5cb-3605-641f-6481b6bc1f0d;10727254;10721831;Overweg;Overweg;20221206;C;20
beffddb2-7333-512e-c459-19c365af50df;146914;166142;Overweg;Overweg;20221206;C;20
b35485b0-7d73-9eec-32bf-171e86100396;1408462;1429480;Overweg;Overweg;20221206;C;20
c7d63e2d-d7c9-49e8-ba11-6830d79c6fae794e8433-cf02-4f82-b979-9cb2f8df1d81;28384;33148;Overweg;Overweg;20221206;C;20
435e0554-232a-43fa-8d96-789eb44ffda2b5f5ebcd-9e02-4001-9e53-96606682798f;27346;36470;Overweg;Overweg;20221206;C;20
435e0554-232a-43fa-8d96-789eb44ffda2893a53a5-9a21-443a-90d2-f703eee2ed9a;26232;33148;Overweg;Overweg;20221206;C;20
e50eae16-8d1b-7116-7273-0e65fe339378;36470;39919;Overweg;Overweg;20221206;C;20
c7d63e2d-d7c9-49e8-ba11-6830d79c6fae965e075b-f49a-4cc0-ad87-0e23b2ac7cd5;29595;36470;Overweg;Overweg;20221206;C;20
ced365fb-1807-b8da-d804-08ab32cc0726;43065;36470;Overweg;Overweg;20221206;C;20
6599d064-6bcd-5574-4188-133606826795;3075691;3070293;Overweg;Overweg;20221206;C;20
954cd0c1-81a6-f6cc-6e2f-3017e9552207;236714;242779;Overweg;Overweg;20221206;C;20
37a89688-be02-b1ce-a770-d55a54edf6b6;1432597;1437710;Overweg;Overweg;20221206;C;20
b35485b0-7d73-9eec-32bf-171e86100396;1256901;1299582;Overweg;Overweg;20221206;C;20
3a2bcdce-a8f0-1cff-8930-bc68f7d70da7;59976;67155;Overweg;Overweg;20221206;C;20
db910929-6df7-7421-a0e2-03bc7f50179b;2489780;2481999;Overweg;Overweg;20221206;C;20
5f36ce1a-546f-da54-5f3a-3f9bc1c91890;1247688;1259675;Overweg;Overweg;20221206;C;20
89631b9e-1b14-bcda-ef02-8c15f585a702;2793128;2800310;Overweg;Overweg;20221206;C;20
bf969ea5-80a5-8481-ac90-a44f097a0fca;9370029;9397635;Overweg;Overweg;20221206;C;20
37a89688-be02-b1ce-a770-d55a54edf6b6;1445515;1458567;Overweg;Overweg;20221206;C;20
97cb3ec3-c880-022a-68e2-82946cf7ebe2;9976220;9981577;Overweg;Overweg;20221206;C;20
0fea3f47-4534-7227-4bb6-3845523705d1;3836941;3842331;Overweg;Overweg;20221206;C;20
ab274723-27c4-02b5-9ea2-c4aa7ccb3505;7926473;7921697;Overweg;Overweg;20221206;C;20
6deaa35c-9dcd-f16b-97f2-c9d1b0703d6b;386974;383324;Overweg;Overweg;20221206;C;20
533958b9-fb61-d367-5094-ef1cd60db80b;5543430;5550648;Overweg;Overweg;20221206;C;20
5d368f60-5232-d7ab-9bf6-c12e420bd78b;3117641;3121208;Overweg;Overweg;20221206;C;20
6deaa35c-9dcd-f16b-97f2-c9d1b0703d6b;5043939;5035529;Overweg;Overweg;20221206;C;20
b7ae58b4-b0bf-29f8-eab7-c099b4c6e4be;1487544;1505607;Overweg;Overweg;20221206;C;20
e6f213e1-d303-cbb5-f879-4dbb45ee6b9d;2680239;2688644;Overweg;Overweg;20221206;C;20
38dbe7b7-7c8c-b631-7880-e0d54fc6fa20;9479759;9484552;Overweg;Overweg;20221206;C;20
e6f213e1-d303-cbb5-f879-4dbb45ee6b9d;1244571;1271581;Overweg;Overweg;20221206;C;20
084b709b-274e-4741-ac77-77675aa37332;31450;43468;Overweg;Overweg;20221206;C;20
5b957fb5-b875-4507-8fdc-b2e092e48794;1143814;1149816;Overweg;Overweg;20221206;C;20
2ed27105-e6c8-8a6a-5c0c-627b23410740;5263231;5271618;Overweg;Overweg;20221206;C;20
