ID;SPOORTAK_IDENTIFICATIE;SPOORTAK_LRS_VAN;SPOORTAK_LRS_TOT;GEOCODE;GEOCODE_KM_VAN;GEOCODE_KM_TOT
1139630;520_151AL_0.8;0,000;0,481;520_a;0,769;1,242
1139631;924_2373R_37.4;0,000;0,353;924_a;37,352;37,002
1139632;851_11R_100.2;0,060;0,456;433__;6,198;5,813
1139633;851_11R_100.2;0,000;0,060;851_a;100,160;100,101
1139426;803_42R_102.7;0,000;0,250;803_h;102,724;102,972
1139427;614_401AR_48.6;0,000;0,061;614_c;48,639;48,699
1139428;614_401BL_48.7;0,008;0,305;614_c;48,699;48,403
1139429;614_401BL_48.7;0,000;0,008;051__;48,708;48,700
1139430;486_953R_75.1;0,000;0,044;486_b;75,148;75,104
1139431;486_957R_75.0;0,000;0,046;486_b;74,980;74,935
1139432;508_2105V_91.5;0,000;0,564;508__;91,545;92,114
1139433;508_2143L_92.2;0,000;0,049;508__;92,162;92,113
1139434;486_941AqV_76.1;0,000;0,032;486_b;76,088;76,057
1139435;478_1227BqV_1.8;0,000;0,034;478_a;1,800;1,766
1139436;624_165BV_32.2;0,000;0,279;624__;32,238;32,518
1139437;118_25V_83.5;0,000;3,082;118__;83,514;80,435
1139438;543_191BV_45.4;0,000;0,703;543_c;45,440;46,130
1139439;545_904R_22.1;0,000;0,286;545_b;22,063;21,770
1139440;614_2119R_47.4;0,000;0,613;614_c;47,384;47,995
1139441;614_2167R_47.9;0,000;0,082;614_c;47,914;47,995
1139442;479_2005L_300.8;0,000;0,965;479_a;300,775;301,731
1139443;479_2003R_300.7;0,000;0,035;479_a;300,742;300,775
1139444;017_33V_62.2;0,000;7,436;017__;62,158;69,591
1139445;006_1009BV_4.4;0,000;5,629;006__;4,439;10,063
1139446;508_2089L_91.3;0,000;0,162;508__;91,311;91,475
1139447;508_2095L_91.4;0,000;0,038;508__;91,412;91,449
1139448;612_9R_60.6;0,185;0,585;612_a;11,900;12,300
1139449;508_2111V_91.6;0,000;0,529;508__;91,617;92,161
1139450;503_171AR_42.3;0,000;0,088;503_c;42,304;42,212
1139451;503_177pV_42.2;0,000;0,033;503_c;42,192;42,225
1139452;606_924V_0.7;0,000;0,046;606_a;0,703;0,748
1139453;076_1641R_12.0;0,000;0,432;076__;12,038;12,457
1139454;564_971L_23.7;0,000;0,322;564_b;23,719;24,039
1139455;542_1247BpV_29.9;0,000;0,034;542_a;29,890;29,856
1139456;503_91BpV_43.8;0,000;0,034;503_c;43,827;43,860
1139457;486_70V_202.4;0,000;1,386;486_c;202,412;203,800
1139458;613_904L_75.7;0,000;0,296;613__;75,736;76,030
1139459;553_197L_20.8;0,000;0,457;553_c;20,815;21,271
1139460;851_13R_100.1;0,000;0,024;851_a;100,124;100,100
1139461;851_13R_100.1;0,024;0,450;433__;6,195;5,779
1139462;564_1341qV_23.7;0,000;0,034;564_b;23,684;23,717
1139463;564_1341L_23.7;0,000;0,118;564_b;23,700;23,821
1139464;486_87L_204.8;0,000;0,040;486_c;204,753;204,792
1139465;135_2201R_14.7;0,000;0,110;135__;14,689;14,799
1139466;531_2775L_35.7;0,000;0,106;531_c;35,746;35,851
1139467;467_016L_101.9;0,000;0,819;467_c;101,894;101,072
1139468;544_1081L_0.1;0,000;0,870;544_a;0,139;0,998
1139469;470_65L_201.3;0,000;0,097;470_e;201,348;201,440
1139470;586_2519BL_80.3;0,000;0,203;586__;80,296;80,092
1139471;508_901L_90.8;0,000;0,436;508__;90,786;91,211
1139472;508_2017V_90.3;0,000;0,020;508__;90,331;90,351
1139473;534_1109BV_46.4;0,000;0,041;534_b;46,376;46,417
1139474;626_39V_32.7;1,144;3,043;435__;1,400;3,299
1139475;626_39V_32.7;0,000;1,043;626_c;32,745;33,789
1139476;479_2065R_301.8;0,000;0,106;479_a;301,806;301,912
1139477;550_41BR_25.3;0,000;0,725;550__;25,325;24,600
1139478;145_935BV_54.8;0,000;1,539;145__;54,801;56,340
1139479;624_257AR_32.6;0,000;0,060;624__;32,632;32,693
1139480;531_511AR_35.7;0,000;0,040;531_c;35,751;35,791
1139481;586_275BV_81.3;0,000;0,027;586__;81,287;81,313
1139482;525_495AL_79.2;0,000;0,098;525_b;79,226;79,322
1139483;117_5BV_17.7;0,000;6,541;117__;17,657;24,200
1139484;117_5BV_17.7;6,541;7,060;513_a;24,200;24,720
1139485;520_153BV_0.8;0,000;0,483;520_a;0,822;1,293
1139486;519_75pV_46.9;0,000;0,032;519_a;46,852;46,820
1139487;519_37BL_46.4;0,000;0,055;519_a;46,353;46,297
1139488;519_45R_46.3;0,000;0,336;519_a;46,297;45,963
1139489;135_2243R_15.5;0,000;0,462;135__;15,486;15,947
1139490;478_1111pV_0.7;0,000;0,034;478_a;0,680;0,646
1139491;586_49L_80.4;0,000;0,321;586__;80,359;80,037
1139492;543_183AR_45.3;0,000;0,052;543_c;45,313;45,365
1139493;603_81AR_2.5;0,000;0,037;603_a;2,471;2,507
