ID;SPOORTAK_IDENTIFICATIE;RAILDEMPER_TYPE;SPOORTAK_LRS_VAN;SPOORTAK_LRS_TOT;DATUM_VERWERKING
1;021_37AL_67.0;Clipped Tuned, type Corus 54E1;0,048;1,368;28-6-2017
2;021_39L_67.2;Clipped Tuned, type Corus 54E1;0,048;1,142;28-6-2017
3;017_11AL_49.5;Clipped Tuned, type Corus 54E1;0,029;12;28-6-2017
4;017_11BV_49.5;Clipped Tuned, type Corus 54E1;0;11,882;28-6-2017
5;017_27R_61.4;Clipped Tuned, type Corus 54E1;0,006;0,381;28-6-2017
6;017_29AL_61.5;Clipped Tuned, type Corus 54E1;0,028;0,648;28-6-2017
7;017_29BV_61.5;Clipped Tuned, type Corus 54E1;0;0,557;28-6-2017
8;610_151AR_14.0;Clipped Tuned, type Corus 54E1;0,061;13,705;28-6-2017
9;610_151BV_13.9;Clipped Tuned, type Corus 54E1;0,002;13,649;28-6-2017
10;609_7L_29.7;Clipped Tuned, type Corus 54E1;0,231;10,931;28-6-2017
11;609_5L_29.7;Clipped Tuned, type Corus 54E1;0,231;10,931;28-6-2017
12;119_121AV_21.3;Clipped Tuned, type Corus 54E1;0;6,754;28-6-2017
13;119_121BR_21.3;Clipped Tuned, type Corus 54E1;0,03;6,814;28-6-2017
14;132_295AL_40.4;Clipped Tuned, type Corus 54E1;0,265;7,5;28-6-2017
15;132_295BV_40.4;Clipped Tuned, type Corus 54E1;0,205;6,699;28-6-2017
16;542_1267AR_29.9;Clipped Tuned, type Corus 54E1;0,017;0,673;28-6-2017
17;542_1271AL_29.9;Clipped Tuned, type Corus 54E1;0,017;0,673;28-6-2017
18;542_1271BV_30.0;Clipped Tuned, type Corus 54E1;0;0,621;28-6-2017
19;542_1277AR_30.0;Clipped Tuned, type Corus 54E1;0,017;0,514;28-6-2017
20;563_187AL_57.4;Clipped Tuned, type Corus 54E1;0,436;2,339;28-6-2017
21;561_89BV_59.6;Clipped Tuned, type Corus 54E1;0;1,864;28-6-2017
22;563_189R_57.4;Clipped Tuned, type Corus 54E1;0,444;2,444;28-6-2017
23;664_873BV_41.9;Clipped Tuned, type Corus 54E1;0;0,764;28-6-2017
24;123_61AL_19.8;Glued Tuned, type Corus 54E1;1,652;1,815;28-6-2017
25;123_63AL_19.9;Glued Tuned, type Corus 54E1;0,029;1,577;28-6-2017
26;551_143AL_22.7;Clipped Tuned, type Corus 54E1;0,029;1,316;28-6-2017
27;551_145BV_22.9;Glued Tuned, type Corus 54E1;0,003;0,719;28-6-2017
28;551_145AL_22.8;Glued Tuned, type Corus 54E1;0,03;0,827;28-6-2017
29;515_307BV_51.2;Clipped Tuned, type Corus 54E1;4,032;8,222;28-6-2017
30;515_307AR_51.1;Clipped Tuned, type Corus 54E1;0,32;4,13;28-6-2017
31;057_1BL_5.6;Clipped Tuned, type Corus 54E1;0,534;0,832;28-6-2017
32;057_1AV_5.5;Clipped Tuned, type Corus 54E1;0,458;0,759;28-6-2017
33;063_31AV_13.7;Clipped Tuned, type Corus 54E1;0;10,99;28-6-2017
34;518_193BV_64.8;Clipped Tuned, type Corus 54E1;0,3;15,976;28-6-2017
35;518_191BV_64.9;Clipped Tuned, type Corus 54E1;0,246;15,886;28-6-2017
36;046_255AR_41.4;Clipped Tuned, type Corus 54E1;0,211;5,256;28-6-2017
37;054_1273AR_43.1;Clipped Tuned, type Corus 54E1;0,099;9,988;28-6-2017
38;054_1275AR_43.6;Clipped Tuned, type Corus 54E1;0,047;9,36;28-6-2017
39;054_1001AV_57.2;Clipped Tuned, type Corus 54E1;0;2,907;28-6-2017
40;054_1001BR_57.4;Clipped Tuned, type Corus 54E1;0,048;2,831;28-6-2017
41;054_1005AV_57.3;Clipped Tuned, type Corus 54E1;0;2,666;28-6-2017
