ID;SPOORTAK_IDENTIFICATIE;OBJECT_NAAM;OBJECT_TYPE;SPOORTAK_LRS_VAN;SPOORTAK_LRS_TOT;DATUM_VERWERKING;HOEKVERHOUDING;AFSTAND_VOORLAS_WISSELTONG;BEGRENZERNAAM_BEGIN;BEGRENZERNAAM_EIND;BEGRENZERTYPE_BEGIN;BEGRENZERTYPE_EIND
113832874;550_47L_25.3;47/43B;W;0,000;0,017;2017-06-27;1:9;7,17;47/43B;47/43B;WISSEL;WISSEL
113832876;514_85BpV_17.2;85B/91A;W;0,000;0,034;2017-06-27;1:9;7,17;85B/91A;85B/91A;WISSEL;WISSEL
113832877;608_61AL_88.5;61A/59B;W;0,000;0,017;2017-06-27;1:9;7,17;61A/59B;61A/59B;WISSEL;WISSEL
113832878;139_315AR_175.0;315A;W;0,000;0,048;2017-06-27;1:15;1,33;315A;315A;WISSEL;WISSEL
113832879;553_277BV_21.9;321;W;0,581;0,629;2017-06-27;1:15;1,33;321;321;WISSEL;WISSEL
113832880;079_169AL_14.4;169A;W;0,000;0,029;2017-06-27;1:9;1,33;169A;169A;WISSEL;WISSEL
113832882;006_1009AL_4.3;1017B;W;5,785;5,832;2017-06-27;1:15;1,33;1017B;1017B;WISSEL;WISSEL
113832883;514_161AR_16.4;159B/161A;W;0,000;0,017;2017-06-27;1:9;7,17;159B/161A;159B/161A;WISSEL;WISSEL
113832884;618_33AL_58.6;41A/33B;W;0,040;0,058;2017-06-27;1:9;7,17;41A/33B;41A/33B;WISSEL;WISSEL
113832885;133_1117AL_18.4;1117A;W;0,000;0,048;2017-06-27;1:15;1,33;1117A;1117A;WISSEL;WISSEL
113832886;588_871V_2.2;872;W;0,000;0,027;2017-06-27;1:9;1,33;872;872;WISSEL;WISSEL
113832887;805_7109R_102.7;7109;W;0,000;0,028;2017-06-27;1:9;1,33;7109;7109;WISSEL;WISSEL
113832888;054_1003AL_57.3;1003A;W;0,000;0,048;2017-06-27;1:15;1,33;1003A;1003A;WISSEL;WISSEL
113832889;618_103AL_51.3;105B;W;0,035;0,064;2017-06-27;1:9;1,33;105B;105B;WISSEL;WISSEL
113832890;527_41BR_16.6;43A;W;0,037;0,065;2017-06-27;1:9;1,33;43A;43A;WISSEL;WISSEL
113832891;470_206L_304.8;206;W;0,000;0,028;2017-06-27;1:9;1,33;206;206;WISSEL;WISSEL
113832894;525_491V_79.2;493B;W;0,008;0,056;2017-06-27;1:15;1,33;493B;493B;WISSEL;WISSEL
113832896;542_1261BL_29.9;1271A/1261B;W;0,000;0,017;2017-06-27;1:9;7,17;1271A/1261B;1271A/1261B;WISSEL;WISSEL
113832897;801_110V_500.0;933;W;0,040;0,068;2017-06-27;1:9;1,33;933;933;WISSEL;WISSEL
113832898;107_271AR_1.7;273B;W;0,175;0,223;2017-06-27;1:15;1,33;273B;273B;WISSEL;WISSEL
113832900;927_3323L_904.5;3327A/3325B;W;0,297;0,314;2017-06-27;1:9;7,17;3327A/3325B;3327A/3325B;WISSEL;WISSEL
113832902;506_506L_43.0;528;W;0,553;0,580;2017-06-27;1:9;1,33;528;528;WISSEL;WISSEL
113832903;618_27AR_58.5;29B;W;0,032;0,061;2017-06-27;1:9;1,33;29B;29B;WISSEL;WISSEL
113832904;926_2073L_0.7;2073;W;0,000;0,026;2017-06-27;1:8;1,33;2073;2073;WISSEL;WISSEL
113833239;603_1007R_3.5;1007;W;0,000;0,029;2017-06-27;1:9;1,33;1007;1007;WISSEL;WISSEL
113833241;524_914R_70.4;914;W;0,000;0,027;2017-06-27;1:9;1,33;914;914;WISSEL;WISSEL
113833242;817_1233R_115.1;1245;W;0,856;0,884;2017-06-27;1:9;1,33;1245;1245;WISSEL;WISSEL
113833243;133_1113AR_18.4;1113B;W;0,055;0,102;2017-06-27;1:15;1,33;1113B;1113B;WISSEL;WISSEL
113833244;950_908R_16.8;916;W;0,376;0,405;2017-06-27;1:9;1,33;916;916;WISSEL;WISSEL
113833245;073_1153R_11.9;1153;W;0,000;0,039;2017-06-27;1:12;1,33;1153;1153;WISSEL;WISSEL
113833246;924_3769R_36.9;3769;W;0,000;0,027;2017-06-27;1:9;1,33;3769;3769;WISSEL;WISSEL
113833247;094_1091BL_2.7;1091B;W;0,000;0,048;2017-06-27;1:15;1,33;1091B;1091B;WISSEL;WISSEL
113833249;526_453AR_3.9;453A;W;0,000;0,032;2017-06-27;1:9;1,33;453A;453A;WISSEL;WISSEL
113833250;562_161R_61.2;161;W;0,000;0,047;2017-06-27;1:15;1,33;161;161;WISSEL;WISSEL
113833251;564_1365L_23.8;1365;W;0,000;0,032;2017-06-27;1:9;1,33;1365;1365;WISSEL;WISSEL
113833252;938_903L_3.0;903;W;0,000;0,029;2017-06-27;1:9;1,33;903;903;WISSEL;WISSEL
113833253;536_253L_61.0;289;W;0,388;0,416;2017-06-27;1:9;1,33;289;289;WISSEL;WISSEL
113833254;586_2511AR_80.2;2511A;W;0,000;0,029;2017-06-27;1:9;1,33;2511A;2511A;WISSEL;WISSEL
113833255;555_279AL_83.7;283B;W;0,036;0,064;2017-06-27;1:9;1,33;283B;283B;WISSEL;WISSEL
113833256;508_2071L_91.2;2071;W;0,000;0,029;2017-06-27;1:9;1,33;2071;2071;WISSEL;WISSEL
113833257;625_311BL_14.3;311B;W;0,000;0,029;2017-06-27;1:9;1,33;311B;311B;WISSEL;WISSEL
113833258;564_971L_23.7;977;W;0,294;0,322;2017-06-27;1:9;1,33;977;977;WISSEL;WISSEL
113833259;520_141BqV_0.7;149A/141B;W;0,000;0,034;2017-06-27;1:9;7,17;149A/141B;149A/141B;WISSEL;WISSEL
113833260;054_1011BL_57.7;1011B;W;0,000;0,047;2017-06-27;1:15;1,33;1011B;1011B;WISSEL;WISSEL
113833261;805_7103L_102.0;7107;W;0,322;0,350;2017-06-27;1:9;1,33;7107;7107;WISSEL;WISSEL
113833262;517_229AL_0.4;229A;W;0,000;0,039;2017-06-27;1:12;1,33;229A;229A;WISSEL;WISSEL
113833263;131_10L_17.0;10;W;0,000;0,029;2017-06-27;1:9 SYM;1,33;10;10;WISSEL;WISSEL
113833264;940_395L_43.3;395;W;0,000;0,028;2017-06-27;1:9;1,33;395;395;WISSEL;WISSEL
113833265;143_903L_17.5;910;W;0,260;0,288;2017-06-27;1:9;1,33;910;910;WISSEL;WISSEL
