ID;OBJECTTYPE;SPOORTAK_IDENTIFICATIE;GEOCODE_BEGIN;SUBCODE_BEGIN;NAAM_GEOCODE_BEGIN;KM_BEGIN;NR_BEGIN;KANTCODE_BEGIN;GEOCODE_EIND;SUBCODE_EIND;NAAM_GEOCODE_EIND;KM_EIND;NR_EIND;KANTCODE_EIND;NR_SUB;LENGTE;OBEGINTIJD;BEHEERDER;LENGTE_GEOM
411471;--VERVALLEN--;163_963AL_44.5;163;;Rotterdam Lombardijen - Rotterdam Centraal;44,537;963A;L;163;;Rotterdam Lombardijen - Rotterdam Centraal;44,854;991;R;;0,313;2015-01-09;ProRail;0,313252
411472;--VERVALLEN--;309_8303V_5.9;309;;Landgraaf - Simpelveld;5,864;8303;V;309;;Landgraaf - Simpelveld;5,836;SJ_8303V;V;;0,030;2015-01-09;ProRail;0,029727
411473;--VERVALLEN--;506_259AL_45.5;506;b;Amersfoort;45,468;259A;L;089;;Amersfoort - Amersfoort Aansl.;45,555;259B;L;;0,087;2015-01-09;ProRail;0,086583
411474;--VERVALLEN--;164_2485R_253.4;164;;Prinsenbeek - Hazeldonk Grens;253,401;2485;R;164;;Prinsenbeek - Hazeldonk Grens;253,631;2487;R;;0,230;2015-01-09;ProRail;0,230259
411475;--VERVALLEN--;520_121pV_0.5;520;a;Maastricht;0,530;121;L+R;520;a;Maastricht;0,497;123A;L+R;p;0,034;2015-01-09;ProRail;0,033670
411476;--VERVALLEN--;520_121qV_0.5;520;a;Maastricht;0,530;121;L+R;520;a;Maastricht;0,497;123A;L+R;q;0,034;2015-01-09;ProRail;0,033671
411477;--VERVALLEN--;950_W4-5BR_8.9;950;a;Barendrecht Vork - Rotterdam Maasvlakte;8,907;W4-5B;RE;950;a;Barendrecht Vork - Rotterdam Maasvlakte;9,363;801;R;;0,437;2015-01-09;ProRail;0,437296
411478;--VERVALLEN--;608_37AL_88.0;608;b;Apeldoorn;87,982;37A;L;608;b;Apeldoorn;88,498;57B;R;;0,516;2015-01-30;ProRail;0,516309
411479;--VERVALLEN--;054_9007V_53.6;054;a;Boxtel - Eindhoven;53,592;9007;V;054;a;Boxtel - Eindhoven;53,560;SJ_9007V;V;;0,033;2015-01-09;ProRail;0,033164
411480;--VERVALLEN--;054_1315AL_47.4;054;a;Boxtel - Eindhoven;47,364;1315A;L;054;a;Boxtel - Eindhoven;47,472;1315B;L;;0,107;2015-01-09;ProRail;0,107240
411481;--VERVALLEN--;054_1301BV_47.0;054;a;Boxtel - Eindhoven;46,990;1301B;V;054;a;Boxtel - Eindhoven;47,364;1315A;V;;0,374;2015-01-09;ProRail;0,374385
411482;--VERVALLEN--;123_3BR_10.7;123;;Breda - Tilburg;10,714;3B;R;123;;Breda - Tilburg;10,600;SJ_3BR;V;;0,115;2015-01-09;ProRail;0,115050
411483;--VERVALLEN--;823_6L_100.6;823;b;Oosterhout Weststad;100,636;6;L;823;b;Oosterhout Weststad;101,021;7;R;;0,386;2015-01-09;ProRail;0,386308
411484;--VERVALLEN--;823_6R_100.6;823;b;Oosterhout Weststad;100,636;6;R;823;b;Oosterhout Weststad;101,021;7;L;;0,387;2015-01-09;ProRail;0,386692
411485;--VERVALLEN--;823_23L_6.3;823;a;Oosterhout Weststad;6,319;23;L;823;a;Oosterhout Weststad;7,003;SJ_23L;V;;0,685;2015-01-09;ProRail;0,685263
411725;--VERVALLEN--;545_135BV_23.0;545;b;Roosendaal;23,031;135B;V;545;b;Roosendaal;23,314;185A;V;;0,279;2015-01-09;ProRail;0,279065
411726;--VERVALLEN--;545_185BL_23.4;545;b;Roosendaal;23,379;185B;L;545;b;Roosendaal;23,320;187A;L;;0,059;2015-01-09;ProRail;0,059410
411727;--VERVALLEN--;545_187AR_23.3;545;b;Roosendaal;23,320;187A;R;545;b;Roosendaal;23,384;187B;RE;;0,048;2015-01-09;ProRail;0,047833
411728;--VERVALLEN--;545_187BpV_23.4;545;b;Roosendaal;23,384;187B;L+R;545;b;Roosendaal;23,351;189A;L+R;p;0,034;2015-01-09;ProRail;0,033681
411729;--VERVALLEN--;545_187BqV_23.4;545;b;Roosendaal;23,384;187B;L+R;545;b;Roosendaal;23,351;189A;L+R;q;0,034;2015-01-09;ProRail;0,033556
411730;--VERVALLEN--;124_902V_3.5;124;a;Tilburg - Vught Aansl.;3,500;902;V;124;a;Tilburg - Vught Aansl.;3,466;903;R;;0,035;2015-01-09;ProRail;0,034577
411731;--VERVALLEN--;528_120R_28.8;528;b;Hilversum;28,756;120;R;528;b;Hilversum;28,992;SJ_120R;V;;0,234;2016-02-29;ProRail;0,233877
411732;--VERVALLEN--;516_903L_1.9;516;a;Blerick;1,880;903;L;516;a;Blerick;1,914;904;V;;0,036;2015-01-09;ProRail;0,035964
411733;--VERVALLEN--;516_903R_1.9;516;a;Blerick;1,880;903;R;516;a;Blerick;1,908;907;V;;0,030;2015-01-09;ProRail;0,029844
411734;--VERVALLEN--;516_904L_1.9;516;a;Blerick;1,914;904;L;516;a;Blerick;1,967;905;V;;0,054;2015-01-09;ProRail;0,053588
411735;--VERVALLEN--;516_904R_1.9;516;a;Blerick;1,914;904;R;516;a;Blerick;1,945;908;V;;0,031;2015-01-09;ProRail;0,031343
411736;--VERVALLEN--;516_908L_1.9;516;a;Blerick;1,945;908;L;516;a;Blerick;2,228;SJ_908L;V;;0,288;2015-01-09;ProRail;0,287758
411737;--VERVALLEN--;531_1473V_1.0;531;d;Utrecht Centraal;1,000;1473;V;531;c;Utrecht Centraal;34,142;2341;V;;0,163;2015-01-09;ProRail;0,163271
411738;--VERVALLEN--;551_111R_21.8;551;b;Tilburg;21,817;111;R;551;b;Tilburg;21,935;115B;R;;0,119;2015-01-09;ProRail;0,118719
411739;--VERVALLEN--;557_85L_500.2;557;g;Terneuzen Aansl.;500,237;85;L;557;g;Terneuzen Aansl.;500,622;XXX;R;;0,393;2015-01-09;ProRail;0,392745
411740;--VERVALLEN--;557_1AV_27.4;557;a;Terneuzen Aansl.;27,412;1A;V;557;a;Terneuzen Aansl.;27,388;2;V;;0,024;2015-01-09;ProRail;0,023670
411741;--VERVALLEN--;557_1AR_27.4;557;a;Terneuzen Aansl.;27,412;1A;R;557;a;Terneuzen Aansl.;28,168;3B;L;;0,755;2015-01-09;ProRail;0,754546
411937;--VERVALLEN--;924_3549ApV_35.5;924;a;Kijfhoek;35,482;3549A;L+R;924;a;Kijfhoek;35,513;3551;L+R;p;0,031;2015-01-09;ProRail;0,031493
411938;--VERVALLEN--;950_962L_12.6;950;a;Barendrecht Vork - Rotterdam Maasvlakte;12,568;962;LE;950;a;Barendrecht Vork - Rotterdam Maasvlakte;12,638;964;L;;0,055;2015-01-09;ProRail;0,054562
411939;--VERVALLEN--;950_964V_12.6;950;a;Barendrecht Vork - Rotterdam Maasvlakte;12,638;964;V;950;a;Barendrecht Vork - Rotterdam Maasvlakte;12,677;966;LE;;0,025;2015-01-09;ProRail;0,025064
411940;--VERVALLEN--;950_962qV_12.6;950;a;Barendrecht Vork - Rotterdam Maasvlakte;12,568;962;L+R;950;a;Barendrecht Vork - Rotterdam Maasvlakte;12,602;963;L+R;q;0,034;2015-01-09;ProRail;0,033605
411941;--VERVALLEN--;950_661AL_7.3;950;a;Barendrecht Vork - Rotterdam Maasvlakte;7,315;661A;LE;950;a;Barendrecht Vork - Rotterdam Maasvlakte;7,347;662;V;;0,016;2015-01-09;ProRail;0,016263
411942;--VERVALLEN--;950_351qV_17.5;950;a;Barendrecht Vork - Rotterdam Maasvlakte;17,521;351;L+R;950;a;Barendrecht Vork - Rotterdam Maasvlakte;17,552;359B;L+R;q;0,031;2015-01-09;ProRail;0,031461
411943;--VERVALLEN--;950_351R_17.5;950;a;Barendrecht Vork - Rotterdam Maasvlakte;17,521;351;RE;950;a;Barendrecht Vork - Rotterdam Maasvlakte;17,593;361B;RE;;0,041;2015-01-09;ProRail;0,040754
411944;--VERVALLEN--;950_345BpV_17.5;950;a;Barendrecht Vork - Rotterdam Maasvlakte;17,471;345B;L+R;950;a;Barendrecht Vork - Rotterdam Maasvlakte;17,440;347;L+R;p;0,031;2015-01-09;ProRail;0,031462
411945;--VERVALLEN--;950_922V_17.4;950;a;Barendrecht Vork - Rotterdam Maasvlakte;17,389;922;V;950;a;Barendrecht Vork - Rotterdam Maasvlakte;17,698;928;L;;0,309;2015-01-09;ProRail;0,309278
411946;--VERVALLEN--;950_101pV_6.8;950;a;Barendrecht Vork - Rotterdam Maasvlakte;6,824;101;L+R;950;a;Barendrecht Vork - Rotterdam Maasvlakte;6,792;105A;L+R;p;0,031;2015-01-09;ProRail;0,031462
411947;--VERVALLEN--;950_101R_6.8;950;a;Barendrecht Vork - Rotterdam Maasvlakte;6,824;101;RE;950;a;Barendrecht Vork - Rotterdam Maasvlakte;6,752;435;R;;0,056;2015-01-09;ProRail;0,056346
411948;--VERVALLEN--;950_209qV_7.8;950;a;Barendrecht Vork - Rotterdam Maasvlakte;7,825;209;L+R;950;a;Barendrecht Vork - Rotterdam Maasvlakte;7,856;211B;L+R;q;0,031;2015-01-09;ProRail;0,031462
411949;--VERVALLEN--;950_RSC3V_8.0;950;a;Barendrecht Vork - Rotterdam Maasvlakte;7,956;RSC3;V;950;a;Barendrecht Vork - Rotterdam Maasvlakte;7,825;209;RE;;0,118;2015-01-09;ProRail;0,117521
411950;--VERVALLEN--;950_17L_6.4;950;a;Barendrecht Vork - Rotterdam Maasvlakte;6,429;17;L;950;a;Barendrecht Vork - Rotterdam Maasvlakte;7,186;640;R;;0,727;2015-01-09;ProRail;0,727330
411951;--VERVALLEN--;950_17R_6.4;950;a;Barendrecht Vork - Rotterdam Maasvlakte;6,429;17;R;950;a;Barendrecht Vork - Rotterdam Maasvlakte;6,465;19;V;;0,040;2015-01-09;ProRail;0,040056
412160;--VERVALLEN--;950_9pV_6.4;950;a;Barendrecht Vork - Rotterdam Maasvlakte;6,371;9;L+R;950;a;Barendrecht Vork - Rotterdam Maasvlakte;6,401;11;L+R;p;0,031;2015-01-09;ProRail;0,030961
412161;--VERVALLEN--;950_127R_7.1;950;a;Barendrecht Vork - Rotterdam Maasvlakte;7,106;127;RE;950;a;Barendrecht Vork - Rotterdam Maasvlakte;7,140;131;V;;0,018;2015-01-09;ProRail;0,018402
412162;--VERVALLEN--;950_121qV_7.1;950;a;Barendrecht Vork - Rotterdam Maasvlakte;7,096;121;L+R;950;a;Barendrecht Vork - Rotterdam Maasvlakte;7,063;123;L+R;q;0,033;2015-01-09;ProRail;0,032691
412163;--VERVALLEN--;950_1951L_26.6;950;a;Barendrecht Vork - Rotterdam Maasvlakte;26,648;1951;L;950;a;Barendrecht Vork - Rotterdam Maasvlakte;26,487;SJ_1951L;V;;0,162;2015-01-09;ProRail;0,161996
